id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count
ElTO4-hD1SI,2025-07-05T04:22:11Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【朝ニュースライブ】最新ニュースと生活情報（7月5日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・悪石島から島外避難の13人乗せたフェリーが鹿児島港に　第2陣も検討
・熱中症警戒アラート“今年最多”　命守るエアコン…室外機の盗難被害相次ぐ
・クマに襲われたか　自宅の居間で81歳女性死亡　“全身に傷”
・死者・行方不明者69人…熊本豪雨から5年　被災地で祈り
・トランプ大統領“各国に最大70％の関税通知”
・三井住友信託銀行元部長に有罪判決　インサイダー取引の罪　東京地裁
・“ルフィ”グループ幹部の男　特殊詐欺で稼いだ額は“月に2億円以上”
・“選挙ポスターで名誉を棄損された”立憲候補者がNHK党候補者を刑事告訴
・【解説】選挙ポスターで“名誉毀損” 　NHK党候補者を刑事告訴
・ナゼココに？　外国人観光客が“ニッポンの下町”向かうワケ
・佳子さま、昭和天皇陵を参拝　ブラジル訪問終了を報告
・足立区の小学校校庭にクギ…児童転倒し切り傷、救急搬送　区の職員ら点検、地中に埋まるクギなど36本見つかる
・米ロサンゼルスで「アニメエキスポ」開催　日本のポップカルチャーの魅力発信
・タワマンで女性殺害初公判　男が起訴内容認める
ほか


◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn　#事件　#事故","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/ElTO4-hD1SI/hqdefault.jpg,25,79042,197,1,PT8H1M50S,False,日テレNEWS,候補者;東京,2.0
Q1wm9qcQw3I,2025-07-05T01:15:22Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,【ライブ】7/5 朝ニュースまとめ 最新情報を厳選してお届け,"【速報】トランプ大統領　大型減税法案に署名
米テキサス州で洪水 13人死亡　サマーキャンプの子ども20人行方不明
六本木ヒルズ前で飲酒運転撲滅呼びかけ　電動キックボードによる事故増加の中
鹿児島県十島村で震度5強　津波の心配なし
期日前投票所 架空の候補者名などを掲示　福岡
【速報】台風4号が発生 トカラ列島に影響する恐れ
【速報】ロシアが占拠するウクライナ南部ザポリージャ原発　全ての外部電源を喪失
戦後80年・広島出身で被爆2世のバレリーナ森下洋子さんが会見「核は絶対にいけない」
羽田空港で沖縄フェアが開催　ちんすこうやタコライスなど特産品並ぶ
盗難車と知りながらレクサス保管か　茨城・下妻市の倉庫に20台
トランプ・ゼレンスキー両氏が電話会談　ウクライナの防空能力強化で合意
小泉農水大臣　酒など加工用に備蓄米放出を発表　8月販売を目指す
トカラ列島の地震活動は「これまでで最大規模」地震調査委員会が見解　収束見通せず
IAEA査察官イランから陸路で撤退　核開発の監視より一層困難になる恐れも
生まれながらに“人馴れ”？侵入相次ぐ理由は…自宅でクマに襲われ女性死亡　岩手


■JapaNews24 日本のニュースを24時間配信
https://youtube.com/live/coYw-eVU0Ks

■エンタメNews24 ～最新エンタメ情報を24時間配信
https://youtube.com/live/gfc6qdY8e3g

■テレ朝ニュース公式HP
https://news.tv-asahi.co.jp/

#ニュース #ライブ #ann",[],https://i.ytimg.com/vi/Q1wm9qcQw3I/hqdefault.jpg,25,68053,190,3,PT25M34S,False,ANNnewsCH,候補者;投票;期日前投票,3.0
8gmBWzuuF-I,2025-07-05T02:16:58Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,【LIVE】朝のニュース（Japan News Digest Live）最新情報など｜TBS NEWS DIG（7月5日）,"7月5日（土）の早朝から TBS NEWS で放送された最新のニュースをダイジェストでお届けします。

・鹿児島県で最大震度5強の強い地震　津波の心配なし　鹿児島県・鹿児島十島村
・震度6弱の十島村・悪石島　島外避難13人が鹿児島市に到着　あすのフェリーで新たに2人が避難希望
・地震調査委員会は火山活動の影響を否定せず　トカラ列島の地震活動の要因　地震後に島が約4センチ水平に移動も
・トランプ大統領と電話会談 ゼレンスキー大統領「防空の強化にともに取り組むことで合意」
・日本酒など「加工用」にも備蓄米放出へ　コメ平均価格は5キロあたり3691円 地域差が拡大
・フジテレビ　検証番組を6日に放送　清水社長も出演「検証　フジテレビ問題　～反省と再生・改革～」
・【参議院選挙】期日前投票始まる　事実上の“政権選択選挙”に有権者の審判は？　125議席めぐり与野党激突
・参議院選挙　海外でも投票始まる　中国・北京の日本大使館では朝から大勢が投票に　大使館遠く「在外投票率」低下も課題
・盗難高級車の「解体拠点」か　倉庫にレクサス保管した男3人を逮捕　今年5月以降約20台の“搬入”確認
・遮断機と警報器のない“第4種踏切”でまた… 乗用車と電車が衝突する事故　乗用車の運転手の71歳男性が重傷　群馬・下仁田町
・「1人暮らし1899万5000世帯」「高齢者世帯1720万7000世帯」が過去最多 「子育て世帯907万4000世帯」は過去最少　厚生労働省の去年6月調査
・「サトウのごはん」またまた値上げへ　去年から3回目　10月から最大17%引き上げ　コメの価格高騰で

▼TBS NEWS DIG 公式サイト
https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html","['NEWS', 'ニュース', 'TBSNEWS', '報道', '日本', 'Japan', '最新ニュース', 'japan', 'live', 'tbs', 'livenews']",https://i.ytimg.com/vi/8gmBWzuuF-I/hqdefault.jpg,25,47655,156,2,PT12M24S,False,TBS NEWS DIG Powered by JNN,参議院選挙;投票;期日前投票,3.0
UtsAH-iwgW8,2025-07-04T15:34:32Z,UCpg3An7bh9diGlVnK63zo6Q,キクタケ進ch,7/4⑤23時～参院選2日目の振り返りと飯山論破！ #日本保守党 #飯山の乱 #320,"▼飯山陽裁判
原告/池内恵 訴訟　3件 (令和7年 (ワ) 第5545号 回数:2回 民XXX法廷(東京地裁), 賠償1100万円)、公金チューチュー発言
原告/橋本琴絵 訴訟　1件　
原告/日本保守党 訴訟　1件 (賠償330万円)、LGBT問題放置虚偽記事、初回:5/19 14:15 民103号法廷(東京地裁)、飯山出廷意見陳述予定。
原告/有本・伊藤両氏訴訟　1件 (賠償660万円)　子宮取れ発言
原告/百田尚樹 訴訟　1件 (令和7年 (ワ) 第7669号, 賠償220万円、ゴーストライター発言、初回:5/26 10:00 民xxx法廷(東京地裁))
集団カンパ訴訟　1件 (賠償1,124万円)
個人カンパ訴訟　182件　(刑事告発27件、件数変動あり)
合計　190件　(刑事告訴27件、件数変動あり, 賠償3,434万円)
ーーー
▼近藤倫子裁判
原告/百田尚樹 訴訟　1件 (令和7年 (ワ) 第7670号, 賠償33万円, 初回:5/8(延期) 10:30 民705法廷(東京地裁))
ーーー
▼来来軒 カンパ詐欺被害　https://x.gd/Id9g6
▼来来軒 本店　https://x.gd/GHGY1
▼来来軒 雑談アンチ　https://x.gd/Pxy2V
来来軒（LINEのオープンチャット）は、こちらからどうぞ！
みんなで情報を交換しましょう！
※LINEで使っている名前とは異なるハンドルネームで参加できます。
ーーー
祝1位！政治系YouTuber同時接続者数ランキングで飯山あかりさん、長谷川幸洋さん、れいわ山本太郎さん、原口一博さん、深田萌絵さん、山口敬之さんらを抑え1位を連発しています！（3月7回、4月11回、5月12回、6/4）
ーーー
毎晩、飯山あかりchのデタラメを論破しています。
月火木はよる10時から、水金日はよる9時から。土は8時から。
ーーー
【今日の飯山あかりちゃんねる】
再生回数(万回) →→→→→()
同接 　CH登録者数17.8万
Xフォロワー 27.2万（-）
ブラウス 万円/6月合計　万円
ーーー
いま話題の来来軒Tシャツ！
http://smalldesign.jp/?pid=185622733
ーーー
キクタケ進は20年前から北朝鮮拉致問題をTシャツを通じて訴えています。
ぜひご覧ください。
▼拉致問題Tシャツ　https://x.gd/vClOB
※収益の一部は特定失踪者問題調査会に寄付させていただきます。
ーーー
こんにちは、デザインと政治！菊竹進です。
吉祥寺でデザインＴシャツを作りながら、
武蔵野市と吉祥寺の地域活動、防災活動、防犯活動、福祉活動、平和事業、園芸活動、清掃活動、拉致問題に取り組んでいます。
・武蔵野の平和と安全を守る会 副代表
　　映画「めぐみへの誓い」上映会開催など
・武蔵野市民防災協会 防災推進員
・吉祥寺南町コミュニティ協議会 運営委員
・吉祥寺南町防災ネットワーク 会員
・吉祥寺南町居場所プロジェクト 会員
・吉祥寺南町一丁目の会
・吉祥寺駅前合同パトロール参加
・吉祥寺駅周辺清掃活動参加
・吉祥寺おそうじ大作戦
・旧赤星邸利活用社会実験プロジェクトメンバー 令和6年
・武蔵野市非核宣言都市平和事業実行委員 令和6年
・2023年4月　武蔵野市議会議員選挙 立候補
・公園草ボーボー問題の陳情と解決
・市議会のYouTube配信。見える化を実現
・祥南クラブ（グラウンドゴルフ）
・サッカークラブ、卓球クラブ、菊作りの会
・三小,三中で子育て　2児の父

▼時事Tシャツ「ジジ」
http://jiji-t.com/

▼吉祥寺Tシャツ「スーベニア吉祥寺」
http://souvenirkichijoji.com/

▼デザインTシャツ「スモールデザイン」
http://www.smalldesign.jp/
ーーー
ツイッターで発信しています。
 / s_kikutake  
ーーー
Youtubeで毎日ライブ配信をしています。
 / @kikutake",[],https://i.ytimg.com/vi/UtsAH-iwgW8/hqdefault.jpg,25,38191,2090,27,PT1H15M7S,False,自民党,,
KTRbaJ5EiWU,2025-07-05T04:50:57Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,トランプ氏、関税率を各国に通知へ　最小10％、最大70％か　日本にはまだ届かず【もっと知りたい！】【グッド！モーニング】(2025年7月5日),"　アメリカのトランプ大統領が、関税の税率を記した書簡を、4日から各国に送り始める考えを示しました。日本にはまだ届いていないということです。

■「10％～70％」各国に関税通知へ

トランプ大統領
「書簡は9日までに送る。関税率は60％か70％から、10％、20％の関税まで様々になると思う」

　トランプ大統領は4日、関税措置を巡る交渉について、交渉期限の9日までに、書簡を順次各国に通知する考えを明らかにしました。

　初日の4日は、10から12カ国に対して書簡を送り、関税率については最大で70％。各国に課される税率は、8月1日から適用するとしています。

　アメリカとの交渉を担当する赤沢亮正経済再生担当大臣は4日、次のように述べました。

「（Q.米国から書簡や通告が届いているか？）現時点において何かそういうものがあるということはありません」

　トランプ氏は、日本の関税率について30～35％への引き上げを示唆しています。それに関連して、日本に対し、アメリカ産のコメを輸入していないと不満をあらわにしていました。

　4日、米どころの福島を訪れた石破茂総理大臣は、これに対して反論しました。

「関税を払ってでもカリフォルニアのコメを入れている。コメが入っていないということはない。（トランプ氏に）きちんと認識してもらわないといけない。これからコメをどんどん輸入し、日本のコメ作りがもっと減っていくことは、独立国としてあってはならないこと、きちんと交渉していきます」

■日本はどうすれば合意できる？

　日本は参院選を控え、身動きできない状態です。それはアメリカも理解しています。

ベッセント財務長官（3日）
「日本は現在厳しい状況にある。今月20日の参議院選挙を控えていて、それが交渉を進めるうえで国内的な制約になっている。日本との協議がどうなるか様子を見る」

　そんななか、トランプ氏はベトナムとの交渉妥結を発表。さらに、カンボジア政府は4日、アメリカとの相互関税の合意を発表しました。

　各国が駆け込みで合意を行うなか、日本はどうすれば合意できるのでしょうか。

早稲田大学　中林美恵子教授
「カンボジアやベトナムとは、日本の歴史的な経済摩擦の経緯が大きく違う。下げられる関税はことごとく下げて、もう残るものはどうしても譲れないものしか残っていません。日本がいろんな国から輸入しているものがあります。それらをアメリカから輸入するというカードを出すしか日本の痛みを軽減するのは難しいのではないでしょうか。インパクトのあるものを出す必要がある」

（「グッド！モーニング」2025年7月5日放送分より）
[テレ朝NEWS] https://news.tv-asahi.co.jp","['ニュース', 'テレビ朝日', 'provided', 'ニュース企画', '本編のみ', 'GM7', 'トランプ関税ショック']",https://i.ytimg.com/vi/KTRbaJ5EiWU/hqdefault.jpg,25,28793,144,219,PT4M13S,False,ANNnewsCH,参議院選挙;参院;参院選;石破;茂,5.0
GWVSDCSlMEA,2025-07-05T10:55:30Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【昼ニュースライブ】最新ニュースと生活情報（7月5日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・けさ悪石島で震度5強、避難検討する人が増加…20人程度避難へ
・きょう西日本中心に35℃以上の猛暑日予想、熱中症対策の徹底を
・米トランプ大統領、大型減税法案に署名「ロケットのように経済成長」
・ハマス、ガザ停戦案「前向きな回答」仲介国に提出“直ちに交渉行う用意”
・米テキサス州で大規模洪水…13人死亡、20人以上の少女が行方不明
・路上で頭から血を流した男性死亡、ひき逃げか…現場にタイヤのブレーキ痕　千葉・松戸市
・知人の脚を千枚通しで刺した疑い、19歳の男子大学生を逮捕　宮城・仙台市
・米によるイランの核施設攻撃、中枢施設に被害か　衛星画像を専門家が分析
・新燃岳で多量の噴煙…飛行機の運航に影響
・日本酒や焼酎などの加工用に備蓄米放出へ…8月から随意契約で　小泉農水相が表明
・ゼレンスキー大統領“米と防空能力強化で合意”　トランプ大統領と電話会談
・住宅の屋根などを焼く火事…エアコンが火元か　富山市
・政府の「イクメンプロジェクト」社会の変化にあわせ進化へ
・北九州市・遺体遺棄　男性の長男を起訴、知人女性は不起訴に
・【解説】与党、過半数確保は微妙な情勢…原因は　NNN・読売新聞参院選情勢調査


◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#悪石島 #トランプ大統領 #ハマス #イラン #新燃岳 #松戸市 #猛暑 #熱中症
#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn　#事件　#事故","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/GWVSDCSlMEA/hqdefault.jpg,25,22515,69,1,PT6H32M37S,False,日テレNEWS,参院;参院選,2.0
zp09zW4GhGA,2025-07-05T01:30:29Z,UC80FWuvIAtY-TRtYuDocfUw,立花孝志,泉房穂ちゃん・豊田真由子ちゃん・野々村竜太郎ちゃんの暴言珍言をわすれたらアカン,"★参議院選挙に立候補しています。
兵庫県の方は【立花孝志】と１枚目の投票用紙にはと書いて下さい。２枚目の投票用紙には【ＮＨＫ党】と書いて下さい。

立花孝志は兵庫県で落選して、更に選挙区か全国区で２％得票できなければ政治家を引退します。
１枚目の投票用紙に下記のあなたの都道府県の立候補者に投票して頂ければ、私立花孝志の政治家引退を阻止できます。
北海道は【後藤　朋子】、青森県は【佐々木　晃】、岩手県は【吉田　博信】、宮城県は【前田　太一】、秋田県は【本田　幸久】、山形県は【大貫　学】、福島県は【越智　寛之】、茨城県は【酒井　明男】、栃木県は【高橋　真佐子】、群馬県は【上楽　宗之】、埼玉県は【山田　信一】、千葉県は【玉元　弘次】、東京都は【石丸　幸人】、神奈川県【堀川　圭輔】、新潟県は【原田　公成】、富山県は【佐藤　明】、石川県は【小沢　正人】、福井県は【浜田　智】、山梨県は【舟橋　夢人】、長野県は【加藤　英明】、岐阜県は【小池　裕之】、静岡県は【福原　志瑠美】、愛知県は【横山　緑】、三重県は【橋本　博幸】、滋賀県は【菅原　良雄】、京都府は【木村　嘉孝】、大阪府は【竹内　隆】、兵庫県は【立花　孝志】、奈良県は【川崎　智之】、和歌山県は【本間　奈々】、鳥取県と島根県は【谷口　直矢】、岡山県は【岩田　好明】、広島県は【堤　美登里】、山口県は【奥野　信治】、徳島県と高知県は【中島　康治】、香川県は【野呂　美和子】、愛媛県は【斉藤　博樹】、福岡県は【村上　成俊】、佐賀県は【松尾　芳治】、長崎県は【神谷　幸太郎】、熊本県は【立花　勝樹】大分県は【二宮　大造】、宮崎県は【北川　哲平】、鹿児島県は【山本　貴平】、沖縄県は【眞喜志　雄一】

★NHK党は参議院選挙全国比例に浜田聡参議院議員、福永活也弁護士、川﨑たかひろ弁護士の３名を擁立しました。
立花孝志の当選と国政政党復帰をめざしています！

★全国の４５選挙区の立候補予定者はこちらから
https://syoha-senkyo.jp/

★立花孝志の携帯電話番号→08025089347　留守番電話に用件をお知らせ頂ければ折り返しさせて頂きます。

★党に対して寄附をして頂くと個人名が公表されたり、事務処理が煩雑にもなりますので、立花孝志が経営する『立花孝志ひとり放送局株式会社』にYouTubeの『視聴料』として下記の金融機関口座にお振り込み頂ければ幸いです。
１.ゆうちょ銀行　記号14070　番号8448861 
２.三菱ＵＦＪ銀行　堺支店　普通預金　0091679 
３.三井住友銀行　浜寺支店　普通預金　1523308 
名義はいずれも、『立花孝志ひとり放送局株式会社』です。

★ＮＨＫにお金を支払わない国民を増やすことを目指します。

★ホリエモンと立花孝志のＮＨＫでの政見放送
https://www.youtube.com/watch?v=yHMsGmH9IK8&t=62s
立花孝志はイロモノではない事をホリエモンが語ってくれています。
https://www.youtube.com/watch?v=e31DYLFa45E【１１分３０秒あたりから１０分間くらいをご覧ください。】

★ホームページはこちら
https://www.syoha.jp/

★私は、ＮＨＫ職員を１９年４ヶ月してましたが、２００５年に週刊文春でＮＨＫの不正経理を内部告発して退職【内部告発が原因で実質上のクビ】になりました。

★受信料不払いに関する相談センター【ＮＨＫ党コールセンター】 03-3696-0750【代表】午前10時から夜７時まで、土日祝はお休みです。

★Ｘ旧ツイッター https://twitter.com/tachibanat","['参議院', '全国比例', '参議院選挙', 'ＮＨＫ', 'ＮＨＫから国民を守る党', 'ＮＨＫ受信料', 'ＮＨＫ裁判', '受信料裁判', 'エヌリンクス', 'ＮＨＫ集金', 'ＮＨＫ訪問員', '集金人', '立花孝志', '最高裁判決', 'イラネッチケー', '衛星契約', '衛星料金', 'ＢＳ契約', 'ＢＳ料金', '日本放送協会放送受信規約', '放送法', '放送法64条', 'ＮＨＫをぶっ壊す', '政見放送', '葛飾区議会議員', 'ＮＨＫ嫌い', '日本放送協会', '受信料踏み倒す', 'ホリエモン', '堀江貴文', 'ぶっ壊す', '国会議員ユーチューバー', '元国会議員', 'ＮＨＫ党', '政治家女子', '政治家女子４８', '政治家女子４８党', 'アイドル政治家', 'ガーシー', '東谷義和', '請求書受け取り代行', '特別あて所配達', 'ＤＪ社長', 'ＤＪ社長立候補', '青汁王子', '堀江政経塾', '電通', '統一地方選挙', '全国ブロック', '政治女子', '女子政治家', '政治家オーディション', 'ＳＪＪ４８', '兵庫県知事選挙', '泉大津市', '泉大津市長選挙']",https://i.ytimg.com/vi/zp09zW4GhGA/hqdefault.jpg,25,21933,1428,158,PT2M22S,False,立花孝志,候補者;兵庫;参議院選挙;大阪;孝志;山本;投票;東京;石丸;神谷;立花;高橋,12.0
PHI7aAE-q-Y,2025-07-05T09:17:16Z,UCWwB48zxhF6OZSKAwDyuvCQ,【1st】河合ゆうすけの政治塾【戸田市議歴代最多得票数トップ当選】,VS左翼しばき隊。蕨駅。参議院選挙の石濱哲信の応援　河合ゆうすけ,"河合ゆうすけ──
戸田市から全国へ。
「外国人優遇」「治安の崩壊」「税金の歪み」
見て見ぬふりができないテーマに正面から挑む、現場叩き上げの保守系議員。

このチャンネルでは、
河合議員のライブ配信、演説、質疑、街頭発信をでお届けします。

📌どこまで日本が壊れているのか
📌なぜ誰も声を上げないのか
📌どうすればこの国を守れるのか

他の誰でもない、「あなた自身の目で」確認してください。


このチャンネルのメンバーになって特典にアクセスしてください:
https://www.youtube.com/channel/UCWwB48zxhF6OZSKAwDyuvCQ/join

引用、転載は自由です。説明欄に必ず元動画へのリンクを貼っていただけるようにお願いします
河合ゆうすけ（ジョーカー議員）【戸田市議選歴代最多得票トップ当選】
戸田市議会議員（歴代最多得票数トップ当選）/蕨戸田衛生組合議員/京都大学卒/●保守・右派・国粋・民族主義●憲法9条改正●消費税減税●積極財政●表現の自由●投票率アップ★ほぼ毎日22時からライブ配信します
#河合ゆうすけ #戸田市議会 #保守政治","['河合ゆうすけ', '戸田市議会', '保守政治', '外国人生活保護', '不法滞在', '治安問題', '日本人優先', '市議会質問', '議会改革']",https://i.ytimg.com/vi/PHI7aAE-q-Y/hqdefault.jpg,25,21041,1955,149,PT1H7M1S,False,自民党,,
tn0lAR99u-o,2025-07-04T20:15:07Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【夜ニュースライブ】最新ニュースと生活情報（7月4日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・悪石島から島外避難の13人乗せたフェリーが鹿児島港に　第2陣も検討
・熱中症警戒アラート“今年最多”　命守るエアコン…室外機の盗難被害相次ぐ
・クマに襲われたか　自宅の居間で81歳女性死亡　“全身に傷”
・死者・行方不明者69人…熊本豪雨から5年　被災地で祈り
・トランプ大統領“各国に最大70％の関税通知”
・三井住友信託銀行元部長に有罪判決　インサイダー取引の罪　東京地裁
・“ルフィ”グループ幹部の男　特殊詐欺で稼いだ額は“月に2億円以上”
・“選挙ポスターで名誉を棄損された”立憲候補者がNHK党候補者を刑事告訴
・【解説】選挙ポスターで“名誉毀損” 　NHK党候補者を刑事告訴
・ナゼココに？　外国人観光客が“ニッポンの下町”向かうワケ
・佳子さま、昭和天皇陵を参拝　ブラジル訪問終了を報告
・足立区の小学校校庭にクギ…児童転倒し切り傷、救急搬送　区の職員ら点検、地中に埋まるクギなど36本見つかる
・米ロサンゼルスで「アニメエキスポ」開催　日本のポップカルチャーの魅力発信
・タワマンで女性殺害初公判　男が起訴内容認める
ほか


◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn　#事件　#事故","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/tn0lAR99u-o/hqdefault.jpg,25,19368,62,1,PT5H59M56S,False,日テレNEWS,候補者;東京,2.0
4oimtBQoVJo,2025-07-05T07:27:10Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【夜ニュースライブ】最新ニュースと生活情報（7月5日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・地震続く鹿児島・十島村　あす悪石島と小宝島から新たに44人避難へ
・西日本や東海で猛烈な暑さ　この先も厳しい暑さが続く見込み
・参議院選挙　最初の土曜日　各党党首、全国で支持訴え
・トランプ大統領　“関税率”通知書簡を7日に送付へ　12か国に
・米テキサス州で大規模洪水　24人死亡、20人以上の少女が行方不明
・天皇皇后両陛下　あすからモンゴル訪問へ　107歳経験者が語る日本人抑留者“慰霊”への期待
・都内で飲酒運転の一斉検問、警視庁「飲酒運転は犯罪」
・路上で頭から血を流した男性死亡、ひき逃げか…現場にタイヤのブレーキ痕　千葉・松戸市
・はしか感染の男性が大阪・関西万博に　大阪府など注意呼びかけ
・J3鹿児島下部チーム乗るマイクロバス、電柱に衝突　2人骨折
・海底で笹に短冊飾り付け　新潟・佐渡市「水中七夕まつり」
・ローマのガソリンスタンドで大規模爆発　45人ケガ
・ドイツ北東部で長距離バス横転　日本人男性1人含む31人ケガ
・米トランプ大統領、大型減税法案に署名「ロケットのように経済成長」
・ハマス、ガザ停戦案「前向きな回答」仲介国に提出“直ちに交渉行う用意”
・知人の脚を千枚通しで刺した疑い、19歳の男子大学生を逮捕　宮城・仙台市
・米によるイランの核施設攻撃、中枢施設に被害か　衛星画像を専門家が分析


◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#悪石島 #参議院選挙 #猛暑 #地震 #トカラ列島 #トランプ大統領 #関税 #天皇皇后両陛下 #はしか #万博 #イラン #七夕 #ドイツ #ハマス #ローマ
#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn　#事件　#事故","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/4oimtBQoVJo/hqdefault_live.jpg,25,13138,84,0,P0D,False,日テレNEWS,参議院選挙;大阪,2.0
