id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count,view_count_numeric
wOAew9H2L5M,2025-07-13T01:24:42Z,UCrZNoXoLkclKpyUjIKa1vBw,ニッポンチャチャチャ,㊗️14万再生　和歌山参院選でまさかの大異変　二階氏に逆風か　#参院選 #参院選2025 #選挙 #自民党,,[],https://i.ytimg.com/vi/wOAew9H2L5M/hqdefault.jpg,22,156282,4616,327.0,PT1M7S,False,自民党,,,156282.0
eMPoiKwgUnM,2025-07-13T02:15:19Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,【LIVE】朝のニュース（Japan News Digest Live）最新情報など｜TBS NEWS DIG（7月13日）,"7月13日（日）の早朝から TBS NEWS で放送された最新のニュースをダイジェストでお届けします。

・8月1日から EUとメキシコに関税30％
・ロシア外相と金正恩氏が会談 プーチン大統領が「首脳会談を期待」と伝える
・自民・鶴保氏の予算委員長辞任の申し出 参院幹事長が認める
・千葉・鴨川 中1男子 海で溺れたか
・北海道 クマに男性が襲われ死亡
・指示役とみられる男逮捕 幻覚作用の麻薬密輸か
・中学教師 卒業生へのストーカー行為で逮捕
・電動キックボードの交通安全イベント
・警視庁 人材確保の採用イベント
・米・オハイオ 男の子がクレーンゲームに閉じ込められる

▼TBS NEWS DIG 公式サイト
https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html","['NEWS', 'ニュース', 'TBSNEWS', '報道', '日本', 'Japan', '最新ニュース', 'japan', 'live', 'tbs', 'livenews']",https://i.ytimg.com/vi/eMPoiKwgUnM/hqdefault.jpg,25,57897,165,4.0,PT11M13S,False,TBS NEWS DIG Powered by JNN,参院;自民,2.0,57897.0
Hh3xIEDMmdY,2025-07-13T07:26:27Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,【ライブ】7/13 昼ニュースまとめ 最新情報を厳選してお届け,"店舗兼住宅で火事 2人死亡　住人の男性と孫か　名古屋
台風5号 14日に関東や北日本へ　急に強まる雨や風に警戒
「X全量調査」政策発信を分析　参院選 公示後1週間
モンゴルでの全日程終える　天皇皇后両陛下 帰国の途に
米関税　EUとメキシコは30％　EU「必要なら対抗措置」
伝統鋳物の「風鈴参道」音色で感じる“涼”　栃木・佐野市
天皇陛下「豊かな歴史や自然に触れた」　モンゴルでの全日程終了
千葉市でマンション火災 2人が死亡　住人の10代姉妹と連絡取れず
ラブロフ外相を金総書記がヨットで歓待　北朝鮮兵のウクライナ領内での参戦 否定せず
遺族「まだ真実は出ていない」　川崎の死体遺棄事件
元Jリーガーの男性教師を逮捕　ストーカー行為か
【速報】小笠原近海で台風5号が発生　月曜日には関東に接近の恐れ　気象庁
クマに襲われ男性死亡　北海道に「ヒグマ警報」
米「無差別な移民摘発」中止命じる　連邦地裁　トランプ政権に対し仮処分
ウクライナ西部に大規模な空爆　ポーランド軍も警戒態勢に
「藪に引きずる」行動の意味は？専門家が語るヒグマの習性　新聞配達員襲われ死亡
昼夜の寒暖差で美味しく育った高原大根を出荷　栃木・那須塩原市

■テレ朝NEWS24 日本のニュースを24時間配信
https://youtube.com/live/coYw-eVU0Ks

■テレ朝ニュース公式HP
https://news.tv-asahi.co.jp/

#ニュース #ライブ #ann",[],https://i.ytimg.com/vi/Hh3xIEDMmdY/hqdefault.jpg,25,48794,214,2.0,PT26M26S,False,ANNnewsCH,参院;参院選,2.0,48794.0
H4UJL6hozNU,2025-07-13T14:40:22Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,【ライブ】7/13 夜ニュースまとめ 最新情報を厳選してお届け,"真夏日3日ぶり500地点超　関東は暑さ復活　西日本は猛暑続く
投票まであと1週間　他党批判相次ぐ　参院選「ラストサンデー」
台風5号　14日 関東に最接近　西日本に熱帯低気圧 大雨に要警戒
万博来場者1000万人超え　会期折り返し 黒字確保に“現実味”
涙ながらに家族の名前叫び…　知床の観光船事故 初の洋上慰霊
刺し傷ある腐敗遺体発見 73歳住人と連絡取れず 事件視野に捜査　茨城
昼夜の寒暖差で美味しく育った高原大根を出荷　栃木・那須塩原市
店舗兼住宅で火事 2人死亡　住人の男性と孫か　名古屋
台風5号 14日に関東や北日本へ　急に強まる雨や風に警戒
「X全量調査」政策発信を分析　参院選 公示後1週間
モンゴルでの全日程終える　天皇皇后両陛下 帰国の途に
米関税　EUとメキシコは30％　EU「必要なら対抗措置」
千葉市でマンション火災 2人が死亡　住人の10代姉妹と連絡取れず
【速報】モンゴル訪問の天皇皇后両陛下　羽田空港に到着

■テレ朝NEWS24 日本のニュースを24時間配信
https://youtube.com/live/coYw-eVU0Ks

■テレ朝ニュース公式HP
https://news.tv-asahi.co.jp/

#ニュース #ライブ #ann",[],https://i.ytimg.com/vi/H4UJL6hozNU/hqdefault.jpg,25,45111,141,2.0,PT19M45S,False,ANNnewsCH,参院;参院選;投票,3.0,45111.0
oVGncYAbgdE,2025-07-13T08:19:57Z,UCQhaZjODkIjuv38d-i5TVRw,カンテレNEWS,「物価高対策は給付か減税か　予算・財源は」「社会保険料引き下げは…現役VS高齢者は政府の思う壺」参院選前に大激論｜東野幸治、山本浩之、安藤優子、ゆめぽて、鈴木哲夫｜newsランナー〈カンテレNEWS〉,"カンテレ「newsランナー参院選「投票前に」大激論SP」
2025年7月13日放送

✼••┈┈┈┈••✼••┈┈┈┈••✼••┈┈┈┈••✼

▣ カンテレ報道への情報提供・取材依頼
◇ https://ktv.dga.jp/runner/12942

▣ newsランナー
◇ 月〜金・夕方4時50分から放送中！
◇ HP：https://www.ktv.jp/runner

▣ 旬感LIVE とれたてっ!
◇ 月～金・午後1時50分から生放送！
◇ HP：https://www.ktv.jp/toretate」
◇ 見逃し配信：https://www.youtube.com/playlist?list=PLaIeKE1_j9N-u6AUSovDXvJQcTMIeiquw

▣ ザ・ドキュメント
◇ 過去のドキュメンタリーを全編配信中！
https://www.youtube.com/playlist?list=PLaIeKE1_j9N80lCQV3gz46Gy6yEQbgdz4

▣ カンテレアナウンサー
◇ プロフィール：https://www.ktv.jp/ann
◇ YouTube：https://youtube.com/channel/UCam_hjRm0G1sF0M3G0RA1qQ?si=U1MFAZ39MdWKpP-z

▣ カンテレドーガ
◇ 名作ドラマやバラエティーを配信！
◇ HP：https://ktv-smart.jp","['newsランナー', '関西テレビnews', '関西テレビ', 'カンテレ', 'ニュース', '関西のニュース', '今日のニュース', '特集', '大阪', '兵庫', '奈良', '徳島', '京都', '和歌山', '三重', '滋賀', '最新ニュース', '西日本', '関西テレビニュース', '近畿news', '近畿ニュース', '関テレ', 'Japan', 'kyoto', 'osaka', 'kobe', '密着', '取材', 'ニュース配信', 'ドキュメンタリー', 'ドキュメント', '報道', 'LIVE配信', 'ライブ配信', '地震', '津波', '災害', '台風', 'カンテレNEWS']",https://i.ytimg.com/vi/oVGncYAbgdE/hqdefault.jpg,25,42337,313,184.0,PT1H37S,False,自民党,,,42337.0
XRYyXntnmxs,2025-07-13T14:15:07Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,【参院選中盤で各党が論戦激突】SNSが示す新論点“外国人との共生”有権者の視点【日曜スクープ】(2025年7月13日),"7月20日に投開票が迫る参議院選挙も中盤戦に突入し、与党が参議院で過半数維持ができるかが選挙戦における最大の焦点として注目を集めている。今回争われるのは、改選と非改選の欠員補充をあわせた125議席。選挙区と比例代表をあわせ、立候補者は過去最多の522人にのぼる。与党が過半数を維持するには、非改選の75議席とあわせて、自民・公明両党で50議席以上の獲得が必要となる。

各党のキャッチフレーズに多く見られるように、今回の選挙では公示前から「物価高対策」が最大争点として浮上していた。しかし、SNS上では新たな関心の兆しも見られる。ANNは、SNS「X」上で公示日から12日までのすべての投稿を分析。可視化されたデータでは、「外国人問題」への言及が顕著に増加している状況が確認された。公示直後の7月3日をみると、「消費税」や「減税」などの経済政策が大きく表示されていたが、12日では、「外国人問題」の投稿が最も多くなっている。

こうした社会的関心の高まりは、在留外国人の増加という現実が背景にあると指摘されている。厚生労働省の統計によれば、2024年10月末時点で、日本で働く外国人労働者の数は約230万人に達し、前年より25万人以上増加、過去最多を更新した。石破総理は7月8日、在留外国人問題に対して、省庁横断的に対応するため、司令塔機能を担う新たな事務局組織の設置を表明。これについて、林官房長官は、「一部の外国人による犯罪や制度の不適切利用により、国民の間に不安や不公平感が生じている」と説明し、対応の必要性を訴えた。外国人関連の制度見直しは、既に実務レベルでも動き出している。警察庁は、外国人が自国の運転免許を日本の免許に切り替える「外免切替」制度について、申請基準の厳格化を進める方針を固めた。これまでは、観光客など短期滞在者もホテル等が発行する証明書により、申請が可能だったが、今後については、住民票の写しの提示を原則とする方針が固まった。警察庁によると、2023年に外免切替で日本の免許を取得した外国人は6万8623人にのぼり、2015年比で2倍以上に増加。2023年の外国人による交通事故は7286件と増加傾向にあるという。

★ゲスト：久江雅彦（共同通信特別編集委員）、鈴木哲夫（ジャーナリスト）
★アンカー：杉田弘毅（ジャーナリスト/元共同通信論説委員長）
[テレ朝NEWS] https://news.tv-asahi.co.jp","['ニュース', 'テレビ朝日', 'provided', 'ニュース企画', '本編のみ', '日曜スクープ', '参院選2025']",https://i.ytimg.com/vi/XRYyXntnmxs/hqdefault.jpg,25,29520,245,355.0,PT33M14S,False,自民党,,,29520.0
Ate1Wctg_Po,2025-07-13T09:03:46Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,投票まであと1週間　他党批判相次ぐ　参院選「ラストサンデー」【スーパーJチャンネル】(2025年7月13日),"　参議院選挙の投開票まであと1週間、ラストサンデーの13日、各党首が街頭で有権者に支持を訴えました。

■参院選「ラストサンデー」

自民党　石破総裁
「多くの選挙やってきましたが、なかでも極めて厳しい選挙であります。減税もしますが、困ってる人に手厚く、それを組み合わせながら我々はこの国を確かな方向に導いてまいります」

公明党　斉藤代表
「学校に行きたい、大学院に残って研究したい。そういう人たちにはしっかり奨学金を出す。それを返す段になると大変大きな負担がある。その奨学金減税を」

立憲民主党　野田代表
「食卓から笑顔が消えるような政治をもうストップかけようじゃありませんか。我々は責任ある政党です。財源も外交でも責任を持って政権交代を目指していきたい」

日本維新の会　吉村代表
「350万円の収入の人で100万円社会保険料を負担しているんです。どうやって夢を持って生活するんですか？負担を抑えるのが政治家の仕事でしょ？選挙前に2万円配りますからよろしく。こんな政治をやってたら負担はどんどん増えます」

共産党　田村委員長
「選挙のたびに持ち出してばらまいても、暮らしは良くならなかったんです。私たちは消費税全部5％に減税する」

国民民主党　玉木代表
「結局何も変わらないだろうというあきらめ。私たちはそんな不安やあきらめと戦って勝ちたいと思っている。まず皆さんが払った税金取り戻しませんか」

れいわ新選組　山本代表
「今やらなきゃいけないことは何？働いている人だけじゃなくて、働いていない人も、皆の使えるお金を増やしていく政策が必要。そのためには消費税廃止が必要なんですね」

社民党　福島党首
「あなたの生きづらさはあなたの責任ではありません。政治の結果です。守るべきは消費税ではなくてあなたの暮らし、皆の暮らしではないでしょうか」

参政党　神谷代表
「なんで外国人雇ったら補助が出て、日本人雇ったら出ないんですか。ばかばかしいじゃないですか、そんなもん。日本の若者が安心して建築業につけるような、そういう仕組みを取り戻さないといけないんです」

日本保守党　百田代表
「他の先進国が全部経済成長しているのに、日本だけが経済成長していない。これは政治の無策以外、何ものでもありません。1番の特効薬は減税です」
[テレ朝NEWS] https://news.tv-asahi.co.jp","['ニュース', 'テレビ朝日', 'provided', 'ニュース企画', '参院選2025']",https://i.ytimg.com/vi/Ate1Wctg_Po/hqdefault.jpg,25,28903,125,375.0,PT2M56S,False,自民党,,,28903.0
SKsBqf_Xbys,2025-07-13T04:07:42Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,参議院選挙の争点に？急浮上の外国人政策　今や欠かせない労働力　欧州では反発…移民・難民の排斥も【サンデーモーニング・風をよむ】｜TBS NEWS DIG,"今、日本社会のいたる所で、ごく普通に見かけるのが日本に来て働く外国人です。今回の参議院選挙で、彼らについての政策が大きな注目の一つとなっています。

▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig","['ニュース', 'NEWS', 'TBS', 'NEWSDIG', 'TBSNEWSDIG', '報道', '最新ニュース']",https://i.ytimg.com/vi/SKsBqf_Xbys/hqdefault.jpg,25,28008,309,647.0,PT11M31S,False,自民党,,,28008.0
02LYKcJ2On4,2025-07-13T01:58:41Z,UCoQBJMzcwmXrRSHBFAlTsIw,FNNプライムオンライン,参院選 列島各地で各党が懸命の訴え　期日前投票進む【もっと投票の前に】,"参議院選挙は7月13日、ラストサンデーを迎えましたが、12日も列島各地で各党が懸命の訴えを行いました。

自民党 石破茂総裁は「消費税は医療年金・介護・子育て、これに使うということが法律に決まっているのです」「我々は責任を持たなければなりません。今さえ良ければいいとか自分たちさえ良ければいいとか、そういう政治が横行した時に国は滅びるのだ」と述べました。

立憲民主党 野田佳彦代表は「能登の被災地の皆さんを逆なでするようなことを言った予算委員長がいましたね」「国民の気持ちに寄り添わない自民党の政治にみなさん、決別しようじゃありませんか」と訴えました。

日本維新の会 吉村洋文代表は「社会保険料を下げる改革をやるんだと」「僕たちは業界団体から支援を受けていません。お金をも受けていません。だからできるんです。だから切り込めるんです」と述べました。

公明党 斉藤鉄夫代表は「奨学金減税・北東アジア対話機構・新しい財源を生み出す仕組み」「ぜひ進めていきたい」と訴えました。

共産党 田村智子委員長は「外国人に攻撃の矛先を向ける。こんな政党・政治家が広がっている。私たちはここに断固として立ち向かってまいります」と訴えました。

国民民主党 玉木雄一郎代表は「誤解を恐れず言っているのは、現役世代から豊かになろう」「給料増えて手取り増えれば、高齢者の皆さんの生活も安心になるんです」と述べました。

れいわ新選組 山本太郎代表は「すべての人々にとっての保険、すべての人々にとっての希望。そういった政治を取り戻すために、れいわ新選組は先頭を走る。そういう気持ちです」と述べました。

参政党 神谷宗幣代表は「日本をつくり直したいんです。みなさんと一緒に」「グローバリズムに負けない自主独立自尊の日本をつくっていきたいんです」と訴えました。

社会民主党 福島瑞穂党首は「差別・排外主義ではなく共生を。戦争ではなく平和を」と訴えました。

日本保守党 百田尚樹代表は「外国人問題というのはある日、一定超えて日本社会が完全に壊れてしまう」と述べました。

参院選は13日がラストサンデーで、投開票は1週間後の20日ですが、期日前投票がすでに進んでいます。

FNNプライムオンライン
https://www.fnn.jp/","['ニュース', 'NEWS', 'FNN', 'FNNプライムオンライン', 'フジテレビ', 'フジテレビジョン', 'FujiTelevision']",https://i.ytimg.com/vi/02LYKcJ2On4/hqdefault.jpg,25,14625,103,226.0,PT2M38S,False,自民党,,,14625.0
6pXA9NzSGOI,2025-07-13T09:47:47Z,UCoQBJMzcwmXrRSHBFAlTsIw,FNNプライムオンライン,参院選まで1週間“ラストサンデー”各地で党首が支持訴え,"参議院選挙は13日、選挙戦最後の日曜日・ラストサンデーを迎え、与野党各党の党首が各地で支持を訴えました。

自民党・石破総裁：
我々自民党・公明党の政策だって減税もしますが、困っている人に素早く手厚い支援をしていく。我々はこの国を確かな方向に導いてまいります。

立憲民主党・野田代表：
カレーライス作るのに、去年は321円、今年429円。食卓の危機に対応して、食料品ゼロ％。責任ある減税を行おうとしている立憲民主党。

公明党・斉藤代表：
勉強をしたい、学校に行きたい。そういう人たちにはしっかり奨学金を出す。奨学金減税を。若い人たちが思う存分研究して、しっかりとした国として育っていく。

日本維新の会・吉村代表：
社会保険料が高すぎます、社会保険料を下げる。票と金を業界団体からもらってるんです、社会保障の分野においても自民党は。それで改革できますか、皆さんの負担は減りますか、減りません。

共産党・田村委員長：
なんで、こんなにコメの価格が上がったか。減反・減産、コメ農家に押し付けた。おコメの増産、農家の皆さんへの所得の保証。価格の保証、ヨーロッパを見習ってやるべきだ。

国民民主党・玉木代表：
5年連続過去最高の税収になってます。選挙対策で2万配るんじゃなくて、皆さんの懐に残そうと言ってるのが国民民主党の手取りを増やす経済政策なんです。

れいわ新選組・山本代表：
どうして消費税廃止無理なんですか。消費税のほんの一部しか社会保障に回してませんよ。消費税収の約61％が大企業減税の穴埋めに使われていたと言える。

参政党・神谷代表：
参政党が言っている外国人問題って、外国人を雇うのにお金を出すとか、外国企業にもうかる事業をあげちゃうとか、それおかしいから、そこを見直せって言ってるだけで、差別でもヘイトでもありません。

社民党・福島党首：
外国人への差別、排外主義の先にあるのは、まさにヘイトクライムであり、ジェノサイドであり、戦争ではないでしょうか。

日本保守党・百田代表：
とにかく歯止めをかけないと、私たちの日本の国は私たちの国でなくなるんですよ。野放図な移民政策、野放図な外国人政策を根本から見直したい。

今回の参議院選挙は与党が参議院で過半数を維持できるかが焦点で、1週間後の20日に投開票が行われます。

FNNプライムオンライン
https://www.fnn.jp/","['ニュース', 'NEWS', 'FNN', 'FNNプライムオンライン', 'フジテレビ', 'フジテレビジョン', 'FujiTelevision']",https://i.ytimg.com/vi/6pXA9NzSGOI/hqdefault.jpg,25,12797,75,113.0,PT3M3S,False,自民党,,,12797.0
