id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
lWXzEgx6ozw,2025-07-02T07:20:10Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫県の斎藤元彦知事が定例会見（2025年7月2日）,"兵庫県の斎藤元彦知事は、2日午後3時から県庁で定例記者会見を行う。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/lWXzEgx6ozw/hqdefault.jpg,25,66052,811,308,PT1H18M55S,false,THE PAGE
nd0bfIADAmk,2025-07-01T02:13:02Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,「再生の道」石丸伸二代表が会見　参院選の公約を発表（2025年7月1日）,"石丸伸二氏が代表を務める地域政党「再生の道」は、1日午前10時から記者会見を開く。3日公示、20日投開票の参議院選挙に向けた公約と立候補予定者を発表する。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#参院選
#石丸伸二","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/nd0bfIADAmk/hqdefault.jpg,25,38985,1931,447,PT1H17M35S,false,THE PAGE
KydHAwKF5LY,2025-07-01T08:14:41Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,山尾志桜里氏が再び会見　参院選に無所属で立候補へ（2025年7月1日）,"元衆院議員の山尾志桜里氏は、1日午後4時から都内で記者会見を行う。今夏に行われる参議院選挙に無所属で立候補するとみられる。山尾氏は先月10日にも記者会見を開き、国民民主党からの出馬表明を行ったが、過去の報道に関する批判が相次ぎ、公認が見送られた。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#参院選","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/KydHAwKF5LY/hqdefault.jpg,25,35238,395,250,PT1H13M6S,false,THE PAGE
e-IqE4xo6io,2025-07-01T02:43:43Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,再生の道・石丸代表が公約発表「教育への投資を優先」　参院選を経て政党要件を目指す（2025年7月1日）,"前広島県安芸高田市長の石丸伸二氏が代表を務める地域政党「再生の道」は1日午前、記者会見を行い、3日公示、20日投開票の参議院選挙に向けた公約と、吉田綾氏ら立候補予定者10名を発表した。

石丸代表は、目的を「教育への投資を優先し、持続可能な社会を構築する」と強調。急激な人口減少を念頭に、「普通にやっていては持続不可能だ」と危機感を示し、その解決策として教育政策を最上位に掲げた。参院選を経て「国政政党要件の達成」を目指すとしたが、「一つでも多くの議席を得たいが、楽観視はしていない」と慎重に語った。また、多選制限として「2期12年」を明文化しつつ、テクノロジーを活用した教育改革にも言及した。

会見全編はこちら：https://youtube.com/live/nd0bfIADAmk

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#参院選
#石丸伸二","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/e-IqE4xo6io/hqdefault.jpg,25,6787,420,90,PT37M45S,false,THE PAGE
QR5h0lFKQCw,2025-07-02T08:32:26Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,鹿児島・十島村で震度5弱　気象庁が会見（2025年7月2日）,"映像提供：気象庁
2日午後3時26分ごろ、鹿児島県・トカラ列島近海を震源とする地震があり、鹿児島県十島村で震度5弱の強い揺れを観測した。気象庁によると、震源の深さは約10km、地震の規模（マグニチュード）は5.5と推定されている。同庁は、午後5時10分から記者会見を行い、先月21日から続くトカラ列島近海の地震活動について説明する。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#気象庁","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/QR5h0lFKQCw/hqdefault.jpg,25,14120,76,1,PT17M20S,false,THE PAGE
Q2KuVNUxEhc,2025-07-01T08:41:55Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,山尾志桜里氏「怒りを込めた出馬ではない」国民民主の公認取り消しで　無所属で参院選出馬へ（2025年7月1日）,"元衆議院議員の山尾志桜里氏は1日午後、無所属で参院選に出馬する意向を示し、記者会見で「怒りを込めた出馬という思いはゼロです」と述べた。国民民主党からの公認取り消しをめぐり、「党のガバナンス統治能力には疑問を持った」としつつ、離党時に発表したコメントについては「感情ではなく、必要な事実を区分けして伝えるべきだと考えた」と語った。

また、今回の選挙戦については「団体もゼロ。スポンサーもゼロ。完全無所属」と述べ、「個人としての信を問う選挙」と位置づけた。記者会見については、「逃げずにこういった会見でしっかりと質疑応答を受ける」とし、「こういった姿勢も含めて有権者に信を問いたい」と述べた。

過去の不倫報道についての説明を今後行うかという質問には、「6月10日の会見で回答は尽くした」とし、プライバシーへの配慮から再説明はしないと明言。「このスタンスを含め、有権者の判断に委ねたい」と語った。

会見全編はこちら：https://youtube.com/live/KydHAwKF5LY

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#参院選","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/Q2KuVNUxEhc/hqdefault.jpg,25,4895,41,35,PT38M25S,false,THE PAGE
6gnOFZ5Xq7Y,2025-07-01T06:20:30Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,再生の道・石丸代表「ばれてます、選挙対策」バラマキを批判　参院選の公約を発表（2025年7月1日）,"前広島県安芸高田市長の石丸伸二氏が代表を務める地域政党「再生の道」は1日午前、記者会見を行い、3日公示、20日投開票の参議院選挙に向けた公約とともに、吉田綾氏ら立候補予定者10名を発表した。

記者から石丸代表が経済の専門家にもかかわらず、なぜ教育を公約の柱としたのか問われると、石丸代表は「すべての礎は人だからです」と述べ、教育こそが社会の基盤であり、未来をつくると強調した。また「民度や社会の豊かさも教育によって培われた」と訴え、経済政策が注目されがちな中、教育の重要性は見落とされていると危機感を示した。

さらに、選挙に向けて各党が打ち出す給付金や減税案について言及し、「ばれてます。選挙対策であることが見透かされてると思う」と述べ、「国民はそんなに無知ではない。馬鹿にしない方がいい」と強調した。経済を前面に出せば得票に有利だが、「理念を貫きつつ議席も目指す」と決意を語った。

会見全編はこちら：https://youtube.com/live/nd0bfIADAmk

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#参院選
#石丸伸二","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/6gnOFZ5Xq7Y/hqdefault.jpg,25,4137,263,33,PT36M15S,false,THE PAGE
Z0YmLQ18lOo,2025-07-02T12:00:40Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫県・斎藤知事　選挙ポスター掲示板の増設は選挙管理委員会の判断（2025年7月2日）,"兵庫県の斎藤元彦知事は2日午後、県庁で定例記者会見を行った。

会見では記者から、昨年11月に行われた兵庫県知事選挙の際に、ポスター掲示板の設置費用が前回行われた2021年選挙時の3倍以上になったことについて、どう考えるかという質問があった。

斎藤知事は質問に対し「今回の参院選もそうですが立候補というものは自由がありますので、一定の供託金を支払えば立候補ができるということだと思います」と答えた。

また「今回も多数の立候補者が出られることになると思いますが、これは選挙管理委員会がご判断でポスター掲示板についてご準備いただいたということだと思います」と述べていた。

この会見の全映像はこちら：https://www.youtube.com/live/lWXzEgx6ozw

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/Z0YmLQ18lOo/hqdefault.jpg,25,2778,33,20,PT31M15S,false,THE PAGE
SuvfVFDaKhA,2025-07-02T11:37:37Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫・斎藤知事　参院選「候補者の応援は考えていない」（2025年7月2日）,"兵庫県の斎藤元彦知事は2日午後、県庁で定例記者会見を行った。

会見では3日に公示となる参院選（20日投開票）についての質問が相次ぎ、記者からは「兵庫選挙区には各党の幹部が初日から入る予定もあり注目の選挙区だが、この状況をどうみているか」という質問があった。

斎藤知事はそれに対し「先日の都議会議員選挙でも関心が非常に高かったですが、物価高対策が大きな焦点になるかという風に思っています」と述べた。

そして「多くの方が立候補を予定されているということで、全国でも屈指の多くの方が出られる戦いという風になることが予想され、県民のみなさんにおかれましては各候補者や政党の主張、政策をみられて、そのうえでご判断いただくと思います」と続けた。

また記者からは、参院選の候補者の応援にいくことなどを考えているかどうかという質問もあった。それに対し、斎藤知事は「私自身については先日お答えしたとおり、公務優先で考えていますので応援に行くということなどは考えていません」と答えていた。

会見の全映像はこちら：https://www.youtube.com/live/lWXzEgx6ozw

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/SuvfVFDaKhA/hqdefault.jpg,25,1464,21,11,PT21M55S,false,THE PAGE
w9rMU29AmjQ,2025-07-02T13:11:45Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫・斎藤知事　参院選「候補者の応援は考えていない」（2025年7月2日）  #thepage_jp #兵庫県  #記者会見,"兵庫県の斎藤元彦知事は2日午後、県庁で定例記者会見を行った。

会見では3日に公示となる参院選（20日投開票）についての質問が相次ぎ、記者からは「兵庫選挙区には各党の幹部が初日から入る予定もあり注目の選挙区だが、この状況をどうみているか」という質問があった。

斎藤知事はそれに対し「先日の都議会議員選挙でも関心が非常に高かったですが、物価高対策が大きな焦点になるかという風に思っています」と述べた。

そして「多くの方が立候補を予定されているということで、全国でも屈指の多くの方が出られる戦いという風になることが予想され、県民のみなさんにおかれましては各候補者や政党の主張、政策をみられて、そのうえでご判断いただくと思います」と続けた。

また記者からは、参院選の候補者の応援にいくことなどを考えているかどうかという質問もあった。それに対し、斎藤知事は「私自身については先日お答えしたとおり、公務優先で考えていますので応援に行くということなどは考えていません」と答えていた。

会見の全映像はこちら：https://www.youtube.com/live/lWXzEgx6ozw

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/w9rMU29AmjQ/hqdefault.jpg,25,3992,51,7,PT1M45S,false,THE PAGE
