id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
qs2AmonNNYc,2025-07-06T05:04:35Z,UCwywumWHI4_hQtZpJwsC8cw,高須幹弥（高須クリニック）,埼玉県川口市のクルド人問題について私の意見を話します,"高須クリニックホームページ
↓↓↓↓
https://www.takasu.co.jp/

高須幹弥インスタグラム
↓↓↓↓
https://www.instagram.com/takasumikiya/

高須幹弥アメーバブログ
↓↓↓↓
https://ameblo.jp/drmikiya/

高須幹弥Tik tok
↓↓↓↓
https://www.tiktok.com/@takasumikiya",[],https://i.ytimg.com/vi/qs2AmonNNYc/hqdefault.jpg,25,128068,5252,1278,PT15M23S,false,高須幹弥（高須クリニック）
59e9Ltf6l-4,2025-07-06T10:00:11Z,UCXjTiSGclQLVVU83GVrRM4w,堀江貴文 ホリエモン,三崎優太さんと久しぶりの対談！フジテレビ株主総会と二人が出演のフェス「BOB2025」を語る,"BOB2025：別府温泉ぶっかけフェス 8月23日開催！チケット発売中
https://bobfes.jp/

▼VVIPテーブル&三崎特設VVIPテーブルの購入をご検討の方はこちらから
https://backstage.inc/BOB/2025/VVIP

【テロップ訂正】
0:53
(誤)和牛マフィア
(正)WAGYUMAFIA

*◆メルマガ*
『HORIEMON Newsletter』
最新ニュース解説を毎日無料で発行！
▶ https://horiemon.media/register/

『ホリエモン公式メルマガ』
YouTubeにはない情報も盛り沢山で配信中！
 ▶ https://zeroichi.media/with/1242

*◆オンラインサロン*
『堀江貴文イノベーション大学校(HIU)』
メンバー募集中！
▶ https://lounge.dmm.com/detail/87/

『neoHIU』
ビジネス系に特化した起業家向けのSlack使用オンラインサロン！
▶ https://lounge.dmm.com/detail/6218/

*◆メディア*
『ZATSUDAN』
様々なフィールドで活躍するプロフェッショナル達の雑談を配信！
2週間の無料トライアル中！
▶ https://zatsudan.com/

『OPENREC』
メルマガ付き！HIUイベントでの対談
会員限定で30分お試し視聴可能！
▶ https://www.openrec.tv/user/horiemon_

*◆Wi-Fi*
『ホリエのWi-Fi』
本体実質無料+国内3キャリア実質使い放題+海外151ヶ国利用可！
▶ https://horienowifi.jp/
※ホリエのWi-Fiやコラボモバイルを販売する加盟店募集中！
▶ https://www.youtube.com/watch?v=xsCDUS7fQ38

*◆おすすめ書籍*
ホリエモン演歌デビュー曲「チョメチョメ」CD
▶ https://amzn.to/42pousN
多動力 (NewsPicks Book) (幻冬舎文庫)
▶https://amzn.to/4iN6MFr
ゼロ―――なにもない自分に小さなイチを足していく（ダイヤモンド社）
▶ https://amzn.to/4hPpJGd

*◆堀江貴文SNS*
X : https://twitter.com/takapon_jp
Instagram : https://www.instagram.com/takapon_jp/
TikTok : https://www.tiktok.com/@takafumi_horie

運営：SNS media&consulting 株式会社
https://snsmandc.jp","['堀江貴文', 'ホリエモン', '堀江', '貴文', 'Takafumi', 'Horie']",https://i.ytimg.com/vi/59e9Ltf6l-4/hqdefault.jpg,25,16184,366,33,PT10M2S,false,堀江貴文 ホリエモン
jJk3fr-3mgA,2025-07-06T04:01:00Z,UCLJNZ7osIjNix4bbkM-rj5w,たまきチャンネル,【参院選】現役世代を支え 全世代へ！,"【たまきチャンネルは切り抜きOK!! どんどんお願いします！】
ただし、元動画の表現の意図や趣旨を故意に改変すること、
人格を侮辱したり事実と異なる内容の文字表記を加えること、
法令や公序良俗に反する内容に加工することはお控えください。

チャンネル登録お願いします！↓
https://www.youtube.com/channel/UCLJNZ7osIjNix4bbkM-rj5w?sub_confirmation=1

たまき雄一郎公式Webサイト
https://www.tamakinet.jp/

たまき雄一郎SNS
【Facebook】 https://www.facebook.com/tamakinet55/
【X(旧Twitter)】 https://x.com/tamakiyuichiro
【Instagram】 https://www.instagram.com/yuichiro.tamaki/
【アメブロ】 https://ameblo.jp/tamakiyuichiro/","['たまき', '玉木雄一郎', '衆議院', '国会', '国民民主党', '政治', '政治家', '永田町', '突撃', 'インタビュー']",https://i.ytimg.com/vi/jJk3fr-3mgA/hqdefault.jpg,25,10472,595,32,PT43S,false,たまきチャンネル
7M3wQp2_q7M,2025-07-06T07:54:21Z,UC80FWuvIAtY-TRtYuDocfUw,立花孝志,日本保守党を応援されている方へ！お願い🙇日本保守党の公認候補者がいない府県【東京、北海道、愛知、大阪、福岡、福井以外の府県】の方は、是非NHK党公認候補者へ投票して下さい！,"立花孝志は兵庫県で落選して、更に選挙区か全国区で２％得票できなければ政治家を引退します。

１枚目の投票用紙に下記のあなたの府県の立候補者に投票して頂ければ、私立花孝志の政治家引退を阻止できます。

青森県は【佐々木　晃】、岩手県は【吉田　博信】、宮城県は【前田　太一】、秋田県は【本田　幸久】、山形県は【大貫　学】、福島県は【越智　寛之】、茨城県は【酒井　明男】、栃木県は【高橋　真佐子】、群馬県は【上楽　宗之】、埼玉県は【山田　信一】、千葉県は【玉元　弘次】、神奈川県【堀川　圭輔】、新潟県は【原田　公成】、富山県は【佐藤　明】、石川県は【小沢　正人】、山梨県は【舟橋　夢人】、長野県は【加藤　英明】、岐阜県は【小池　裕之】、静岡県は【福原　志瑠美】、三重県は【橋本　博幸】、滋賀県は【菅原　良雄】、京都府は【木村　嘉孝】、兵庫県は【立花　孝志】、奈良県は【川崎　智之】、和歌山県は【本間　奈々】、鳥取県と島根県は【谷口　直矢】、岡山県は【岩田　好明】、広島県は【堤　美登里】、山口県は【奥野　信治】、徳島県と高知県は【中島　康治】、香川県は【野呂　美和子】、愛媛県は【斉藤　博樹】、佐賀県は【松尾　芳治】、長崎県は【神谷　幸太郎】、熊本県は【立花　勝樹】大分県は【二宮　大造】、宮崎県は【北川　哲平】、鹿児島県は【山本　貴平】、沖縄県は【眞喜志　雄一】",[],https://i.ytimg.com/vi/7M3wQp2_q7M/hqdefault.jpg,25,99249,8708,1364,PT4M59S,false,立花孝志
F_tLypyzCA8,2025-07-06T01:31:57Z,UC80FWuvIAtY-TRtYuDocfUw,立花孝志,斎藤元彦知事の敵！　国民民主党　多田ひとみ,"オリジナル動画はこちらから
https://www.youtube.com/watch?v=ESjpU4mv4xM

★参議院選挙に立候補しています。
兵庫県の方は【立花孝志】と１枚目の投票用紙にはと書いて下さい。２枚目の投票用紙には【ＮＨＫ党】と書いて下さい。

立花孝志は兵庫県で落選して、更に選挙区か全国区で２％得票できなければ政治家を引退します。
１枚目の投票用紙に下記のあなたの都道府県の立候補者に投票して頂ければ、私立花孝志の政治家引退を阻止できます。
北海道は【後藤　朋子】、青森県は【佐々木　晃】、岩手県は【吉田　博信】、宮城県は【前田　太一】、秋田県は【本田　幸久】、山形県は【大貫　学】、福島県は【越智　寛之】、茨城県は【酒井　明男】、栃木県は【高橋　真佐子】、群馬県は【上楽　宗之】、埼玉県は【山田　信一】、千葉県は【玉元　弘次】、東京都は【石丸　幸人】、神奈川県【堀川　圭輔】、新潟県は【原田　公成】、富山県は【佐藤　明】、石川県は【小沢　正人】、福井県は【浜田　智】、山梨県は【舟橋　夢人】、長野県は【加藤　英明】、岐阜県は【小池　裕之】、静岡県は【福原　志瑠美】、愛知県は【横山　緑】、三重県は【橋本　博幸】、滋賀県は【菅原　良雄】、京都府は【木村　嘉孝】、大阪府は【竹内　隆】、兵庫県は【立花　孝志】、奈良県は【川崎　智之】、和歌山県は【本間　奈々】、鳥取県と島根県は【谷口　直矢】、岡山県は【岩田　好明】、広島県は【堤　美登里】、山口県は【奥野　信治】、徳島県と高知県は【中島　康治】、香川県は【野呂　美和子】、愛媛県は【斉藤　博樹】、福岡県は【村上　成俊】、佐賀県は【松尾　芳治】、長崎県は【神谷　幸太郎】、熊本県は【立花　勝樹】大分県は【二宮　大造】、宮崎県は【北川　哲平】、鹿児島県は【山本　貴平】、沖縄県は【眞喜志　雄一】

★NHK党は参議院選挙全国比例に浜田聡参議院議員、福永活也弁護士、川﨑たかひろ弁護士の３名を擁立しました。
立花孝志の当選と国政政党復帰をめざしています！

★全国の４５選挙区の立候補予定者はこちらから
https://syoha-senkyo.jp/

★立花孝志の携帯電話番号→08025089347　留守番電話に用件をお知らせ頂ければ折り返しさせて頂きます。

★党に対して寄附をして頂くと個人名が公表されたり、事務処理が煩雑にもなりますので、立花孝志が経営する『立花孝志ひとり放送局株式会社』にYouTubeの『視聴料』として下記の金融機関口座にお振り込み頂ければ幸いです。
１.ゆうちょ銀行　記号14070　番号8448861 
２.三菱ＵＦＪ銀行　堺支店　普通預金　0091679 
３.三井住友銀行　浜寺支店　普通預金　1523308 
名義はいずれも、『立花孝志ひとり放送局株式会社』です。

★ＮＨＫにお金を支払わない国民を増やすことを目指します。

★ホリエモンと立花孝志のＮＨＫでの政見放送
https://www.youtube.com/watch?v=yHMsGmH9IK8&t=62s
立花孝志はイロモノではない事をホリエモンが語ってくれています。
https://www.youtube.com/watch?v=e31DYLFa45E【１１分３０秒あたりから１０分間くらいをご覧ください。】

★ホームページはこちら
https://www.syoha.jp/

★私は、ＮＨＫ職員を１９年４ヶ月してましたが、２００５年に週刊文春でＮＨＫの不正経理を内部告発して退職【内部告発が原因で実質上のクビ】になりました。

★受信料不払いに関する相談センター【ＮＨＫ党コールセンター】 03-3696-0750【代表】午前10時から夜７時まで、土日祝はお休みです。

★Ｘ旧ツイッター https://twitter.com/tachibanat","['参議院', '全国比例', '参議院選挙', 'ＮＨＫ', 'ＮＨＫから国民を守る党', 'ＮＨＫ受信料', 'ＮＨＫ裁判', '受信料裁判', 'エヌリンクス', 'ＮＨＫ集金', 'ＮＨＫ訪問員', '集金人', '立花孝志', '最高裁判決', 'イラネッチケー', '衛星契約', '衛星料金', 'ＢＳ契約', 'ＢＳ料金', '日本放送協会放送受信規約', '放送法', '放送法64条', 'ＮＨＫをぶっ壊す', '政見放送', '葛飾区議会議員', 'ＮＨＫ嫌い', '日本放送協会', '受信料踏み倒す', 'ホリエモン', '堀江貴文', 'ぶっ壊す', '国会議員ユーチューバー', '元国会議員', 'ＮＨＫ党', '政治家女子', '政治家女子４８', '政治家女子４８党', 'アイドル政治家', 'ガーシー', '東谷義和', '請求書受け取り代行', '特別あて所配達', 'ＤＪ社長', 'ＤＪ社長立候補', '青汁王子', '堀江政経塾', '電通', '統一地方選挙', '全国ブロック', '政治女子', '女子政治家', '政治家オーディション', 'ＳＪＪ４８', '兵庫県知事選挙', '泉大津市', '泉大津市長選挙']",https://i.ytimg.com/vi/F_tLypyzCA8/hqdefault.jpg,25,48845,3300,426,PT5M10S,false,立花孝志
JmyhG7TZIhg,2025-07-06T11:33:46Z,UC80FWuvIAtY-TRtYuDocfUw,立花孝志,泉房穂ちゃんの事務所前より（笑）,"★参議院選挙に立候補しています。
兵庫県の方は【立花孝志】と１枚目の投票用紙にはと書いて下さい。２枚目の投票用紙には【ＮＨＫ党】と書いて下さい。

立花孝志は兵庫県で落選して、更に選挙区か全国区で２％得票できなければ政治家を引退します。
１枚目の投票用紙に下記のあなたの都道府県の立候補者に投票して頂ければ、私立花孝志の政治家引退を阻止できます。
北海道は【後藤　朋子】、青森県は【佐々木　晃】、岩手県は【吉田　博信】、宮城県は【前田　太一】、秋田県は【本田　幸久】、山形県は【大貫　学】、福島県は【越智　寛之】、茨城県は【酒井　明男】、栃木県は【高橋　真佐子】、群馬県は【上楽　宗之】、埼玉県は【山田　信一】、千葉県は【玉元　弘次】、東京都は【石丸　幸人】、神奈川県【堀川　圭輔】、新潟県は【原田　公成】、富山県は【佐藤　明】、石川県は【小沢　正人】、福井県は【浜田　智】、山梨県は【舟橋　夢人】、長野県は【加藤　英明】、岐阜県は【小池　裕之】、静岡県は【福原　志瑠美】、愛知県は【横山　緑】、三重県は【橋本　博幸】、滋賀県は【菅原　良雄】、京都府は【木村　嘉孝】、大阪府は【竹内　隆】、兵庫県は【立花　孝志】、奈良県は【川崎　智之】、和歌山県は【本間　奈々】、鳥取県と島根県は【谷口　直矢】、岡山県は【岩田　好明】、広島県は【堤　美登里】、山口県は【奥野　信治】、徳島県と高知県は【中島　康治】、香川県は【野呂　美和子】、愛媛県は【斉藤　博樹】、福岡県は【村上　成俊】、佐賀県は【松尾　芳治】、長崎県は【神谷　幸太郎】、熊本県は【立花　勝樹】大分県は【二宮　大造】、宮崎県は【北川　哲平】、鹿児島県は【山本　貴平】、沖縄県は【眞喜志　雄一】

★NHK党は参議院選挙全国比例に浜田聡参議院議員、福永活也弁護士、川﨑たかひろ弁護士の３名を擁立しました。
立花孝志の当選と国政政党復帰をめざしています！

★全国の４５選挙区の立候補予定者はこちらから
https://syoha-senkyo.jp/

★立花孝志の携帯電話番号→08025089347　留守番電話に用件をお知らせ頂ければ折り返しさせて頂きます。

★党に対して寄附をして頂くと個人名が公表されたり、事務処理が煩雑にもなりますので、立花孝志が経営する『立花孝志ひとり放送局株式会社』にYouTubeの『視聴料』として下記の金融機関口座にお振り込み頂ければ幸いです。
１.ゆうちょ銀行　記号14070　番号8448861 
２.三菱ＵＦＪ銀行　堺支店　普通預金　0091679 
３.三井住友銀行　浜寺支店　普通預金　1523308 
名義はいずれも、『立花孝志ひとり放送局株式会社』です。

★ＮＨＫにお金を支払わない国民を増やすことを目指します。

★ホリエモンと立花孝志のＮＨＫでの政見放送
https://www.youtube.com/watch?v=yHMsGmH9IK8&t=62s
立花孝志はイロモノではない事をホリエモンが語ってくれています。
https://www.youtube.com/watch?v=e31DYLFa45E【１１分３０秒あたりから１０分間くらいをご覧ください。】

★ホームページはこちら
https://www.syoha.jp/

★私は、ＮＨＫ職員を１９年４ヶ月してましたが、２００５年に週刊文春でＮＨＫの不正経理を内部告発して退職【内部告発が原因で実質上のクビ】になりました。

★受信料不払いに関する相談センター【ＮＨＫ党コールセンター】 03-3696-0750【代表】午前10時から夜７時まで、土日祝はお休みです。

★Ｘ旧ツイッター https://twitter.com/tachibanat",[],https://i.ytimg.com/vi/JmyhG7TZIhg/hqdefault.jpg,25,35770,2746,219,PT1M3S,false,立花孝志
qt8fLJCo9BI,2025-07-06T05:43:32Z,UC80FWuvIAtY-TRtYuDocfUw,立花孝志,演説の場所,"★参議院選挙に立候補しています。
兵庫県の方は【立花孝志】と１枚目の投票用紙にはと書いて下さい。２枚目の投票用紙には【ＮＨＫ党】と書いて下さい。

立花孝志は兵庫県で落選して、更に選挙区か全国区で２％得票できなければ政治家を引退します。
１枚目の投票用紙に下記のあなたの都道府県の立候補者に投票して頂ければ、私立花孝志の政治家引退を阻止できます。
北海道は【後藤　朋子】、青森県は【佐々木　晃】、岩手県は【吉田　博信】、宮城県は【前田　太一】、秋田県は【本田　幸久】、山形県は【大貫　学】、福島県は【越智　寛之】、茨城県は【酒井　明男】、栃木県は【高橋　真佐子】、群馬県は【上楽　宗之】、埼玉県は【山田　信一】、千葉県は【玉元　弘次】、東京都は【石丸　幸人】、神奈川県【堀川　圭輔】、新潟県は【原田　公成】、富山県は【佐藤　明】、石川県は【小沢　正人】、福井県は【浜田　智】、山梨県は【舟橋　夢人】、長野県は【加藤　英明】、岐阜県は【小池　裕之】、静岡県は【福原　志瑠美】、愛知県は【横山　緑】、三重県は【橋本　博幸】、滋賀県は【菅原　良雄】、京都府は【木村　嘉孝】、大阪府は【竹内　隆】、兵庫県は【立花　孝志】、奈良県は【川崎　智之】、和歌山県は【本間　奈々】、鳥取県と島根県は【谷口　直矢】、岡山県は【岩田　好明】、広島県は【堤　美登里】、山口県は【奥野　信治】、徳島県と高知県は【中島　康治】、香川県は【野呂　美和子】、愛媛県は【斉藤　博樹】、福岡県は【村上　成俊】、佐賀県は【松尾　芳治】、長崎県は【神谷　幸太郎】、熊本県は【立花　勝樹】大分県は【二宮　大造】、宮崎県は【北川　哲平】、鹿児島県は【山本　貴平】、沖縄県は【眞喜志　雄一】

★NHK党は参議院選挙全国比例に浜田聡参議院議員、福永活也弁護士、川﨑たかひろ弁護士の３名を擁立しました。
立花孝志の当選と国政政党復帰をめざしています！

★全国の４５選挙区の立候補予定者はこちらから
https://syoha-senkyo.jp/

★立花孝志の携帯電話番号→08025089347　留守番電話に用件をお知らせ頂ければ折り返しさせて頂きます。

★党に対して寄附をして頂くと個人名が公表されたり、事務処理が煩雑にもなりますので、立花孝志が経営する『立花孝志ひとり放送局株式会社』にYouTubeの『視聴料』として下記の金融機関口座にお振り込み頂ければ幸いです。
１.ゆうちょ銀行　記号14070　番号8448861 
２.三菱ＵＦＪ銀行　堺支店　普通預金　0091679 
３.三井住友銀行　浜寺支店　普通預金　1523308 
名義はいずれも、『立花孝志ひとり放送局株式会社』です。

★ＮＨＫにお金を支払わない国民を増やすことを目指します。

★ホリエモンと立花孝志のＮＨＫでの政見放送
https://www.youtube.com/watch?v=yHMsGmH9IK8&t=62s
立花孝志はイロモノではない事をホリエモンが語ってくれています。
https://www.youtube.com/watch?v=e31DYLFa45E【１１分３０秒あたりから１０分間くらいをご覧ください。】

★ホームページはこちら
https://www.syoha.jp/

★私は、ＮＨＫ職員を１９年４ヶ月してましたが、２００５年に週刊文春でＮＨＫの不正経理を内部告発して退職【内部告発が原因で実質上のクビ】になりました。

★受信料不払いに関する相談センター【ＮＨＫ党コールセンター】 03-3696-0750【代表】午前10時から夜７時まで、土日祝はお休みです。

★Ｘ旧ツイッター https://twitter.com/tachibanat",[],https://i.ytimg.com/vi/qt8fLJCo9BI/hqdefault.jpg,25,28801,1953,103,PT1M13S,false,立花孝志
li4RJd6GeQg,2025-07-06T14:37:36Z,UC80FWuvIAtY-TRtYuDocfUw,立花孝志,リハックの裏話,"★参議院選挙に立候補しています。
兵庫県の方は【立花孝志】と１枚目の投票用紙にはと書いて下さい。２枚目の投票用紙には【ＮＨＫ党】と書いて下さい。

立花孝志は兵庫県で落選して、更に選挙区か全国区で２％得票できなければ政治家を引退します。
１枚目の投票用紙に下記のあなたの都道府県の立候補者に投票して頂ければ、私立花孝志の政治家引退を阻止できます。
北海道は【後藤　朋子】、青森県は【佐々木　晃】、岩手県は【吉田　博信】、宮城県は【前田　太一】、秋田県は【本田　幸久】、山形県は【大貫　学】、福島県は【越智　寛之】、茨城県は【酒井　明男】、栃木県は【高橋　真佐子】、群馬県は【上楽　宗之】、埼玉県は【山田　信一】、千葉県は【玉元　弘次】、東京都は【石丸　幸人】、神奈川県【堀川　圭輔】、新潟県は【原田　公成】、富山県は【佐藤　明】、石川県は【小沢　正人】、福井県は【浜田　智】、山梨県は【舟橋　夢人】、長野県は【加藤　英明】、岐阜県は【小池　裕之】、静岡県は【福原　志瑠美】、愛知県は【横山　緑】、三重県は【橋本　博幸】、滋賀県は【菅原　良雄】、京都府は【木村　嘉孝】、大阪府は【竹内　隆】、兵庫県は【立花　孝志】、奈良県は【川崎　智之】、和歌山県は【本間　奈々】、鳥取県と島根県は【谷口　直矢】、岡山県は【岩田　好明】、広島県は【堤　美登里】、山口県は【奥野　信治】、徳島県と高知県は【中島　康治】、香川県は【野呂　美和子】、愛媛県は【斉藤　博樹】、福岡県は【村上　成俊】、佐賀県は【松尾　芳治】、長崎県は【神谷　幸太郎】、熊本県は【立花　勝樹】大分県は【二宮　大造】、宮崎県は【北川　哲平】、鹿児島県は【山本　貴平】、沖縄県は【眞喜志　雄一】

★NHK党は参議院選挙全国比例に浜田聡参議院議員、福永活也弁護士、川﨑たかひろ弁護士の３名を擁立しました。
立花孝志の当選と国政政党復帰をめざしています！

★全国の４５選挙区の立候補予定者はこちらから
https://syoha-senkyo.jp/

★立花孝志の携帯電話番号→08025089347　留守番電話に用件をお知らせ頂ければ折り返しさせて頂きます。

★党に対して寄附をして頂くと個人名が公表されたり、事務処理が煩雑にもなりますので、立花孝志が経営する『立花孝志ひとり放送局株式会社』にYouTubeの『視聴料』として下記の金融機関口座にお振り込み頂ければ幸いです。
１.ゆうちょ銀行　記号14070　番号8448861 
２.三菱ＵＦＪ銀行　堺支店　普通預金　0091679 
３.三井住友銀行　浜寺支店　普通預金　1523308 
名義はいずれも、『立花孝志ひとり放送局株式会社』です。

★ＮＨＫにお金を支払わない国民を増やすことを目指します。

★ホリエモンと立花孝志のＮＨＫでの政見放送
https://www.youtube.com/watch?v=yHMsGmH9IK8&t=62s
立花孝志はイロモノではない事をホリエモンが語ってくれています。
https://www.youtube.com/watch?v=e31DYLFa45E【１１分３０秒あたりから１０分間くらいをご覧ください。】

★ホームページはこちら
https://www.syoha.jp/

★私は、ＮＨＫ職員を１９年４ヶ月してましたが、２００５年に週刊文春でＮＨＫの不正経理を内部告発して退職【内部告発が原因で実質上のクビ】になりました。

★受信料不払いに関する相談センター【ＮＨＫ党コールセンター】 03-3696-0750【代表】午前10時から夜７時まで、土日祝はお休みです。

★Ｘ旧ツイッター https://twitter.com/tachibanat",[],https://i.ytimg.com/vi/li4RJd6GeQg/hqdefault.jpg,25,8756,1048,82,PT7M59S,false,立花孝志
bC4XkhoqH1A,2025-07-06T00:59:05Z,UC80FWuvIAtY-TRtYuDocfUw,立花孝志,NHK党政策一問一答 その４ 所得の再分配を強化するため、富裕層への課税を強化すべきだと思いますか？,"★参議院選挙に立候補しています。
兵庫県の方は【立花孝志】と１枚目の投票用紙にはと書いて下さい。２枚目の投票用紙には【ＮＨＫ党】と書いて下さい。

立花孝志は兵庫県で落選して、更に選挙区か全国区で２％得票できなければ政治家を引退します。
１枚目の投票用紙に下記のあなたの都道府県の立候補者に投票して頂ければ、私立花孝志の政治家引退を阻止できます。
北海道は【後藤　朋子】、青森県は【佐々木　晃】、岩手県は【吉田　博信】、宮城県は【前田　太一】、秋田県は【本田　幸久】、山形県は【大貫　学】、福島県は【越智　寛之】、茨城県は【酒井　明男】、栃木県は【高橋　真佐子】、群馬県は【上楽　宗之】、埼玉県は【山田　信一】、千葉県は【玉元　弘次】、東京都は【石丸　幸人】、神奈川県【堀川　圭輔】、新潟県は【原田　公成】、富山県は【佐藤　明】、石川県は【小沢　正人】、福井県は【浜田　智】、山梨県は【舟橋　夢人】、長野県は【加藤　英明】、岐阜県は【小池　裕之】、静岡県は【福原　志瑠美】、愛知県は【横山　緑】、三重県は【橋本　博幸】、滋賀県は【菅原　良雄】、京都府は【木村　嘉孝】、大阪府は【竹内　隆】、兵庫県は【立花　孝志】、奈良県は【川崎　智之】、和歌山県は【本間　奈々】、鳥取県と島根県は【谷口　直矢】、岡山県は【岩田　好明】、広島県は【堤　美登里】、山口県は【奥野　信治】、徳島県と高知県は【中島　康治】、香川県は【野呂　美和子】、愛媛県は【斉藤　博樹】、福岡県は【村上　成俊】、佐賀県は【松尾　芳治】、長崎県は【神谷　幸太郎】、熊本県は【立花　勝樹】大分県は【二宮　大造】、宮崎県は【北川　哲平】、鹿児島県は【山本　貴平】、沖縄県は【眞喜志　雄一】

★NHK党は参議院選挙全国比例に浜田聡参議院議員、福永活也弁護士、川﨑たかひろ弁護士の３名を擁立しました。
立花孝志の当選と国政政党復帰をめざしています！

★全国の４５選挙区の立候補予定者はこちらから
https://syoha-senkyo.jp/

★立花孝志の携帯電話番号→08025089347　留守番電話に用件をお知らせ頂ければ折り返しさせて頂きます。

★党に対して寄附をして頂くと個人名が公表されたり、事務処理が煩雑にもなりますので、立花孝志が経営する『立花孝志ひとり放送局株式会社』にYouTubeの『視聴料』として下記の金融機関口座にお振り込み頂ければ幸いです。
１.ゆうちょ銀行　記号14070　番号8448861 
２.三菱ＵＦＪ銀行　堺支店　普通預金　0091679 
３.三井住友銀行　浜寺支店　普通預金　1523308 
名義はいずれも、『立花孝志ひとり放送局株式会社』です。

★ＮＨＫにお金を支払わない国民を増やすことを目指します。

★ホリエモンと立花孝志のＮＨＫでの政見放送
https://www.youtube.com/watch?v=yHMsGmH9IK8&t=62s
立花孝志はイロモノではない事をホリエモンが語ってくれています。
https://www.youtube.com/watch?v=e31DYLFa45E【１１分３０秒あたりから１０分間くらいをご覧ください。】

★ホームページはこちら
https://www.syoha.jp/

★私は、ＮＨＫ職員を１９年４ヶ月してましたが、２００５年に週刊文春でＮＨＫの不正経理を内部告発して退職【内部告発が原因で実質上のクビ】になりました。

★受信料不払いに関する相談センター【ＮＨＫ党コールセンター】 03-3696-0750【代表】午前10時から夜７時まで、土日祝はお休みです。

★Ｘ旧ツイッター https://twitter.com/tachibanat","['参議院', '全国比例', '参議院選挙', 'ＮＨＫ', 'ＮＨＫから国民を守る党', 'ＮＨＫ受信料', 'ＮＨＫ裁判', '受信料裁判', 'エヌリンクス', 'ＮＨＫ集金', 'ＮＨＫ訪問員', '集金人', '立花孝志', '最高裁判決', 'イラネッチケー', '衛星契約', '衛星料金', 'ＢＳ契約', 'ＢＳ料金', '日本放送協会放送受信規約', '放送法', '放送法64条', 'ＮＨＫをぶっ壊す', '政見放送', '葛飾区議会議員', 'ＮＨＫ嫌い', '日本放送協会', '受信料踏み倒す', 'ホリエモン', '堀江貴文', 'ぶっ壊す', '国会議員ユーチューバー', '元国会議員', 'ＮＨＫ党', '政治家女子', '政治家女子４８', '政治家女子４８党', 'アイドル政治家', 'ガーシー', '東谷義和', '請求書受け取り代行', '特別あて所配達', 'ＤＪ社長', 'ＤＪ社長立候補', '青汁王子', '堀江政経塾', '電通', '統一地方選挙', '全国ブロック', '政治女子', '女子政治家', '政治家オーディション', 'ＳＪＪ４８', '兵庫県知事選挙', '泉大津市', '泉大津市長選挙']",https://i.ytimg.com/vi/bC4XkhoqH1A/hqdefault.jpg,25,8640,365,16,PT32S,false,立花孝志
tU7YYy7OcjQ,2025-07-06T14:55:33Z,UC80FWuvIAtY-TRtYuDocfUw,立花孝志,立花孝志の選挙演説の警備をしてくれるボランティアを募集しています。,★Ｘ旧ツイッター https://twitter.com/tachibanat,"['参議院', '全国比例', '参議院選挙', 'ＮＨＫ', 'ＮＨＫから国民を守る党', 'ＮＨＫ受信料', 'ＮＨＫ裁判', '受信料裁判', 'エヌリンクス', 'ＮＨＫ集金', 'ＮＨＫ訪問員', '集金人', '立花孝志', '最高裁判決', 'イラネッチケー', '衛星契約', '衛星料金', 'ＢＳ契約', 'ＢＳ料金', '日本放送協会放送受信規約', '放送法', '放送法64条', 'ＮＨＫをぶっ壊す', '政見放送', '葛飾区議会議員', 'ＮＨＫ嫌い', '日本放送協会', '受信料踏み倒す', 'ホリエモン', '堀江貴文', 'ぶっ壊す', '国会議員ユーチューバー', '元国会議員', 'ＮＨＫ党', '政治家女子', '政治家女子４８', '政治家女子４８党', 'アイドル政治家', 'ガーシー', '東谷義和', '請求書受け取り代行', '特別あて所配達', 'ＤＪ社長', 'ＤＪ社長立候補', '青汁王子', '堀江政経塾', '電通', '統一地方選挙', '全国ブロック', '政治女子', '女子政治家', '政治家オーディション', 'ＳＪＪ４８', '兵庫県知事選挙', '泉大津市', '泉大津市長選挙']",https://i.ytimg.com/vi/tU7YYy7OcjQ/hqdefault.jpg,25,1871,343,14,PT2M33S,false,立花孝志
