id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
pGkrxbL3bXg,2025-07-04T05:34:30Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,東京都・小池知事が定例会見（2025年7月4日）,"東京都の小池百合子知事は、4日午後2時から都庁で定例会見を行う。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#東京都","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/pGkrxbL3bXg/hqdefault.jpg,25,2964,27,3,PT34M21S,false,THE PAGE
t_RVb7mQ4i0,2025-07-04T09:47:42Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,【ニュースとコメント】米大統領 4日から各国に関税通知 #yahooニュース,,[],https://i.ytimg.com/vi/t_RVb7mQ4i0/hqdefault.jpg,25,1422,6,0,PT55S,false,THE PAGE
WFRBHGLxNHM,2025-07-04T09:42:32Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,【ニュースとコメント】大企業の夏賞与は99万円 過去最高 #yahooニュース,,[],https://i.ytimg.com/vi/WFRBHGLxNHM/hqdefault.jpg,25,900,4,0,PT56S,false,THE PAGE
6QCnMJn2ecQ,2025-07-04T12:13:22Z,UCpdtHm6VFP_Qc-IDIsyLh1A,選挙ドットコムちゃんねる,参院選2025 ネット討論会開催のお知らせと、コメント欄・チャット欄についてのご報告｜選挙ドットコム,"選挙ドットコムは7月5日（土）19時45分より、「参院選2025 ネット討論会」を開催します！

＜討論会概要＞
■日時：2025年7月5日（土）19時45分～20時30分
■主催：イチニ株式会社（選挙ドットコム）
■司会・進行：滝本沙奈（セント・フォース所属）、鈴木邦和（選挙ドットコム編集長）

■選挙ドットコムの生放送URL
公式YouTubeチャンネル「選挙ドットコムちゃんねる」：https://youtube.com/live/RweHmiV2LOA
公式X：https://x.com/go2senkyo
公式TikTok：https://www.tiktok.com/@go2senkyo
公式Facebook：https://www.facebook.com/thesenkyo

▼「選挙ドットコム」第27回参議院議員選挙特設ページ
https://sangiin.go2senkyo.com/2025

◆切り抜きやまとめ動画、大歓迎です！◆
選挙ドットコムの動画は自由に切り抜きやまとめ動画としてご活用ください！ただし、以下の点だけ守っていただけると幸いです。
・動画の内容を意図的に改変しない
・事実の基づく情報発信
・人格などを傷つける表現を加えない

※今回の討論会は、政党要件を満たす10党の党首の皆様にお声がけをしております。
※公平中立な運営のため配信動画等のコメント及びチャット欄は封鎖します
※同コンテンツを活用して第三者が収益化することを禁止します

#おすすめ #日本 #政治 #選挙 #参院選2025 #討論会 #選挙ドットコム

–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––

＼政治家の皆様を強力サポート／
選挙ドットコムが提供する
ネット選挙必勝ツール ｢ボネクタ｣
https://vonnector.jp/vonnector/
首長･現職ベテラン議員にもご愛用者多数！
国政･地方選挙で日本最大級の実績｡

ネット広告で有権者からの知名度が上がる！
｢選挙区ターゲティング広告｣
https://vonnector.jp/targeting/
×
選挙ドットコムがあなたをインタビューして有権者にPR
｢政治家PR記事｣
https://vonnector.jp/pr/

選挙区ターゲティング広告×政治家PR記事の最強コンビがネット選挙の勝利の方程式です！

選挙ドットコムは、全ての政党、全ての政治家、全ての立候補者を全力で応援し、有権者がもっと政治に参加したくなるよう努めています。ぜひご協力ください。

選挙ドットコム：https://go2senkyo.com/
日本最大級の選挙ポータルサイト「選挙ドットコム」衆参議員の国会議員から、都道府県知事、市区町村長、地方議会議員のすべての選挙情報を掲載。また、政治家自身が発信している政策やプロフィールもあり政治家選びに最適です。

facebook：https://www.facebook.com/thesenkyo/
X：https://x.com/go2senkyo","['選挙', '政治', '投票', '選挙ドットコム', '解説', 'ゆっくり']",https://i.ytimg.com/vi/6QCnMJn2ecQ/hqdefault.jpg,25,2383,162,43,PT7M53S,false,選挙ドットコムチャンネル
RweHmiV2LOA,2025-07-04T03:58:07Z,UCpdtHm6VFP_Qc-IDIsyLh1A,選挙ドットコムちゃんねる,【7/5(土) 19:45～】参議院議員選挙2025 ネット討論会｜選挙ドットコム,"選挙ドットコムは7月5日（土）19時45分より、「参院選2025 ネット討論会」を開催します！

＜討論会概要＞
■日時：2025年7月5日（土）19時45分～20時30分
■主催：イチニ株式会社（選挙ドットコム）
■司会・進行：滝本沙奈（セント・フォース所属）、鈴木邦和（選挙ドットコム編集長）

■選挙ドットコムの生放送URL
公式YouTubeチャンネル「選挙ドットコムちゃんねる」：https://youtube.com/live/RweHmiV2LOA
公式X：https://x.com/go2senkyo
公式TikTok：https://www.tiktok.com/@go2senkyo
公式Facebook：https://www.facebook.com/thesenkyo

▼「選挙ドットコム」第27回参議院議員選挙特設ページ
https://sangiin.go2senkyo.com/2025

◆切り抜きやまとめ動画、大歓迎です！◆
選挙ドットコムの動画は自由に切り抜きやまとめ動画としてご活用ください！ただし、以下の点だけ守っていただけると幸いです。
・動画の内容を意図的に改変しない
・事実の基づく情報発信
・人格などを傷つける表現を加えない

※今回の討論会は、政党要件を満たす10党の党首の皆様にお声がけをしております。
※公平中立な運営のため配信動画等のコメント及びチャット欄は封鎖します
※同コンテンツを活用して第三者が収益化することを禁止します

#おすすめ #日本 #政治 #選挙 #参院選2025 #討論会 #選挙ドットコム","['選挙', '政治', '投票', '選挙ドットコム', '解説', 'ゆっくり']",https://i.ytimg.com/vi/RweHmiV2LOA/hqdefault_live.jpg,25,0,8,0,P0D,false,選挙ドットコムチャンネル
PU7mK6iygvE,2025-07-04T14:07:22Z,UC28hcmMG3TJv60Byo528VVg,ニコニコニュース,橘慶一郎 官房副長官 記者会見 生中継（2025年7月4日午前）,"■ライブ配信中のコメント投稿はニコニコへ↓
https://live.nicovideo.jp/watch/lv348103588

ニコニコインフォ
https://blog.nicovideo.jp/niconews/225099.html

■ニコニコニュース𝕏  
https://twitter.com/nico_nico_news

■■■「ニコニコニュース」二次創作ガイドラインに関するお知らせ■■■
「ニコニコニュース」は、視聴者やファンの皆さまによる二次創作を応援しております。
そこで、皆さまが安心して二次創作を行っていただけるよう、このガイドラインを公開します。
「ニコニコニュース」で配信した映像は一部を除き個人で自由に使用いただいて結構です。
以下ガイドラインを参照のうえご利用ください。
https://www.youtube.com/@niconico_news/community

#ニコニコニュース #報道 #ライブ配信 #官房長官 #橘慶一郎 #首相官邸 #官房副長官","['ニコニコニュース', 'ライブ', '中継', 'ニコ生', 'ニコニコ', 'ニコ動', 'ライブ配信', 'ニュース', '報道', 'ニコニコ動画', 'ニコニコ生放送', '記者会見', '生中継', '政治', '官邸', '内閣', '林芳正', '官房長官', '内閣官房長官', '首相官邸']",https://i.ytimg.com/vi/PU7mK6iygvE/hqdefault.jpg,25,1110,10,1,PT9S,false,Niconico News
_Zi1jwIE5Wk,2025-07-03T22:30:09Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,【社会人こそ有利】司法試験は2年で誰でも受かる  #newspicks,"▼Pontaポイントプレゼントキャンペーンはこちら
https://camp.auone.jp/campaign/641087a7453452a0f10d0b15

supported by au

新たなスマホ特化型オリジナル番組「IN MY OPINION」。
「IN MY OPINION」は、直近で話題になったニュース、トピックスなどを、NewsPicksのプロピッカーや有識者たちが、各々の得意分野・独自の視点を交えながら１分で解説配信する番組です。

#shorts  #越水遥 #newspicks #inmyopinion","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/_Zi1jwIE5Wk/hqdefault.jpg,25,29868,274,77,PT58S,false,NewsPicks /ニューズピックス
8NecNOWAmJY,2025-07-04T12:00:16Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,【ホリエモン】血糖値と脂質の関係　#堀江貴文 #ホリエモン #horieone #大室正志  #ネット #AI #google #溝口勇児 #田端信太郎 #井川意高 #箕輪厚介,"HORIE ONE : SNS系言論人 批評放談【大室正志】

このショート動画の本編は、
このチャンネルのプロフィールページのリンクから視聴いただけます。

NewsPicksで
SNS系言論人 批評放談【大室正志】
で検索することで、本編動画がみつかります。

#堀江貴文 #ホリエモン #horieone #大室正志  #ネット #AI #google #溝口勇児 #田端信太郎 #井川意高 #箕輪厚介 #石丸伸二 #ヒカル #breakingdown","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/8NecNOWAmJY/hqdefault.jpg,25,10631,47,1,PT53S,false,NewsPicks /ニューズピックス
vFqONX7QjPE,2025-07-04T10:01:39Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,急成長企業が導入する「カスタマーサクセス」の本質／世界的なシェアリングトレンドによる顧客の変化／新規顧客の獲得に限界を感じている方へ（山田ひさのり）NewSchool Lite,"番組のフル視聴（25分）はこちらから
https://npx.me/s/XnVVHneu

10日間無料トライアル実施中
http://bit.ly/3X5XMzD

NewsPicks NewSchoolは新規受講生を募集中。詳細はこちら
https://newschool.newspicks.com/
_____

山田ひさのり氏の本講座『カスタマーサクセス実行戦略〜CSの本質と構築 実践編〜』（7月26日開講）のお申し込みは、下記のリンクから
https://newschool.newspicks.com/main/146

本番組では、『完全版 カスタマーサクセス実行戦略』の著者であり、日本におけるカスタマーサクセス（CS）の第一人者・山田ひさのり氏をお迎えし、「あなたの企業にカスタマーサクセスは必要か？」をテーマに徹底解説。CSの本質から、導入すべき企業の特徴、立ち上げのステップ、アウトカムの特定まで、具体的にお話しいただきます。

出演者：山田ひさのり

#newschool #山田ひさのり #カスタマーサクセス #CX #マーケティング #顧客体験","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/vFqONX7QjPE/hqdefault.jpg,25,1602,24,6,PT10M7S,false,NewsPicks /ニューズピックス
rJNTrsHnkMU,2025-07-04T12:01:47Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,脱“コンサル疲れ”　ビジネスに本当に効果があるDX投資とは？【NewsPicks/村上臣/フューチャーアーキテクト/コンサル/コンサルタント/DX/経営/IT/デザイン/転職】,"【Sponsored by フューチャーアーキテクト】

多くの事業会社が抱える「コンサル疲れ」の現象。一方で、コンサルタント自身も「本当に顧客に価値を提供できているのか」というもやもやを抱えている。
本番組では、この双方の課題を解決する新たな関係性を模索し、 フューチャー（フューチャーアーキテクト） へとキャリアを転換したコンサルタント経験者の声を通して、経営数値に真に貢献するコンサルティングのあり方を、有識者とともに探る。
中立的な技術選定、戦略から実装までの一貫した責任、顧客の内製化支援など、事業会社との信頼関係を構築する取り組みに迫る。

ーーーーーーーーーーーーーーーーーーー
DX戦略コンサルタントの採用ページはこちら
https://open.talentio.com/r/1/c/future/pages/50216
ーーーーーーーーーーーーーーーーーーー

＜ゲスト＞
村上臣（元Linked In 日本代表）
田中裕之（フューチャーアーキテクト株式会社 上席執行役員）

〈MC〉
金谷亜美

0:00 オープニング
3:08 事業会社が抱える「コンサル疲れ」の背景
4:57 コンサル疲れを脱出するには？
8:26 コンサルタントが直面するジレンマ
9:36 コンサル疲れに効くフューチャー独自の戦略
11:26 フューチャー社員の実態
12:18 転職者が語る「フューチャーアーキテクト」
13:16 転職者が語る「フューチャーを選んだ理由」
15:36 転職者が語る「フューチャーで働くやりがい」
17:31 転職者が語る「オフィス環境の魅力」
18:07 転職者が語る「子育てとキャリアの両立」
19:56  転職者が語る「フューチャーの魅力」
20:35 ファクトベースアプローチの魅力
21:57 システム構築未経験でも活躍できる理由
23:08 フューチャーが求める人物像","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/rJNTrsHnkMU/hqdefault.jpg,25,1683,33,3,PT31M46S,false,NewsPicks /ニューズピックス
