id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
8CgQVEnlTJk,2025-07-12T06:16:17Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,ブルーインパルス、万博上空の展示飛行に再挑戦（2025年7月12日）,"航空自衛隊のアクロバット飛行チーム「ブルーインパルス」は7月12、13日の計2回、大阪・関西万博会場の上空で展示飛行を行う。当初、万博開幕日の4月13日に飛行する予定だったが、悪天候で中止となっていた。

同チームは両日とも午後3時前後に、関西国際空港を離陸後、太陽の塔や大阪城、通天閣といった観光名所や、万博会場である夢洲上空を飛行する。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#ブルーインパルス
#大阪関西万博","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/8CgQVEnlTJk/hqdefault.jpg,25,420866,365,35,PT16M17S,false,THE PAGE
QQcTG0JoC-Q,2025-07-13T06:20:02Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,万博開幕から3か月　ブルーインパルスが大阪上空を展示飛行（2025年7月13日）,"大阪・関西万博が開幕して3か月となる13日、航空自衛隊のアクロバット飛行チーム「ブルーインパルス」は12日に続き2日連続で、万博会場の上空で展示飛行を行う。

同チームは両日とも午後3時前後に、関西国際空港を離陸後、太陽の塔や大阪城、通天閣といった観光名所や、万博会場である夢洲上空を飛行する。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#ブルーインパルス
#大阪関西万博","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/QQcTG0JoC-Q/hqdefault.jpg,25,215451,247,1,PT18M21S,false,THE PAGE
2hBoA3C_aas,2025-07-09T07:21:00Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫県の斎藤元彦知事が定例会見（2025年7月9日）,"兵庫県の斎藤元彦知事は、9日午後3時から県庁で定例記者会見を行う。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/2hBoA3C_aas/hqdefault.jpg,25,77899,840,612,PT1H14M59S,false,THE PAGE
lWXzEgx6ozw,2025-07-02T07:20:10Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫県の斎藤元彦知事が定例会見（2025年7月2日）,"兵庫県の斎藤元彦知事は、2日午後3時から県庁で定例記者会見を行う。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/lWXzEgx6ozw/hqdefault.jpg,25,76607,856,423,PT1H18M55S,false,THE PAGE
RiSI0Y2Vmy4,2025-07-16T07:14:27Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫県の斎藤元彦知事が定例会見（2025年7月16日）,"兵庫県の斎藤元彦知事は、16日午後3時から県庁で定例会見を行う。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/RiSI0Y2Vmy4/hqdefault.jpg,25,74684,741,537,PT1H8M10S,false,THE PAGE
vwFxMN-7AAA,2025-07-08T08:52:23Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,大阪・吉村知事　ブルーインパルス飛行日「夢洲や弁天町駅で入場制限の可能性も」と注意呼びかけ（2025年7月8日）,"大阪府の吉村洋文知事は8日午後、府庁で定例記者会見を行った。

会見では吉村知事が、今月12、13の両日、航空自衛隊の「ブルーインパルス」が大阪・関西万博の会場上空や大阪府内各地を飛行する予定であること発表した。

吉村知事は、ブルーインパルスが飛行を予定している12、13両日に大幅な混雑が予想されることを受け「大阪メトロ中央線の夢洲駅や弁天町駅などで、入場制限が実施される可能性がある」などと、注意を呼びかけた。

会見で吉村知事は、「観覧のための駐車場ですけども、これも夢洲・舞洲・咲洲内にはありません。マイカーでの来訪というのもご遠慮いただけたらと思います」と述べた。

また「夢洲近辺での観覧は万博会場内でお願いをいたします」とも呼びかけるとともに、当日は厚さが予想されることから、熱中症対策についても強く呼びかけていた。

この会見の全映像はこちら：https://www.youtube.com/live/FNlXJ6gfcJU

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#ブルーインパルス 
#記者会見","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/vwFxMN-7AAA/hqdefault.jpg,25,41684,232,51,PT24M51S,false,THE PAGE
TuKV_22SLts,2025-07-03T09:02:20Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,鹿児島十島村で震度6弱　気象庁が会見（2025年7月3日）,"3日16時13分ごろ、鹿児島県・トカラ列島近海を震源とする地震があり、鹿児島県十島村で震度6弱の強い地震を観測した。気象庁によると、震源の深さは約20km、地震の規模（マグニチュード）は5.5と推定されている。同庁は、午後5時25分から記者会見を行う。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#気象庁","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/TuKV_22SLts/hqdefault.jpg,25,27741,127,0,PT34M37S,false,THE PAGE
9W9wXcksPpk,2025-07-13T14:59:47Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,ブルーインパルス、華麗に青空の大阪を飛行　通天閣、あべのハルカス周辺や万博会場からも歓声（2025年7月13日）　#ブルーインパルス #大阪関西万博 #thepage_jp,"大阪・関西万博が開幕して3か月となる13日、航空自衛隊のアクロバット飛行チーム「ブルーインパルス」は12日に続き2日連続で、万博会場の上空で展示飛行を行った。

　同時にブルーインパルスは会場周辺を飛行するまでは大阪府内の通天閣や大阪城、万博記念公園の太陽の塔周辺などを飛行。府内各地では通行人や見物人らが青空を見上げると、華麗に飛行するブルーインパルスを目の当たりにし、自然と拍手や歓声があがっていた。

ブルーインパルスの万博上空展示飛行はこちら：https://www.youtube.com/live/QQcTG0JoC-Q

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#ブルーインパルス 
#大阪関西万博","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/9W9wXcksPpk/hqdefault.jpg,25,27060,451,1,PT2M12S,false,THE PAGE
KCC7dyqSTQs,2025-07-15T05:55:45Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,名古屋・広沢一郎市長が定例会見（2025年7月15日）,"名古屋市の広沢一郎市長が15日午後1時45分から、定例記者会見を行う。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#名古屋市","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/KCC7dyqSTQs/hqdefault.jpg,25,16251,274,14,PT1H9M11S,false,THE PAGE
QR5h0lFKQCw,2025-07-02T08:32:26Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,鹿児島・十島村で震度5弱　気象庁が会見（2025年7月2日）,"映像提供：気象庁
2日午後3時26分ごろ、鹿児島県・トカラ列島近海を震源とする地震があり、鹿児島県十島村で震度5弱の強い揺れを観測した。気象庁によると、震源の深さは約10km、地震の規模（マグニチュード）は5.5と推定されている。同庁は、午後5時10分から記者会見を行い、先月21日から続くトカラ列島近海の地震活動について説明する。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#気象庁","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/QR5h0lFKQCw/hqdefault.jpg,25,14580,77,1,PT17M20S,false,THE PAGE
