id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
ajw8bu14K_M,2025-07-15T11:38:36Z,UCQVGAwZGA9jrH2XF7feK2xQ,自民党,【石破茂総裁 演説（全編）】秋田県 #なかいずみ松司 候補 （2025.7.14）,"#秋田県 のみなさん、
あなたの1票を なかいずみ松司へ！

＜なかいずみ松司 候補情報＞
YouTube : https://www.youtube.com/ ⁨@matsuji2025⁩  
X: https://x.com/Mat_Nakaizumi
Instagram :  https://www.instagram.com/matsuji_nakaizumi/

＜参院選2025特設サイト＞
https://special.jimin.jp/

#参院選2025 #自民党 #石破茂",[],https://i.ytimg.com/vi/ajw8bu14K_M/hqdefault.jpg,25,359,12,0,PT19M32S,false,自民党
dkNNa3qPkAY,2025-07-15T11:40:45Z,UCQVGAwZGA9jrH2XF7feK2xQ,自民党,【石破茂総裁】地元農業者との意見交換会 秋田県  （2025.7.14）,"農業者が現場で抱える課題や意見などについて意見交換を行いました。

#農業 #農林水産業 #石破茂",[],https://i.ytimg.com/vi/dkNNa3qPkAY/hqdefault.jpg,25,575,13,0,PT21M31S,false,自民党
ssbtw8MJaoo,2025-07-15T07:16:09Z,UCQVGAwZGA9jrH2XF7feK2xQ,自民党,【演説動画】#石破茂 総裁（2025.7.15）,"食料自給率38%
食料がきちんと自給できるということは
独立国としてどうしても達成しなければならないことである
良いコメを作る そういう努力をしていた方々に国はきちんとした支援をしていく
自分の国のことは自分でやる
そういう国に変えていかなければならない
これが米の増産に舵を切る一番大きな理由であります

参院選2025特設サイト
https://special.jimin.jp

#自民党 #参院選2025",[],https://i.ytimg.com/vi/ssbtw8MJaoo/hqdefault.jpg,25,20301,53,0,PT41S,false,自民党
U-AjtNn7K6o,2025-07-15T03:55:10Z,UCghxR0rXQOH31bZwzTBY-yw,立憲民主党,政治は、あなたの声から。（若者編）｜#立憲民主党  #参院選2025,"◆チャンネル登録＆高評価お願いします！◆
https://www.youtube.com/channel/UCghxR0rXQOH31bZwzTBY-yw

これからも立憲民主党をよろしくお願いいたします。

◆立憲民主党国会情報
 https://www.youtube.com/@cdp_kokkai

◆立憲民主党 X
https://twitter.com/CDP2017

◆立憲民主党 Instagram
https://www.instagram.com/cdp2019.jp/

◆立憲民主党 TikTok
https://www.tiktok.com/@cdp_rikkenminshu

◆立憲民主党 LINE
https://page.line.me/rikken?openQrModal=true

◆立憲民主党 Facebook
https://www.facebook.com/rikkenminshu","['政治', '立憲', '民主主義', '選挙', '社会問題', '国会', '自民党', '公明党', '国民民主党', 'れいわ', '衆議院', '参議院', '政治ニュース', '参政党', '共産党', '議員']",https://i.ytimg.com/vi/U-AjtNn7K6o/hqdefault.jpg,25,2532,77,3,PT46S,false,立憲民主党
fy1361CiTH8,2025-07-15T08:49:49Z,UCghxR0rXQOH31bZwzTBY-yw,立憲民主党,【参院選2025】辻󠄀元清美代表代行が京都府選挙区の山本わかこ候補と街頭演説 #京都  #物価高  #参院選 #辻󠄀元清美 #立憲民主党 #消費税  #shorts,"【参院選2025】辻󠄀元清美代表代行が京都府選挙区の山本わかこ候補と街頭演説を行いました。
#京都  #物価高  #参院選 #辻󠄀元清美 #立憲民主党 #消費税  #shorts

◆チャンネル登録＆高評価お願いします！◆
https://www.youtube.com/channel/UCghxR0rXQOH31bZwzTBY-yw

これからも立憲民主党をよろしくお願いいたします。

◆立憲民主党国会情報
 https://www.youtube.com/@cdp_kokkai

◆立憲民主党 X
https://twitter.com/CDP2017

◆立憲民主党 Instagram
https://www.instagram.com/cdp2019.jp/

◆立憲民主党 TikTok
https://www.tiktok.com/@cdp_rikkenminshu

◆立憲民主党 LINE
https://page.line.me/rikken?openQrModal=true

◆立憲民主党 Facebook
https://www.facebook.com/rikkenminshu","['政治', '立憲', '民主主義', '選挙', '社会問題', '国会', '自民党', '公明党', '国民民主党', 'れいわ', '衆議院', '参議院', '政治ニュース', '参政党', '共産党', '議員']",https://i.ytimg.com/vi/fy1361CiTH8/hqdefault.jpg,25,6573,63,3,PT46S,false,立憲民主党
Bot00o65NEg,2025-07-15T03:54:39Z,UCghxR0rXQOH31bZwzTBY-yw,立憲民主党,政治は、あなたの声から。（子育て編）｜#立憲民主党  #参院選2025,"◆チャンネル登録＆高評価お願いします！◆
https://www.youtube.com/channel/UCghxR0rXQOH31bZwzTBY-yw

これからも立憲民主党をよろしくお願いいたします。

◆立憲民主党国会情報
 https://www.youtube.com/@cdp_kokkai

◆立憲民主党 X
https://twitter.com/CDP2017

◆立憲民主党 Instagram
https://www.instagram.com/cdp2019.jp/

◆立憲民主党 TikTok
https://www.tiktok.com/@cdp_rikkenminshu

◆立憲民主党 LINE
https://page.line.me/rikken?openQrModal=true

◆立憲民主党 Facebook
https://www.facebook.com/rikkenminshu","['政治', '立憲', '民主主義', '選挙', '社会問題', '国会', '自民党', '公明党', '国民民主党', 'れいわ', '衆議院', '参議院', '政治ニュース', '参政党', '共産党', '議員']",https://i.ytimg.com/vi/Bot00o65NEg/hqdefault.jpg,25,356,48,0,PT43S,false,立憲民主党
tOdAwANU26k,2025-07-15T01:46:25Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【なぜ社会保険料の引き下げが進まなかったのか？】それは、選挙を恐れた政治家が年金や医療制度の改革に手をつけなかったからです。,"【なぜ社会保険料の引き下げが進まなかったのか？】
参議院東京都選挙区候補者 #おときた駿

なぜ社会保険料の引き下げが進まなかったのか？
それは、選挙を恐れた政治家が年金や医療制度の改革に手をつけなかったからです。
でも、いまの制度はもうズタボロ。
ここに踏み込まないと、手取りは増えないし、日本も成長できない。

✅未来のために、今こそ年金・医療制度を変えなければならない！

#日本維新の会 #参議院選挙 #東京都 #社会保険料を下げる改革 #社会保険料から暮らしを変える","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/tOdAwANU26k/hqdefault.jpg,25,3800,164,13,PT49S,false,日本維新の会
XY1HTJGuOVw,2025-07-15T03:41:23Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【LIVE配信・兵庫県 #よしひら敏孝】2025年7月15日(火) 11:20～ 日生中央サピエ前【街頭演説】,"★★★★★　チャンネル登録お願いします　★★★★★

日　時：2025年7月15日(火) 11:20
場　所：日生中央サピエ前 (兵庫県猪名川町松尾台1丁目2-1)
弁　士：参議院兵庫県選挙区候補者 #よしひら敏孝 他


【 関連URL 】
日本維新の会 HP：https://o-ishin.jp/
日本維新の会 YouTube：https://www.youtube.com/@OishinJpn
日本維新の会 X(Twitter)：https://twitter.com/osaka_ishin
日本維新の会 Facebook：https://www.facebook.com/nipponishinn...
日本維新の会 Instagram：https://www.instagram.com/nippon.ishin/
日本維新の会 LINE：https://page.line.me/693ijysx


#吉村洋文
#日本維新の会
#社会保障改革
#社会保険料から暮らしを変える",[],https://i.ytimg.com/vi/XY1HTJGuOVw/hqdefault.jpg,25,5396,220,11,PT1H19M4S,false,日本維新の会
MZzRdebLF4o,2025-07-15T09:49:09Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【LIVE配信・兵庫県 #よしひら敏孝】2025年7月15日(火) 17:00～ 甲子園プラス前【街頭演説】,"★★★★★　チャンネル登録お願いします　★★★★★

日　時：2025年7月15日(火) 17:00
場　所：甲子園プラス前 (兵庫県西宮市甲子園町8-15)
弁　士：参議院兵庫県選挙区候補者 #よしひら敏孝 他


【 関連URL 】
日本維新の会 HP：https://o-ishin.jp/
日本維新の会 YouTube：https://www.youtube.com/@OishinJpn
日本維新の会 X(Twitter)：https://twitter.com/osaka_ishin
日本維新の会 Facebook：https://www.facebook.com/nipponishinn...
日本維新の会 Instagram：https://www.instagram.com/nippon.ishin/
日本維新の会 LINE：https://page.line.me/693ijysx


#吉村洋文
#日本維新の会
#社会保障改革
#社会保険料から暮らしを変える",[],https://i.ytimg.com/vi/MZzRdebLF4o/hqdefault.jpg,25,3563,183,4,PT46M16S,false,日本維新の会
7p36--B86fE,2025-07-15T06:26:52Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【LIVE配信・兵庫県 #よしひら敏孝】2025年7月15日(火) 14:45～ JR元町駅東口【街頭演説】,"★★★★★　チャンネル登録お願いします　★★★★★

日　時：2025年7月15日(火) 14:45
場　所：JR元町駅東口 (兵庫県神戸市中央区元町通1-13-15)
弁　士：参議院兵庫県選挙区候補者 #よしひら敏孝 他


【 関連URL 】
日本維新の会 HP：https://o-ishin.jp/
日本維新の会 YouTube：https://www.youtube.com/@OishinJpn
日本維新の会 X(Twitter)：https://twitter.com/osaka_ishin
日本維新の会 Facebook：https://www.facebook.com/nipponishinn...
日本維新の会 Instagram：https://www.instagram.com/nippon.ishin/
日本維新の会 LINE：https://page.line.me/693ijysx


#吉村洋文
#日本維新の会
#社会保障改革
#社会保険料から暮らしを変える",[],https://i.ytimg.com/vi/7p36--B86fE/hqdefault.jpg,25,3891,195,11,PT44M19S,false,日本維新の会
L70CRHGbRj8,2025-07-15T02:19:26Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【日本維新の会の現実的な責任のある政策を見比べていただきたい】参議院兵庫県選挙区候補者 #よしひら敏孝,"✅今回の選挙は政権選択の選挙となり、今後の日本の政治を変える力のある1票
✅皆さまの声を国会に反映する仕事をよしひら敏孝に託していただきたい

#日本維新の会 #兵庫県 #よしひら敏孝 #社会保険料を下げる改革 #社会保険料から暮らしを変える","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/L70CRHGbRj8/hqdefault.jpg,25,1808,52,2,PT56S,false,日本維新の会
b9mcg2Y28Yk,2025-07-15T06:08:24Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【皆さまの一票でよしひら敏孝にこの日本を変える責任と仕事を！】参議院兵庫県選挙区候補者 #よしひら敏孝 代表 #吉村洋文,"✅現役世代の負担を下げることによって所得も増え高齢者の皆さまを支えられる
✅社会保険料の負担を下げる改革をやらないと次世代がもっと困る社会が来てしまう
✅皆さまのためになるかどうかを我々の判断軸として有言実行の政策を実現していく

#日本維新の会 #兵庫県 #よしひら敏孝 #社会保険料を下げる改革 #社会保険料から暮らしを変える","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/b9mcg2Y28Yk/hqdefault.jpg,25,1896,88,2,PT1M24S,false,日本維新の会
3LUP2yBJfPQ,2025-07-15T08:44:28Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【参院選2025】＜外国人問題＞の対策は？あおやぎ仁士 政調会長の政策解説させていただきます⑤,"★★★ 高評価・チャンネル登録お願いします★★★
 
 #あおやぎ仁士 政調会長が＜外国人問題＞が起きる根源的な問題、維新の対応策について解説します！

＜目次＞
0:00　 オープニング
0:12　外国人の帰化問題について　  
0:56　中国人が日本の土地を買い占めている
1:47　外国人への保険適用
2:35　都心の物件は空室だらけ
3:12　外国人問題の根源的な原因と対処法

【参院選2025】あおやぎ仁士 政調会長の政策解説させていただきます
① #社会保険料を下げる改革
https://youtu.be/wwPBIyY-11I
②維新にしか実行できない #経済成長戦略
https://youtu.be/mN3HwNCqWpI
③ #物価高対策 3本柱
https://youtu.be/Q5_R914uzjU
④＜米価格高騰＞への対策
 https://youtu.be/HR7Q9d_zTVw
⑤＜外国人問題＞への対策
https://youtu.be/3LUP2yBJfPQ

【 日本維新の会 関連URL 】
HP：https://o-ishin.jp/
YouTube：https://www.youtube.com/@OishinJpn
X：https://twitter.com/osaka_ishin
Facebook：https://www.facebook.com/nipponishinn...
Instagram：https://www.instagram.com/nippon.ishin/
LINE：https://page.line.me/693ijysx

#吉村洋文 #社会保険料を下げる改革 　#参議院選挙","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/3LUP2yBJfPQ/hqdefault.jpg,25,935,141,22,PT4M11S,false,日本維新の会
2O9UM69B6ks,2025-07-15T07:39:53Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【将来の子どもたちのために絶対に必要な改革】 #吉村洋文 #ReHacQ #参院選,"後世から振り返ったら絶対に必要だったと言われる改革！

✅少子高齢化で子どもたちが困る未来が目に見えている
✅子どもたちの将来に見て見ぬふりは出来ない
✅社会保険料改革は命を守るための改革である！

📺ReHacQ本編もご覧ください！
https://youtube.com/live/_27klF6H22Q?si=oE4c7b0cRKGcVF2s

#日本維新の会  #社会保険料を下げる改革 #社会保険料から暮らしを変える","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/2O9UM69B6ks/hqdefault.jpg,25,1500,115,3,PT1M16S,false,日本維新の会
-RBVugwI98s,2025-07-15T01:58:17Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【9割引の医療には、9割分のツケがある。】元気な若い世代が高齢者を支える。そんな「支え合える社会」をつくっていきます。,"【9割引の医療には、9割分のツケがある。】
参議院東京都選挙区候補者 #おときた駿

9割引の医療には、9割分のツケがある。
その差額を負担しているのは、皆様の子どもやお孫さんたちです。
その現実から目をそらさず、私は正直に伝えます。
政治家が逃げてきたことから、私たちは逃げません。
元気な若い世代が高齢者を支える。
そんな「支え合える社会」をつくっていきます。

#日本維新の会 #参議院選挙 #東京都 #社会保険料を下げる改革 #社会保険料から暮らしを変える","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/-RBVugwI98s/hqdefault.jpg,25,1622,106,3,PT1M3S,false,日本維新の会
