id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
hfgLrE94nUk,2025-07-12T11:37:26Z,UCHAymk9VIdetXNMkIEAsJbw,しまうちかずき 政治議論&格闘技団体FUZINチャンネル,【平野雨龍】【街頭演説】参院選,"企画支援にご協力お願い致します↓
https://lit.link/shimauchikazuki
このチャンネルのメンバーになってメンバー限定配信の視聴権を獲得してください。
https://www.youtube.com/channel/UCHAymk9VIdetXNMkIEAsJbw/join

ツイッターもフォローお願いします、フォロバします。
@nattoucaptain       http://twitter.com/nattoucaptain  

【FUZIN ファンド】次回は9月にFUZIN.9を開催します。
現在〖28,000円〗
会場費,勝利者賞,オファー費,用具代など
FUZIN大会運営に使います
余ったら次回FUZINで使用
スパチャ、お茶爆の50％、振込、paypay
※必ずFUZINファンドと
わかるようスパチャなどお願いします
使用履歴 
FUZIN.8試合、打ち上げ会場費 13,960円
FUZIN.8キャストギャラ総額 100,000円
FUZIN.8打ち上げ飲食費用 5,000円
簡易ゴング購入 890円

【音楽イベントファンド】
音楽イベントの運営に使います。
スパチャの50%
振り込み、paypayは100%
※必ず音楽イベントファンドとわかるようにスパチャなどお願いします。

#japan #縦型配信 #shorts","['納豆キナーゼ', 'FUZIN', 'しまうちかずき']",https://i.ytimg.com/vi/hfgLrE94nUk/hqdefault.jpg,24,107356,434,2,PT1H21M45S,false,自民党
G4oQ-cozNqU,2025-07-11T16:51:50Z,UC2EVii_AEBh4SU4K0T3gatg,2ch時事特報,【衝撃】参院選中盤、自民党党内に向けてまさかの通知,"7月3日に公示された参院選。
投票日まで10日を切り
選挙戦は最終局面へ突入しています。
そんな中
飛び込んだ衝撃のニュース。


---------------------------------------------------------------------------------------------

▼画像引用元
・撮って出しニュース

https://www.youtube.com/watch?v=PL0PUpz1ah8&t=297s

●提供する動画に関しては
ニュースやユーザーの反応を
5chのスレッド風に
まとめたオリジナル動画です。

コンテンツ内容は
よりわかりやすくするため
新たな視点や再構成を行い
当チャンネル
オリジナルコンテンツとなるよう
編集をしております。


■当チャンネルは、著作権を尊重し、侵害を目的とした
運営は行っておりません。
細心の注意を払っておりますが、万が一問題がございましたら
著作権者の方はお問い合わせメールアドレスまで
ご連絡いただけますと幸いです。


・お問合せはこちらのメールアドレスまでお願いいたします。

tokuhounew33@gmail.com


---------------------------------------------------------------------------------------------


---------------------------------------------------------------------------------------------

■BGM　画像素材等
 
・イラストac様 
・pixabay様 
・いらすとや様
・ニコニ・コモンズ様 https://commons.nicovideo.jp/
・photoAC様
・PIXTA様
・Youtube オーディオライブラリ様
・Youtuber Hack Store.様
・テロップ.サイト様
・フキダシデザイン

---------------------------------------------------------------------------------------------


---------------------------------------------------------------------------------------------
■ナレーション

・VOICEPEAK
---------------------------------------------------------------------------------------------","['政治', '自民党', '内部', '情報', '通知']",https://i.ytimg.com/vi/G4oQ-cozNqU/hqdefault.jpg,25,103827,1497,604,PT2M32S,false,自民党
ledwJzhVk7U,2025-07-12T03:00:06Z,UCPzzBZLtD6DdHYfdGMqFqiw,弁護士北村晴男ちゃんねる,【参院選2025】自民党のヤバい話、聞いちゃいました。 石破左翼政権は本当に危険だ！,"先日、ある信頼できる情報筋から
自民党に関する驚きの情報が！
「参院選は、絶対に負けられない」
そう思わせる、とんでもない石破左翼政権の実態、お話しします。


北村弁護士が今、興味のあること・知ってもらいたいことについてメッセージを込めて伝えています。 

中学生や高校生にこそ見てほしい！そんなチャンネルです。


弁護士 北村晴男ちゃんねるをご覧いただき、ありがとうございます！
動画が少しでも良かったら【いいね＆チャンネル登録】していただけると励みになります！
↓↓↓ 他の動画もよろしく！

◆北村弁護士のXはこちら 
https://twitter.com/kitamuraharuo 

◆YouTubeチャンネル公式Xはこちらから
https://x.com/kitamuratube
※北村晴男ちゃんねる宛のビジネスのお問合せは、
DMにてお送りください！

◆メルマガ「言いすぎか!!　弁護士 北村晴男　本音を語る」 　本音で語るもう一つの北村晴男ワールドがここに！ 　
https://www.mag2.com/m/0001674128 



＃北村晴男　＃北村弁護士　#日本保守党　#参院選　　#参議院選挙
#百田尚樹　#有本香　#ヤバい話",[],https://i.ytimg.com/vi/ledwJzhVk7U/hqdefault.jpg,25,81986,8457,474,PT5M21S,false,自民党
nUXK82HDpUw,2025-07-12T00:57:38Z,UCh-h6KNfRKJFkQUqOAIFxuQ,にっぽん見守り党,【参院選最新】国民民主党が与党で玉木総理ある！？「自民党と石破政権おしまいです！」と記者が断言！参院選後に解散など大混乱のシナリオが現実味！自民党内からえげつない裏情報が…【勝手に論評】,"2025年7月12日、参院選での与党過半数割れが70％になると囁かれる中、参院選後の政局について大きな動きがありそうです。こちらのチャンネルではナビゲーターの【東雲マコ】が政治のニュースや動画、ネットの反応などを引用しながら、事実を調査し是々非々で論評していくエンタメ系ニュースメディアです！

▼おすすめ再生リスト
国民民主党
https://www.youtube.com/playlist?list=PL9KPS92REIhZS9woEVwnDvqgf87iXU_Es

石丸伸二最新ニュース
https://www.youtube.com/playlist?list=PL9KPS92REIhZs7z4vQm8htUF9I0_2xFGv

衆院選2024まとめ
https://www.youtube.com/playlist?list=PL9KPS92REIhZAyq3nwPsY_rO1QejIp02g

▼チャンネル登録まだの方は登録お願いします！
http://www.youtube.com/channel/UCh-h6KNfRKJFkQUqOAIFxuQ?sub_confirmation=1

▼X(旧Twtitter)はこちら！
https://twitter.com/seiji4everyone

====================================
〇目次
0:00 ハイライト
0:47 最新情報・概要
1:31 自公政権の終焉
4:28 演説に来ることを嫌がられる総理
5:37 消費減税しない言い訳が酷い石破総理
7:06 参院選後のシナリオ
10:43 ４つのシナリオ
12:05 立憲の野田代表が暗躍！？
16:10 論評まとめ(個人の見解です)
====================================
〇引用
【参院選2025】与党過半数割れなら秋に衆院解散も？産経×朝日の政治記者が徹底解説【産経新聞・水内茂幸/朝日新聞・今野忍】｜選挙ドットコム
https://www.youtube.com/watch?v=0a3EJC-FX7w
○関連チャンネル
▼まるチャンネル(石丸伸二公式)
https://www.youtube.com/@shinji_ishimaru_1982

▼地域政党 再生の道
https://www.youtube.com/@The-Path-to-Rebirth

▼国民民主党
https://www.youtube.com/@DPFPofficial

▼たまきチャンネル
https://www.youtube.com/@tamaki-channel

#参院選
#国民民主党
#石破総理
#自民党
#玉木雄一郎
#石丸伸二
#再生の道
#維新
#吉村洋文
#リハック
#ひろゆき
#西田亮介
#にっぽん見守り党
#東雲マコ

！当事者からの修正削除要請は真摯に対応いたしますので、概要欄の連絡先からお願いいたします

※コメントはコミュニティガイドラインを参考にお願いします
※誹謗中傷はお止めください
※ハイライトは、分かりやすく伝えるため前後関係がなく繋がっている場合があります。詳しくは本編をご覧ください。
※字幕付けは聞こえた音声と前後関係から想定して付けており間違っている場合もございます
※チャンネル主からの「いいね」は、ご意見ありがとうございますの意です(同意したわけではありません)
※サムネイルやタイトルは時期や影響を考え変更する場合があります
声：VOICEVOX 四国めたん
BGM:chill ending、勇敢なる進撃／ni-music",[],https://i.ytimg.com/vi/nUXK82HDpUw/hqdefault.jpg,25,78804,844,193,PT17M24S,false,自民党
cf00LBynm5k,2025-07-12T07:16:20Z,UCjrN-o1HlLk22qcauIKDtlQ,参政党,街頭演説  in  佐賀  鳥栖駅前西側広場　令和7年7月12日（土）15：15頃　【参議院選挙2025 参政党 Live】,"／
日本の未来を変えるため、参政党は全ての都道府県に
参院選の候補者を立てています。
＼
参院選特設サイト👉　https://sanseito.jp/sanin_election_27/

💫期日前投票始まってます！！
 投票日は7/20

参議院選挙は「2枚の投票用紙」で投票します！
❶ まずは投票所に行きましょう
❷ 投票所で投票用紙が【2枚】渡されます！

✅1枚目は「選挙区」→ 
地元の候補者の名前を書きます
（参政党は47都道府県すべてに候補者がいますので
必ず書いていただけます！）

✅2枚目は「比例代表」→
 「参政党」と書くor応援したい「比例候補者」
の名前を書きます！

✍️名前は 漢字でもひらがなでもOK！

聞いたことのない難しい用語や仕組みで
ややこしい！と思われる方のために
神谷代表からの解説動画もよければご覧ください！
https://youtube.com/shorts/PNAhMNRELWc?feature=share

#日本人ファースト
#日本人ファースト参政党
#参政党旋風
#参院選

🎌🌸🗻━━…‥・
　壊れゆく日本を守るため、
　日本人ファーストの政治家を
　1人でも多く国会に送り込みたい！
　　　　　　　　・‥…━━🗻🌸🎌
👇️参議院選挙クラウドファンディング👇️
https://congrant.com/project/sanseito/17367

ーーーーーーーーーーーーーーーーーーーーーーーーー
参政党　～国政政党～
【参政党に参加する↓】
https://www.sanseito.jp/participation/

◎参政党　公募ページはコチラ↓
https://www.sanseito.jp/recruitment/

◎参政党イベント情報ページ
https://www.sanseito.jp/eventc/

◎参政党を応援！献金ページ
https://www.sanseito.jp/donation/

◎入党方法や様々な情報はコチラから
https://www.sanseito.jp/

▼公式Twitter（@sansei411）
https://twitter.com/sansei411
▼公式Instagram（@sanseito）
https://www.instagram.com/sanseito
▼公式Facebook
https://www.facebook.com/sanseito2020
▼公式LINE
https://line.me/R/ti/p/@sanseito
▼公式TikTok
https://www.tiktok.com/@sanseito

このプロジェクトを始めるまでの経緯や思いをブログと音声にしました！

◎神谷宗幣ブログ
https://www.kamiyasohei.jp/blog/

◎音声（デイリー神谷特別編）
https://ishikikaikaku.jp/PartyDIY01.mp3 

〈リンクはコチラ〉
CGS-チャンネルグランドストラテジー-
https://www.youtube.com/user/ChGrandStrategy

#神谷宗幣
#赤坂ニュース 
#参政党","['記者会見', '参政党', '神谷宗幣', '政党', '政治', '教育', '国会', '衆議院', '参議院', '選挙', 'ニュース', 'news', 'さんせいとう', 'sanseito', '歴史']",https://i.ytimg.com/vi/cf00LBynm5k/hqdefault.jpg,25,70767,6471,176,PT1H7M14S,false,自民党
NGW1zmArIw0,2025-07-11T15:13:40Z,UCjrN-o1HlLk22qcauIKDtlQ,参政党,神谷宗幣×田母神俊雄 参院選SP対談Part.1〜日本の歴史認識を考える〜【赤坂ニュース295】参政党,"⭐️過去の対談動画はこちら
田母神俊雄×神谷宗幣SP対談！激動の都知事選や今後の活動を語る【赤坂ニュース152】参政党
https://youtu.be/ckinYTBxzVs

神谷宗幣×田母神俊雄 衆院選直前SP対談〜これでいいのか！？日本の安全保障〜【赤坂ニュース181】参政党
https://youtu.be/rKT8CVo-JP8

🎌🌸🗻━━…‥・
　壊れゆく日本を守るため、
　日本人ファーストの政治家を
　1人でも多く国会に送り込みたい！
　　　　　　　　・‥…━━🗻🌸🎌
👇️参議院選挙クラウドファンディング👇️
https://congrant.com/project/sanseito/17367

【参政党政治塾】
https://sanseito.jp/2020/seijijuku/

【地方選候補者公募】
https://sanseito.jp/koubo_flow/

【衆議院議員公募】
https://sanseito.jp/shuin_flow/

参政党　～国政政党～
【参政党に参加する↓】
https://www.sanseito.jp/participation/

◎参政党　公募ページはコチラ↓
https://www.sanseito.jp/recruitment/

◎参政党イベント情報ページ
https://info.sanseito.jp/

◎参政党を応援！献金ページ
https://congrant.com/project/sanseito/6104

◎入党方法や様々な情報はコチラから
https://www.sanseito.jp/

▼公式Twitter（@sansei411）
https://twitter.com/sansei411
▼公式Instagram（@sanseito）
https://www.instagram.com/sanseito
▼公式Facebook
https://www.facebook.com/sanseito2020
▼公式LINE
https://line.me/R/ti/p/@sanseito
▼公式TikTok
https://www.tiktok.com/@sanseito

このプロジェクトを始めるまでの経緯や思いをブログと音声にしました！

◎神谷宗幣ブログ
https://www.kamiyasohei.jp/blog/

◎音声（デイリー神谷特別編）
https://ishikikaikaku.jp/PartyDIY01.mp3 

〈リンクはコチラ〉
CGS-チャンネルグランドストラテジー-
https://www.youtube.com/user/ChGrandStrategy

#田母神俊雄 #神谷宗幣 #日本人ファースト #大東亜戦争 #歴史 #赤坂ニュース #参政党","['参政党', '神谷宗幣', '政党', '政治', '教育', '国会', '衆議院', '参議院', '選挙', 'ニュース', 'news', 'さんせいとう', 'sanseito', '赤坂ニュース', '歴史']",https://i.ytimg.com/vi/NGW1zmArIw0/hqdefault.jpg,25,64029,4921,375,PT22M49S,false,自民党
MdcSOUC--gU,2025-07-12T08:00:23Z,UC2vi2elY5r_NiMMar423Xwg,おみそちゃんねる【世界どん深闇ニュース】,【参院選】期○○投票には絶対に行くな！,"あの大物が参院選に参戦へ！？
参政党 日本保守党 北村晴男 クルド人問題 ヒカル 日本人ファースト",[],https://i.ytimg.com/vi/MdcSOUC--gU/hqdefault.jpg,25,98520,12267,1338,PT20M33S,false,自民党
BxBMvVTDQkg,2025-07-12T08:01:20Z,UCHAymk9VIdetXNMkIEAsJbw,しまうちかずき 政治議論&格闘技団体FUZINチャンネル,【平野雨龍】【街頭演説】参院選,"企画支援にご協力お願い致します↓
https://lit.link/shimauchikazuki
このチャンネルのメンバーになってメンバー限定配信の視聴権を獲得してください。
https://www.youtube.com/channel/UCHAymk9VIdetXNMkIEAsJbw/join

ツイッターもフォローお願いします、フォロバします。
@nattoucaptain       http://twitter.com/nattoucaptain  

【FUZIN ファンド】次回は9月にFUZIN.9を開催します。
現在〖28,000円〗
会場費,勝利者賞,オファー費,用具代など
FUZIN大会運営に使います
余ったら次回FUZINで使用
スパチャ、お茶爆の50％、振込、paypay
※必ずFUZINファンドと
わかるようスパチャなどお願いします
使用履歴 
FUZIN.8試合、打ち上げ会場費 13,960円
FUZIN.8キャストギャラ総額 100,000円
FUZIN.8打ち上げ飲食費用 5,000円
簡易ゴング購入 890円

【音楽イベントファンド】
音楽イベントの運営に使います。
スパチャの50%
振り込み、paypayは100%
※必ず音楽イベントファンドとわかるようにスパチャなどお願いします。

#japan #縦型配信 #shorts","['納豆キナーゼ', 'FUZIN', 'しまうちかずき']",https://i.ytimg.com/vi/BxBMvVTDQkg/hqdefault.jpg,24,124110,434,0,PT1H3M1S,false,自民党
NuTR25MRpik,2025-07-12T03:00:34Z,UCA-KovIqvJBVt6szX53JphQ,記者VTuberブンヤ新太,【参院選】最新情勢を徹底分析！激戦区が増えて自民党と公明党の惨敗・与党過半数割れ確実？参政党が議席を奪う選挙区も！石破政権は崩壊か【政治】,"参院選の最新情勢を解説！中盤で激戦区が増え自公過半数割れ確実か？
自民党と公明党から参政党が議席を奪う選挙区も。石破政権は崩壊か。
最新の時事ニュースを記者VTuberが解説します！

■全ての激戦区を分析する配信はこちら！
https://youtube.com/live/74BusNOA1FE

【タイムスタンプ】
0:00 参院選の最新情勢はどうなっている？
0:54 選挙情勢はどのように変わるのか？
4:48 今回の参院選で重要な議席数は？
5:37 選挙区ごとの最新情勢は？
6:45 栃木で自民が窮地となった理由は？
8:18 参政党の勢いが自公の脅威に！
9:45 自民と公明の議席数はいくつになる？
10:43 今後の情勢は一体どうなる！？
11:43 全ての選挙区の情勢解説もやります！
12:09 政治の行方を左右するのは皆さんの一票

■自己紹介
あらたなニュースをあなたにお届け！
記者VTuberのブンヤ新太です！
元新聞記者、現役ジャーナリストの視点からニュースを読み解きます！
チャンネル登録して今日知るべき最新情報をチェック！

■プロフィール
1992年生まれのジャーナリスト。
2015年に東京大学を卒業し、毎日新聞社に入社。
宮崎、福岡で事件記者をした後、政治部で首相官邸や国会、政党や省庁などを取材。
自民党の安倍晋三首相や立憲民主党の枝野幸男代表の番記者などを務めた。
2023年に独立してフリーで活動を開始。
本名は宮原健太で文春や集英社、PRESIDENTなど様々な媒体に記事を書いている。

◆メンバーシップ「ブンヤ新太のニュース編集室」参加はこちら！
限定配信やバッジ、スタンプなどの特典あり！
https://www.youtube.com/channel/UCA-KovIqvJBVt6szX53JphQ/join

◆twitter
https://twitter.com/bunyaarata

◆mond（質問箱：朝配信で取り上げます！）
https://mond.how/ja/bunyaarata

◆theLetter
マガジン・記者VTuberブンヤ新太「ニュース読解塾」配信中！
https://bunyaarata.theletter.jp/

◆寄稿記事などリンク集
https://potofu.me/bunyaarata

◆仕事依頼・情報提供
bunyaarata@gmail.com

■注意事項■
・チャット、コメント欄では良識のある発言を心がけましょう。
・チャット欄同士で会話、議論をするのはお控えください。
・チャット欄では配信内容に関する質問を受け付けています。それ以外の質問は質問箱にお送りください。朝配信で取り上げます。
・コメント欄では基本的に質問に対する回答はしていません。そのため、動画やアーカイブを視聴した上での質問も質問箱にお送りください。
・他の配信者様の配信で脈絡なく「ブンヤ新太」の名前を出すのは迷惑になるためお控えください。
・建設的な批判は受け付けていますが、誹謗中傷や連投行為、荒らし、スパムはブロックします。ご注意ください。

#参院選 
#参院選2025 
#選挙 
#政治 
#参政党 
#自民党 
#石破茂 
#国民民主党 
#立憲民主党 
#公明党 
#日本維新の会 

◆配信タグ
#アラタナ速報","['参院選', '政治', '選挙', '参政党', '自民党', '石破茂', '国民民主党', '立憲民主党', '公明党', '日本維新の会']",https://i.ytimg.com/vi/NuTR25MRpik/hqdefault.jpg,25,42202,963,119,PT12M38S,false,自民党
biYTIsXZ1B0,2025-07-11T16:09:21Z,UCPdGW3HUuZOXlyDbdqZVt8A,BSフジ プライムニュース,【参院選2025】維新・れいわ・参政に問う戦略と覚悟 2025/07/11放送＜後編＞,"▼ チャンネル登録よろしくお願いいたします！ 
https://www.youtube.com/@primenews?sub_confirmation=1
議席攻防戦が過熱する参院選２０２５。公明・維新・共産・国民・れい・参政に党勢拡大戦略や物価高など日本が抱える課題への対応策、国家観を問う。

『参院選２０２５　各党の党勢拡大戦略と国家観を生直撃』

各党が党勢拡大のために各地で舌戦を繰り広げている参院選。不安定な国際情勢や物価高が直撃する暮らしなど、様々な課題が日本に立ちはだかる中、各党は何を訴え、どのようにして有権者の心をつかもうとしているのか。２夜連続企画の後編は、公明・斉藤代表、維新・吉村代表、共産・田村委員長、国民・玉木代表、れい・櫛渕共同代表、参政・神谷代表に、選挙戦を戦い抜く戦略に加え、各党が描く日本の将来ビジョンや国家観を問う。

▼出演者
＜ゲスト＞
田村智子（日本共産党委員長）
玉木雄一郎（国民民主党代表）
斉藤鉄夫（公明党代表）
吉村洋文（日本維新の会代表）
櫛渕万里（れいわ新選組共同代表　衆院議員）
神谷宗幣（参政党代表 ※ZOOM中継）
久江雅彦（共同通信特別編集委員）

《放送⽇時》
毎週(⽉)〜(⾦) 20時〜21時55分／BSフジ4Kの⾼精細映像も好評放送中
※こちらは「BSフジLIVE プライムニュース」の２時間の討論をダイジェストでお届けします。

#プライムニュース　#BSフジ　#参院選　#日本共産党 　#国民民主党　#公明党　#日本維新の会　#れいわ新選組　#参政党

▼ 番組HP　https://www.bsfuji.tv/primenews/
▼ 番組X　https://twitter.com/primenews_

※動画には配信期限があり、予告なく掲載をおろす場合がございます。ご了承ください。","['プライムニュース', 'BSフジ', 'ニュース', '反町理', '政治', '経済', 'ウクライナ', 'ロシア', '自由民主党', '深層NEWS', '1930', '中国', '台湾', 'アメリカ', 'プーチン', 'ゼレンスキー', '深層ニュース', 'BS-TBS', 'BS日テレ', 'BSテレ東', 'bsプライムニュース', 'bsフジlive', '反町', 'インド', 'トルコ', '林外相', '森本敏', '小泉悠', '小野寺五典', '髙橋杉雄', '防衛', '自衛隊', 'プライムオンライン', 'FNN', '尖閣', '北朝鮮', '韓国', '安保', 'クローズアップ現代', 'クロ現', '報道ステーション', '報道局', 'フジテレビ', '米国', '立憲民主党', '虎ノ門ニュース', '日曜スクープ', '核兵器', '戦況', 'ワグネル', '民間軍事会社', '独裁', '国防総省', '言論テレビ', 'NEWSPICS', 'NEWSWEEK', '国際政治', '髙橋洋一', 'bs11', 'インサイドout', 'G7サミット', '広島', '脱炭素', '政局', '選挙', '原発', '統一地方選挙', '与野党', '維新', 'クロスファイア', '朝まで生テレビ', '徹底討論', '朝生', '報道1930', '立民', '立憲民主', '解散総選挙', '総選挙', 'ユン大統領', '金正恩', '徴用工', '慰安婦', '追放', '中露', 'F-16', '越境攻撃', 'バフムト', 'ベルゴロド', 'ルハンスク', 'クリミア', 'ザポリージャ', '反ロシア', 'ネオナチ', 'NATO', 'プリゴジン']",https://i.ytimg.com/vi/biYTIsXZ1B0/hqdefault.jpg,25,46663,701,574,PT31M50S,false,自民党
