id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
72jmG-rhm8E,2025-07-09T02:35:42Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,日本は＋1％ 理由は5％刻みのため!? トランプ氏 相互関税25％ 今後の交渉と経済の影響は【NIKKEI NEWS NEXT】,"2025年7月8日放送のＢＳテレ東「NIKKEI NEWS NEXT」より、特集の一部をYouTubeで配信します。
▼フルバージョンは「テレ東BIZ」で配信中▼
https://txbiz.tv-tokyo.co.jp/nikkeinext?utm_source=youtube&utm_medium=video&utm_campaign=nnn_yt

▼「テレ東BIZ」会員登録はこちら▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=nnn_yt

トランプ米政権は8月1日から日本に25%の関税をかけると通知しました。日本を含む各国との関税交渉は難航しています。事実上の新たな交渉期限を設けた形ですが、日本は関税引き下げを勝ち取ることができるでしょうか。また、今後日本経済にトランプ関税はどの程度の下押し圧力になるのでしょうか。みずほリサーチ&テクノロジーズ調査部プリンシパルの小野亮氏をゲストに日米関税交渉の行方を読み解きます。

【ゲスト】
小野亮(みずほリサーチ＆テクノロジーズ 調査部 プリンシパル)
木野内栄治(大和証券 チーフテクニカルアナリスト)

#トランプ関税　#トランプ　#大統領　#石破　#総理大臣　#関税　#ベッセント財務長官　#ラトニック財務長官　#日本経済　#GDP　#押し下げ　#自動車　#建設機械　#航空機　#半導体　#鉄鋼　#アルミ　#NIKKEINEWSNEXT",[],https://i.ytimg.com/vi/72jmG-rhm8E/hqdefault.jpg,25,117490,324,188,PT10M25S,false,テレ東Biz
A4fbCLk6_Yg,2025-07-09T03:50:38Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,トランプ大統領、銅に50％の関税課す考え　国内生産強化目指す,"アメリカのトランプ大統領は8日、輸入する銅や銅関連製品に対し、50％の関税を課す考えを示しました。8日中に計画を発表するとしています。トランプ氏は2月、ラトニック商務長官に対し、輸入状況などの調査を命じていました。銅はEV＝電気自動車などの製造に不可欠で、戦略物資としての重要性が増す中、アメリカの銅の輸入依存度は2024年、45％にまで高まっていました。関税措置で自国の生産力を強化し、サプライチェーン上のリスクに対処する狙いです。また、トランプ氏は医薬品への関税についても言及し「例えば200％など、かなり高い関税率になる」と明らかにしました。

#アメリカ　#トランプ大統領　#銅　#関税　#ラトニック商務長官　#EV　#電気自動車　#医薬品

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/A4fbCLk6_Yg/hqdefault.jpg,25,23267,130,218,PT1M2S,false,テレ東Biz
AcEK-c7rSGA,2025-07-09T08:47:04Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,ASEAN外相会議開幕 トランプ政権の関税対策議論,"ASEAN＝東南アジア諸国連合の外相会議が9日からマレーシアで始まりました。アメリカのトランプ政権が各国に高い関税率を通知する中、対応策などを議論します。議長国マレーシアのアンワル首相は一連の会議の冒頭で関税や輸出制限などが「地政学的な対立」をもたらし、国際社会が不確実な状況にあると指摘しました。その上で、ASEANは「この状況を読み解き、立ち向かわなければいけない」と訴えました。会議は11日まで行われる予定でアメリカのルビオ国務長官や中国の王毅外相、日本から岩屋外務大臣も出席します。

＃ASEAN　＃東南アジア諸国連合　＃外相会議　＃マレーシア　＃アメリカ　＃トランプ　＃ルビオ国務長官　＃中国　＃王毅外相　＃岩屋外務大臣　＃関税

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/AcEK-c7rSGA/hqdefault.jpg,25,15770,96,22,PT47S,false,テレ東Biz
uy_i2ugAiQY,2025-07-09T00:07:33Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,米トランプ大統領「銅に50％」　医薬品は「200％」【モーサテ】,"アメリカのトランプ大統領は8日、新たな分野別関税の品目として、輸入する銅に50％の追加関税を課すと表明しました。防衛やEV＝電気自動車など幅広い分野に使われる銅への追加関税について、国家安全保障に関する通商拡大法232条を根拠とする方針です。発動の時期をめぐってはラトニック商務長官がCNBCのインタビューで「7月末か8月1日に発動することになるだろう」と明らかにしました。トランプ氏はまた、検討している医薬品への追加関税の税率については1年から1年半の猶予を設けたうえで、200％とする方針も示しました。

#トランプ #関税 #銅 #ラトニック

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/uy_i2ugAiQY/hqdefault.jpg,25,15383,104,126,PT47S,false,テレ東Biz
5l8KRNYDWFY,2025-07-08T16:01:11Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,米 ウクライナに兵器追加供与　防空用ミサイル10発【WBS】,"アメリカ政府は7日、ロシアによる軍事侵攻が続くウクライナに対し防衛用の兵器を追加で供与すると発表しました。国内の在庫不足を理由に兵器の供与を一部停止していましたが、方針を一転させた形です。アメリカのニュースサイト、アクシオスは8日、トランプ大統領がゼレンスキー大統領に対し、防空システム「パトリオット」用のミサイル10発を直ちに供給すると約束したと報じました。

#アメリカ #ミサイル #ロシア #ウクライナ

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/5l8KRNYDWFY/hqdefault.jpg,25,12270,115,63,PT41S,false,テレ東Biz
nmQDB-qx77E,2025-07-09T00:07:37Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,「日本に25％関税」受け　赤沢大臣 米財務長官と電話協議【モーサテ】,"関税交渉を担当する赤沢経済再生担当大臣とアメリカのベッセント財務長官が電話で会談しました。電話会談は、およそ30分間にわたって行われ、日米間の協議を精力的に継続していくことで一致しました。引き続き日米双方の利益となるような合意の可能性を探るとしています。日米の関税交渉をめぐっては赤沢大臣は、8日の記者会見で日本車への関税引き下げが合意の条件となるとの考えを示しています。

#関税 #赤沢大臣 #ベッセント #協議 #交渉

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/nmQDB-qx77E/hqdefault.jpg,25,12098,78,69,PT37S,false,テレ東Biz
794XUwrNV4Y,2025-07-08T16:01:06Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,経常黒字5月として過去最大　16.5％増の3兆4364億円【WBS】,"財務省が発表した5月の国際収支の速報によりますと、海外とのモノやサービス、投資の取引状況を示す経常収支の黒字額は1年前と比べて16.5％増加し3兆4364億円でした。4カ月連続の黒字です。原油や石炭などの価格下落に伴い輸入額が7.5％減少し貿易収支の赤字幅が縮小したことが寄与しました。

#国際収支 #貿易 #黒字 #赤字

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/794XUwrNV4Y/hqdefault.jpg,25,10941,84,44,PT33S,false,テレ東Biz
HiGWTK6kac8,2025-07-08T16:00:56Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,安倍元総理銃撃事件から3年　石破総理 慰霊碑に献花【WBS】,"献花台には多くの人が訪れ、花を手向けました。安倍元総理大臣が、奈良市で銃撃されて死亡した事件から3年となった8日、銃撃事件の現場となった奈良市の大和西大寺駅前には多くの人が訪れました。また、石破総理大臣はきょう午後、奈良市の霊園を訪れ、安倍元総理の慰霊碑に手を合わせました。殺人などの罪に問われている山上徹也被告の裁判員裁判は10月28日から始まり、母親が多額の献金をした旧統一教会の影響などを中心に審理される見通しです。

#安倍元総理 #銃撃事件 #石破総理 #大和西大寺

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/HiGWTK6kac8/hqdefault.jpg,25,10658,90,90,PT46S,false,テレ東Biz
TIwCLvPk7Lg,2025-07-09T11:00:53Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,年間100万台を超える自動車の鍵は理論上、100億通りの製造が可能。鍵の総合メーカー　アルファ【知られざるガリバー】,"▼「テレ東BIZ」会員登録はこちら（8月8日まで初回登録14日間無料！）▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=gulliver_250705_yt_TIwCLvPk7Lg

▼番組のフル視聴（23分）はこちらから▼
https://txbiz.tv-tokyo.co.jp/gulliver/vod/post_320997?utm_source=youtube&utm_medium=video&utm_campaign=gulliver_250705_yt_TIwCLvPk7Lg

今回のガリバーは、総合ロックメーカー「アルファ」。

年商735億円、従業員数は約4000人。国内に3カ所、海外の8カ国に拠点を設けています。　

創業当初から受け継がれてきた言葉は「運の前髪をつかめ」。
1933年日本で初めて『自動車の鍵』の製造を開始。戦後の混乱期には、どこにでも手軽に鍵をかけられる『南京錠』を製造。高度成長期には、移動する人のための必需品『コインロッカー』など、世界初・日本初の製品を数々製造してきました。
現在では「自動車の鍵」「玄関ドアなどの住宅設備」「コインロッカー」の3事業を手掛けており、3つの事業が優れた点を互いに取り合い鍵の技術を発展させてきました。

アルファのもう一つの強みが、設計から製造まで社内で一貫体制を敷いていて、開発と製造が綿密にコミュニケーションをとり、迅速に対応できること。
自動車の鍵の製造工場では、100億通りの鍵山の形を生み出せる鍵の製造方法を取材。
また、今ではお馴染みとなった自動車のリモコンキーのシステムや、そのシステムを応用した玄関の鍵「スマートキー」なども。
さらに暗証番号で鍵を開ける住宅用のシステム「デジタルロック」に起こった想定外の事態とは？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　

創業から100年という歴史の中で鍵の技術を進化させてきたアルファ。その秘密に迫ります。

ナレーター　渡辺真理
リポーター　田丸萌夕希

#鍵 #コインロッカー #スマートキー #デジタルロック #暗証番号 #アルファ #渡辺真理 #知られざるガリバー #テレビ東京 #テレ東BIZ",[],https://i.ytimg.com/vi/TIwCLvPk7Lg/hqdefault.jpg,25,8365,49,1,PT8M12S,false,テレ東Biz
jOzswhzoCmw,2025-07-09T03:50:53Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,トランプ大統領　プーチン大統領の発言を「でたらめ」と批判,"アメリカのトランプ大統領はロシアのプーチン大統領のウクライナ侵攻をめぐる発言について、「でたらめ」だと批判しました。トランプ大統領は8日ホワイトハウスで、プーチン大統領がウクライナ侵攻で「あまりに多くの人を殺している」と非難し、侵攻を巡る言動に対して「でたらめだ」と批判しました。また、一時停止をしていたウクライナへの兵器供給を、防衛支援のために承認したと明らかにし、さらに、ロシアに対しての追加制裁を検討する考えも示しました。これまでトランプ政権はロシアに追加制裁を科せば、停戦の仲介が難しくなるとして慎重な姿勢でしたが、「選択肢にある」と明言しました。

#アメリカ　#トランプ大統領　#ロシア　#プーチン大統領　#ウクライナ侵攻　#でたらめ　#兵器供給　#追加制裁　#批判

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/jOzswhzoCmw/hqdefault.jpg,25,16047,153,117,PT48S,false,テレ東Biz
