id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
EaQZP_GoYGM,2025-07-17T12:38:15Z,UC9ykbjiUeYAgiuC9uiCmGJg,再生の道,再生の道,,[],https://i.ytimg.com/vi/EaQZP_GoYGM/hqdefault.jpg,25,3677049,7051,622,PT34S,false,
bYMS0xcSErY,2025-07-16T16:28:06Z,UCzgD13zxZyY-C5dVVOfsWww,日本の政治・経済を斬る,【参院選徹底解説】参政党大躍進？NHK党もあり？#井川意高#大王製紙#石破茂#岸田文雄#安倍総理#立憲民主党#中国#ハニトラ#橋下徹#吉野敏明#安倍晋三#3.11#トランプ#立花孝志#佐藤尊徳#参政党,"#井川意高#佐藤尊徳#政経電論

ご視聴ありがとうございます。
チャンネル登録・高評価よろしくお願いします！

使用楽曲はこちら↓
escort
https://youtu.be/J47fp8dcMZU　

政経電論TV↓
https://www.youtube.com/user/takaponjp

合わせて、本家政経電論TVチャンネルも登録宜しくお願いします
※当チャンネルは政経電論TVさんの公認の元運営されております。
▼政経電論TV（佐藤尊徳さん）/　毎週土曜日19時に投稿  
【Youtube】        / @seikeidenrontv　  
【HP】　       https://seikeidenron.jp/
【ニコニコ】https://ch.nicovideo.jp/seikeidenron
【X】　            / sonsonsugar  

▼井川意高さん
【Youtube】　   / @ikawa-tokeru  .
【メルマガ】  https://lounge.dmm.com/detail/5278/in...
【X】　　　　  / ikawamototaka  

ホリエモン,堀江貴文,horie,ライブドア,いってらっしゃい,ひろゆき,2ちゃんねる,2ch,にちゃん,にちゃんねる,ヒカル,宮迫,牛宮城,焼肉,中田敦彦,メンタリストdaigo,与沢翼,コレコレ,ひかる,宮迫ですッ,ぎゅうぐうじょう,ひろゆききりぬき,中田,青汁王子,三崎優太,成田祐輔 ,daigo,岡田斗司夫 切り抜き,朝倉未来,ひろゆき 切り抜き,,中田敦彦のyoutube大学,成田悠輔,ひろゆき切り抜き集,加藤純一,切り取り,岡田斗司夫,詐欺師,金持ち,ホロライブ,ひろゆききりとり,日経テレ東大学,hiroyuki,kirinuki,宮迫博之,まとめ,shorts,tiktok,ショート動画
政経電論tv,ギャンブル,ギャンブル中毒,ギャンブル依存,大王製紙,政経電論,刑務所,106億,安部晋三,安倍元首相,自民党,保守派,総裁選,菅義偉,麻生太郎,石破茂,河野太郎,高市早苗,加藤勝信,小泉進次郎,茂木敏充,金美齢,櫻井よしこ,WILL

切り抜き元動画はこちら↓
https://www.youtube.com/watch?v=HMQJnk9JUw0

関連動画はこちら↓

当チャンネルのおすすめの動画↓",[],https://i.ytimg.com/vi/bYMS0xcSErY/hqdefault.jpg,24,1935201,26633,594,PT1M15S,false,
7DwAnHopX34,2025-07-17T02:23:07Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,宮城県知事が反発「誤った情報」と抗議　参政党代表の「水道を外資に売却」発言に【知ってもっと】【グッド！モーニング】(2025年7月17日),"　宮城県知事が憤っています。県が進めた水道事業に対して、参政党の神谷宗幣代表が「外資に売り渡した」と演説したことについて、「誤った情報」だとして抗議文を提出したと発表しました。

■「本当に失礼な人」宮城県知事が憤り

「非常に憤っています。選挙中だから何を言ってもいい。しかも、宮城県の大切な命の水を海外の企業に売り渡すなんてことはあるわけがない。よくそういうことを堂々と人前で言えたものだなと。本当に私は失礼な人だなと思っているところです」

　宮城県の村井嘉浩知事が語気を強めて反発したのは、4日前（13日）に参政党の神谷代表が街頭演説で語ったこの発言です。

「国がやらないから、宮城県みたいに民営化しちゃうんですよ。おかしい、宮城県は。水道はめちゃくちゃ大事なわけですよ。なんでそれを外資に売るんですか、外資に任せるんですか。頭おかしいんですかって話ですよ」

　宮城県が水道事業を「外資に売った」などと批判。これに対し、宮城県は15日に「誤った情報を発信している」として、謝罪と訂正を求める抗議文を神谷代表側に提出しました。

■「間違っていたら謝罪する」参政党代表

「嘘を堂々とつくようなことを選挙の時にするべきではない。真実をしっかり勉強して、事実を知ったうえで発言をなさらなければならない」

　宮城県は2022年から施設の所有権を持ったまま、運営権を与える方式で浄水場などの運営と管理を民間企業に委ねています。

　事業を運営するのは10社の共同出資によって設立された特別目的会社「みずむすびマネジメントみやぎ」で、最大株主は国内企業「メタウォーター」。議決権株式を51％保有しています。外資系企業が保有する議決権株式は18％です。

　「外資に売った」と主張する神谷代表の発言に、村井知事はこう説明しました。

「管理を委託してる会社は、51％議決権をもっている会社は、純粋な日本の会社です。外資系の企業ではございません」

　施設の所有権は宮城県が持っていることや水道料金の改定は県議会の議決によって決定することなどから、水道事業の最終責任は県が負っていて、「完全な民営化とは異なる」と反論しています。

「宮城県は、水道事業を日本の企業であれ、海外の企業であれ、売り渡した事実は全くございません」

　宮城県は抗議文で、参院選の投票前日19日までの対応を参政党に求めています。宮城県の抗議文について、神谷代表はこう話しました。

「まだ見てないんですよ、来たのは聞きました。一回調べて、ちゃんと正式に回答したいと思います。私の記憶が間違っている場合もたまにあるので、そういった事実関係調べて、もし間違ってたら謝罪しますし」

（「グッド！モーニング」2025年7月17日放送分より）
[テレ朝NEWS] https://news.tv-asahi.co.jp","['ニュース', 'テレビ朝日', 'provided', 'ニュース企画', '本編のみ', 'GM7', '宮城']",https://i.ytimg.com/vi/7DwAnHopX34/hqdefault.jpg,25,736511,8202,8232,PT3M55S,false,
T-bCb28ebgU,2025-07-17T00:11:04Z,UCuSPai4fj2nvwcCeyfq2sIA,真相深入り! 虎ノ門ニュース,【虎ノ門ニュース】参院選の選挙対策とウワサされる自民党のあの政策について緊急インタビューしたら・・・（須田慎一郎×有村治子）,"「真相深入り！虎ノ門ニュース」は
地上波では報じられない世の中の真相を皆様にお届けする番組です。 

現在は毎週火曜・金曜の週２配信となっていますが、ゆくゆくはより多くの情報を皆様にお届けできるよう配信日を増やしていきたいと思っています。

配信回数を増やせるようにメンバーシップ限定配信もやっていますので、よろしくお願いいたします！


＜出演＞
有村治子（自民党 参院選 比例代表候補）
須田慎一郎（経済ジャーナリスト）

収録日：2025年7月17日


---------------------------------------------------------------------------------------------------------
★メンバーシップ会員 大募集中！★
金額：①590円/月
　　　②990円/月
特典：・メンバー限定のライブ配信
　　　　　プラン①：金曜日
　　　　　プラン②：火曜日・金曜日
　　　・メンバー限定のアンケート
下記チャンネルページより加入できますので、
応援のほど、よろしくお願いいたします！
 @toranomonnews  

注）iPhoneやiPadなどのiOS版からは
　　メンバー登録が行えない、また手数料が別途発生し
　　価格が通常より高くなる可能性がございます。
　　
　　その場合はPCからYouTubeの「真相深入り! 虎ノ門ニュース チャンネル」に
　　アクセスし「メンバーになる」ボタンをクリックしてください。
　　その後、画面の指示に沿ってお支払い情報を入力し完了となります。
---------------------------------------------------------------------------------------------------------

★ホームページ
https://tora8.co.jp","['虎ノ門', 'ニュース', '須田慎一郎', '参院選', '自民党', '有村治子']",https://i.ytimg.com/vi/T-bCb28ebgU/hqdefault.jpg,25,363241,10645,2820,PT41M33S,false,
cZA5SlA-xzI,2025-07-16T23:00:44Z,UCLJwt5ZIzdKzR1JYagcZ8EA,上泉雄一のええなぁ!【公式】,須田慎一郎「参議院選挙終盤情勢！保守王国・鹿児島に異変アリ！」「投票日まで残り４日！参議院選挙後の政局はどうなる！？」「日産、国内にある２つの工場での生産終了を発表！その背景は？」７月１７日,"MBSラジオ朝の情報番組。
MBSアナウンサー上泉雄一が、
月：高橋洋一　火：週替り専門家　水：石田英司　木：須田慎一郎　金：石田英司
と曜日ごとの専門家とニュースを深堀りして紹介します。
また日替わりアナウンサーは
月：西村麻子　火：河西美帆　水：山崎香佳　木：海渡未来　金：松川浩子が登場。
お便りは uwa@mbs1179.com　まで
#須田慎一郎 #参院選 #選挙 #参議院選挙","['ニュース', '高橋洋一', '須田慎一郎', '上泉雄一', '石田英司']",https://i.ytimg.com/vi/cZA5SlA-xzI/hqdefault.jpg,25,286936,4260,583,PT37M41S,false,
YVFNFOwYmXk,2025-07-16T21:00:29Z,UCzgD13zxZyY-C5dVVOfsWww,日本の政治・経済を斬る,【参院選徹底解説】暴走するマスゴミvs覚醒した国民#井川意高#大王製紙#石破茂#岸田文雄#安倍総理#立憲民主党#中国#ハニトラ#橋下徹#吉野敏明#3.11#トランプ#立花孝志#佐藤尊徳#参政党,"#井川意高#佐藤尊徳#政経電論

ご視聴ありがとうございます。
チャンネル登録・高評価よろしくお願いします！

使用楽曲はこちら↓
escort
https://youtu.be/J47fp8dcMZU　

政経電論TV↓
https://www.youtube.com/user/takaponjp

合わせて、本家政経電論TVチャンネルも登録宜しくお願いします
※当チャンネルは政経電論TVさんの公認の元運営されております。
▼政経電論TV（佐藤尊徳さん）/　毎週土曜日19時に投稿  
【Youtube】        / @seikeidenrontv　  
【HP】　       https://seikeidenron.jp/
【ニコニコ】https://ch.nicovideo.jp/seikeidenron
【X】　            / sonsonsugar  

▼井川意高さん
【Youtube】　   / @ikawa-tokeru  .
【メルマガ】  https://lounge.dmm.com/detail/5278/in...
【X】　　　　  / ikawamototaka  

ホリエモン,堀江貴文,horie,ライブドア,いってらっしゃい,ひろゆき,2ちゃんねる,2ch,にちゃん,にちゃんねる,ヒカル,宮迫,牛宮城,焼肉,中田敦彦,メンタリストdaigo,与沢翼,コレコレ,ひかる,宮迫ですッ,ぎゅうぐうじょう,ひろゆききりぬき,中田,青汁王子,三崎優太,成田祐輔 ,daigo,岡田斗司夫 切り抜き,朝倉未来,ひろゆき 切り抜き,,中田敦彦のyoutube大学,成田悠輔,ひろゆき切り抜き集,加藤純一,切り取り,岡田斗司夫,詐欺師,金持ち,ホロライブ,ひろゆききりとり,日経テレ東大学,hiroyuki,kirinuki,宮迫博之,まとめ,shorts,tiktok,ショート動画
政経電論tv,ギャンブル,ギャンブル中毒,ギャンブル依存,大王製紙,政経電論,刑務所,106億,安部晋三,安倍元首相,自民党,保守派,総裁選,菅義偉,麻生太郎,石破茂,河野太郎,高市早苗,加藤勝信,小泉進次郎,茂木敏充,金美齢,櫻井よしこ,WILL

切り抜き元動画はこちら↓
https://www.youtube.com/watch?v=HMQJnk9JUw0

関連動画はこちら↓

当チャンネルのおすすめの動画↓",[],https://i.ytimg.com/vi/YVFNFOwYmXk/hqdefault.jpg,24,609262,16432,520,PT1M,false,
ozyYoS73AsI,2025-07-17T09:01:16Z,UCECfnRv8lSbn90zCAJWC7cg,髙橋洋一チャンネル,1319回　ロシアが選挙に介入！「スプートニク」に出演する困った人たち,"動画講座はこちらから
https://www.dogaedit.com/
----------------------------------------------------------------------------------------------------------------------
オンラインサロン
超実践！髙橋洋一の政経塾
２次募集開始！お申し込みはこちらから！
https://lounge.dmm.com/detail/8458/
----------------------------------------------------------------------------------------------------------------------
動画制作スタッフ募集中【フルリモート】
応募は以下より
https://en-gage.net/smite_career/work_13475445/?via_recruit_page=1&banner=1
----------------------------------------------------------------------------------------------------------------------
新刊『明解！金融講義 世界インフレ時代のお金の常識・非常識』
発売中　定価：1980円（税込）発行所：ソシム株式会社
www.amazon.co.jp/dp/4802614942

髙橋洋一交遊録はメンバーシップで配信中！
入会は以下よりお願いします。
https://www.youtube.com/channel/UCECfnRv8lSbn90zCAJWC7cg/join

サブチャンネル　映画の話チャンネル
https://www.youtube.com/channel/UC96k9Yf5CFVlIY1i_JaEsGw?guided_help_flow=3

ニコニコ
ーーーーーーーーーーーーーーーーーーー
▼髙橋洋一ライブチャンネル
https://ch.nicovideo.jp/takahashiyoichi

▼チャンネルの入会はこちら！
https://ch.nicovideo.jp/takahashiyoichi/blomaga/ar2032690

※この動画の無断転載を禁じます。
【切り抜き禁止】切り抜きは一切許諾しておりませんのでよろしくお願いします。
------------------------------------------------------------------------------------------------
製作・運営：(株)ジェットストリーミング
https://www.jetstreaming.jp/

#高橋洋一　#髙橋洋一チャンネル　#スプートニク　#ロシア　#中国　#プロパガンダ　#参政党　#立憲",[],https://i.ytimg.com/vi/ozyYoS73AsI/hqdefault.jpg,25,416652,16251,1433,PT10M55S,false,
RTKdYJEyFLY,2025-07-16T22:10:41Z,UCHZ8x1slRhaszSrydy9En_Q,JAPANの事実,㊗️41万再生！石破、公約は守ったことはない！ #政治 #shorts #参院選2025,"ご視聴いただきありがとうございます！
動画のご感想やご意見がありましたら、ぜひコメント欄で教えてください。

なお、本動画の著作権はJAPANの事実に帰属しますので、許可なくアップロードするのはお控えください。

使用音声
VOICEVOX:青山龍星
VOICEVOX:四国めたん
VOICEVOX:春日部つむぎ
VOICEVOX:玄野武宏
VOICEVOX:麒ヶ島宗麟
VOICEVOX:剣崎雄雌
VOICEVOX:白上虎太郎
VOICEVOX:雀松朱司
VOICEVOX:あいえるたん
VOICEVOX:もち子さん
VOICEVOX:春歌ナナ
VOICEVOX:雀松朱司
VOICEVOX:聖騎士紅桜
VOICEVOX:黒沢冴白
VOICEVOX:離途
VOICEVOX:中部つるぎ

#政治 
#参院選 
#参院選2025 
#石破政権 
#石破茂 
#石破総理 
#石破内閣 
#自民党 
#岩屋外務大臣 
#shorts 
#日本 
#JAPANの事実",[],https://i.ytimg.com/vi/RTKdYJEyFLY/hqdefault.jpg,25,426290,10961,1048,PT58S,false,
FXOb1Px5fsQ,2025-07-17T08:40:19Z,UCBKn5J5o01uBYzwuC7HnUbQ,撮って出しニュース,【参院選CHECK】自民公明が内ゲバ状態！参政党躍進で公明党が大ピンチの愛知選挙区を須田解説！,"ニュース解説を出来るだけ早く発信するチャンネル「撮って出しニュース」
解説者：須田慎一郎

#参院選 #愛知選挙区 #自民党 #公明党 #参政党 
#国民民主党 #立憲民主党 #自民惨敗 #自民大敗 
#酒井庸行 #安江伸夫 #杉本純子#水野孝一 
#参院選2025 #須田慎一郎

「撮って出しニュース」公式Xアカウント
https://x.com/soocnews","['撮って出しニュース', '須田慎一郎', 'soocnews', 'ニュース', '最新', '時事', '政治', '経済', '政府', '話題', 'マスコミ', 'テレビ', 'メディア', '新聞', '保守', '自民党', '立憲民主党', '国民民主党', '日本', 'アメリカ', 'トランプ大統領', '参議院選挙', '財務省', '虎ノ門ニュース', 'ニューソク']",https://i.ytimg.com/vi/FXOb1Px5fsQ/hqdefault.jpg,25,352929,11449,864,PT9M9S,false,
5OJj1OTFzpA,2025-07-17T06:02:31Z,UCjrN-o1HlLk22qcauIKDtlQ,参政党,街頭演説  in  大阪  なんば広場　令和7年7月17日（木）14：00頃　【参議院選挙2025 参政党 Live】,"／
日本の未来を変えるため、参政党は全ての都道府県に
参院選の候補者を立てています。
＼
参院選特設サイト👉　https://sanseito.jp/sanin_election_27/

💫期日前投票始まってます！！
 投票日は7/20

参議院選挙は「2枚の投票用紙」で投票します！
❶ まずは投票所に行きましょう
❷ 投票所で投票用紙が【2枚】渡されます！

✅1枚目は「選挙区」→ 
地元の候補者の名前を書きます
（参政党は47都道府県すべてに候補者がいますので
必ず書いていただけます！）

✅2枚目は「比例代表」→
 「参政党」と書くor応援したい「比例候補者」
の名前を書きます！

✍️名前は 漢字でもひらがなでもOK！

聞いたことのない難しい用語や仕組みで
ややこしい！と思われる方のために
神谷代表からの解説動画もよければご覧ください！
https://youtube.com/shorts/PNAhMNRELWc?feature=share

#日本人ファースト
#日本人ファースト参政党
#参政党旋風
#参院選

🎌🌸🗻━━…‥・
　壊れゆく日本を守るため、
　日本人ファーストの政治家を
　1人でも多く国会に送り込みたい！
　　　　　　　　・‥…━━🗻🌸🎌
👇️参議院選挙クラウドファンディング👇️
https://congrant.com/project/sanseito/17367

ーーーーーーーーーーーーーーーーーーーーーーーーー
参政党　～国政政党～
【参政党に参加する↓】
https://www.sanseito.jp/participation/

◎参政党　公募ページはコチラ↓
https://www.sanseito.jp/recruitment/

◎参政党イベント情報ページ
https://www.sanseito.jp/eventc/

◎参政党を応援！献金ページ
https://www.sanseito.jp/donation/

◎入党方法や様々な情報はコチラから
https://www.sanseito.jp/

▼公式Twitter（@sansei411）
https://twitter.com/sansei411
▼公式Instagram（@sanseito）
https://www.instagram.com/sanseito
▼公式Facebook
https://www.facebook.com/sanseito2020
▼公式LINE
https://line.me/R/ti/p/@sanseito
▼公式TikTok
https://www.tiktok.com/@sanseito

このプロジェクトを始めるまでの経緯や思いをブログと音声にしました！

◎神谷宗幣ブログ
https://www.kamiyasohei.jp/blog/

◎音声（デイリー神谷特別編）
https://ishikikaikaku.jp/PartyDIY01.mp3 

〈リンクはコチラ〉
CGS-チャンネルグランドストラテジー-
https://www.youtube.com/user/ChGrandStrategy

#神谷宗幣
#赤坂ニュース 
#参政党","['記者会見', '参政党', '神谷宗幣', '政党', '政治', '教育', '国会', '衆議院', '参議院', '選挙', 'ニュース', 'news', 'さんせいとう', 'sanseito', '歴史']",https://i.ytimg.com/vi/5OJj1OTFzpA/hqdefault.jpg,25,214989,16077,920,PT1H11M38S,false,
