id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count
BxOt0kuIJxs,2025-07-04T00:38:32Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,止まるか「記録的ドル安」　下期為替展望【日経モープラFT】,"2025年7月4日放送のＢＳテレ東「日経モーニングプラスＦＴ」より、特集の一部をYouTubeで配信します。
▼フルバージョンは「テレ東BIZ」で配信中▼
https://txbiz.tv-tokyo.co.jp/plusft/clips?utm_source=youtube&utm_medium=video&utm_campaign=plusft_yt

▼「テレ東BIZ」会員登録はこちら▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=plusft_yt

今年上半期の為替相場ではドルの記録的な下落が目立ちました。トランプ関税や日米の金融政策で下半期の為替はどのように動くのでしょうか。2人の為替ストラテジストを迎えて徹底分析します。

【出演者】
山田幸美（キャスター）
豊嶋広（ＢＳテレ東解説委員）
須貝茉彩（キャスター）
桜庭薫（FTキャスター）
尾河眞樹（ソニーフィナンシャルグループ）
棚瀬順哉（JPモルガン・チェース銀行）

#記録的ドル安　#下期為替　#ドル実効指数　#ドル円相場　#トランプラリー　#関税政策　#減税法案　#FOMC　#FRB　#パウエル　#日銀　#植田総裁　#追加利上げ　#参院選2025 

ＢＳテレ東「日経モーニングプラスＦＴ」番組HP
https://www.bs-tvtokyo.co.jp/mplusft/",[],https://i.ytimg.com/vi/BxOt0kuIJxs/hqdefault.jpg,25,17071,101,23,PT5M21S,false,テレ東Biz,参院;参院選,2
zVLVueiFfmA,2025-07-04T03:54:24Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,トランプ米大統領　4日から各国に書簡で関税率を通知へ　期限延長でなく一方的通知で圧力,"アメリカのトランプ大統領は3日、各国に適用する関税率を書簡で通知し、4日から順次送付する考えを示しました。
トランプ大統領「あす（4日）から1日10カ国ほどに書簡を送るだろう。アメリカと取引するためにいくら支払うかを示す」
トランプ大統領は、170を超える貿易相手との交渉は「良い取引もできるが、はるかに複雑だ」と指摘し、書簡で関税率を通知する方が簡単で良いと主張しました。ただ、対象となる国には言及せず、日本に書簡が送付されるかはわかっていません。相互関税の上乗せ分の停止期限が9日に迫る中、期限の延長ではなく関税率の一方的な通知で圧力をかける狙いです。一方、ベッセント財務長官は3日、CNBCテレビで、日本との関税交渉について「日本は20日に参議院選挙を控え、それが交渉を進める上で国内的な制約になっている」との見方を示しました。その上で「日本との交渉がどうなるか様子を見る」と述べました。

#トランプ　#相互関税　#関税　#関税率　#書簡　#上乗せ　#ベッセント　#CNBC　#参院選　#停止期限　#日米交渉

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/zVLVueiFfmA/hqdefault.jpg,25,45756,186,157,PT1M16S,false,テレ東Biz,参議院選挙;参院;参院選,3
kuV3sPXK9u4,2025-07-04T06:00:46Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,相場格言の“選挙は買い”って本当？（長江のマーケット解説）【ギモン３８】,"「参院選“100のギモン”」テレ東BIZならCM無しでイッキ見！
https://txbiz.tv-tokyo.co.jp/specials?id=259&utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

【緊急企画】イスラエルとイランは今後どうなる？池上彰×佐藤優 軍事衝突について語りつくす
https://www.youtube.com/watch?v=oJy4G_TXIUw

「テレ東BIZ」会員登録はこちら（8月8日まで初回登録14日間無料！）
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

相場格言のギモン“選挙は買い”を大検証！
この夏のマーケットの行方は・・・？
政治や経済に関する「いま知りたい100のギモン」をサクッと解説します！

解説者：窪田朋一郎（松井証券）
　　　　長江優子（テレビ東京 マーケット担当）

#選挙は買い　#マーケット　#相場格言　#株価　#松井証券　#長江優子　#いま知りたい100のギモン",[],https://i.ytimg.com/vi/kuV3sPXK9u4/hqdefault.jpg,25,2760,41,4,PT5M44S,false,テレ東Biz,参院;参院選;東京,3
H_8p3ME3KlM,2025-07-04T10:01:55Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,【直撃】共産党やれいわ新選組が与党と連携は？（横堀官邸キャップ解説）【ギモン４１】,"「参院選“100のギモン”」テレ東BIZならCM無しでイッキ見！
https://txbiz.tv-tokyo.co.jp/specials?id=259&utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

【緊急企画】イスラエルとイランは今後どうなる？池上彰×佐藤優 軍事衝突について語りつくす
https://www.youtube.com/watch?v=oJy4G_TXIUw

「テレ東BIZ」会員登録はこちら（8月8日まで初回登録14日間無料！）
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

「共産党やれいわ新選組が、与党と連携することはあるの？」

というギモンを紫式部さんからいただきました。

選挙や政治に関する「いま知りたい100のギモン」。
テレビ東京官邸キャップの横堀拓也記者が
共産党・田村委員長とれいわ新選組・山本代表に直撃しました。

解説者：横堀拓也（テレビ東京官邸キャップ）

#参院選　#選挙　#投開票　#共産党　#田村委員長　#れいわ新選組　#山本代表　#記者解説　#横堀拓也　#官邸キャップ　#いま知りたい100のギモン　#100解説",[],https://i.ytimg.com/vi/H_8p3ME3KlM/hqdefault.jpg,25,1294,20,6,PT4M26S,false,テレ東Biz,参院;参院選;山本;東京,4
FOqGuYoBH40,2025-07-04T06:00:24Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,選挙関連株ってどんな銘柄？（長江マーケット解説）【ギモン３９】,"「参院選“100のギモン”」テレ東BIZならCM無しでイッキ見！
https://txbiz.tv-tokyo.co.jp/specials?id=259&utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

【緊急企画】イスラエルとイランは今後どうなる？池上彰×佐藤優 軍事衝突について語りつくす
https://www.youtube.com/watch?v=oJy4G_TXIUw

「テレ東BIZ」会員登録はこちら（8月8日まで初回登録14日間無料！）
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

選挙シーズンに注目される銘柄とは？
政治や経済に関する「いま知りたい100のギモン」を解説します！

解説者：窪田朋一郎（松井証券）
　　　　長江優子（テレビ東京 マーケット担当）

#選挙銘柄　#マーケット　#株価　#松井証券　#長江優子　#いま知りたい100のギモン　#100ギモン",[],https://i.ytimg.com/vi/FOqGuYoBH40/hqdefault.jpg,25,1253,18,1,PT3M33S,false,テレ東Biz,参院;参院選;東京,3
L7yZl0v3Ov8,2025-07-04T01:01:08Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,7月4日（金）AIの人権侵害 国が実態調査、参議院選挙公示 522人立候補【ながら日経】,"日本経済新聞社の人気音声コンテンツ「ながら日経」「ヤング日経」をテレ東BIZで平日のみ配信中。
「ながら日経」は、朝の10分、ニュースをギュッと詰め込んでお届け！通勤・通学しながら、家事をしながら…あなたの「ながら時間」に経済を中心とした最新情報をお伝えします。
「ヤング日経」は、明るい未来を目指し、時代の変化を先取りするニュースをお届けします。ヤングにしか見えない未来がある！

■金曜パーソナリティ：渡辺 あやか
元声優。現在はPR会社の経営に参画しながら、司会者・MCとしても活動

#人権侵害 #無断生成 #参議院選 #ボーナス #ディスコ #東京メトロ #JR東日本 #30年物国債 #サトウのごはん #米価高騰",[],https://i.ytimg.com/vi/L7yZl0v3Ov8/hqdefault.jpg,25,881,5,0,PT8M56S,false,テレ東Biz,参議院選挙;東京,2
5ISGDnrJKu4,2025-07-04T04:30:07Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,選挙のために引っ越す人がいるの？ 【選挙のギモン３７】#shorts #いま知りたい１００のギモン #参院選 #政治 #選挙 #参議院選挙,"わざわざ引っ越す人は、一体どんな人？

選挙や政治に関する「いま知りたい100のギモン」。
福井敬記者がサクッと解説します！

解説者：福井敬（政治部記者）",[],https://i.ytimg.com/vi/5ISGDnrJKu4/hqdefault.jpg,25,5295,65,0,PT1M18S,false,テレ東Biz,参議院選挙;参院;参院選,3
8OUMvgbq6ac,2025-07-04T12:00:13Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,自分に合う政党は？（早稲田大学 山本鉄平教授）【ギモン４２】,"番組のフル視聴（12分）はこちらから▶https://txbiz.tv-tokyo.co.jp/original2/vod/post_320801?utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025_250704_yt_8OUMvgbq6ac
「参院選“100のギモン”」テレ東BIZならCM無しでイッキ見！
https://txbiz.tv-tokyo.co.jp/specials?id=259&utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025
【緊急企画】イスラエルとイランは今後どうなる？池上彰×佐藤優 軍事衝突について語りつくす
https://www.youtube.com/watch?v=oJy4G_TXIUw
「テレ東BIZ」会員登録はこちら（8月8日まで初回登録14日間無料！）
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025
政策に関する質問に答えると、自分と相性のいい政党を診断してくれる「ボートマッチ」というサービス。
中でも早稲田大学の山本鉄平教授と日本経済新聞が連携し開発した新たなボートマッチサービスは、マーケティングで使われてきた分析手法を使い「自分が本当はどの政策を重視しているか」も知ることができるそうです。
解説者：早稲田大学 山本鉄平教授
　　　　豊島晋作(ＷＢＳキャスター)
▼動画内で紹介したボートマッチはこちらから。
https://vdata.nikkei.com/election/2025/vote-match/
#ボートマッチ　#マッチング　#政治　#投票　#参院選　#参議院選挙　#選挙　#いま知りたい１００のギモン　#山本鉄平　#早稲田大学　#豊島晋作　#マーケティング　#コンジョイント",[],https://i.ytimg.com/vi/8OUMvgbq6ac/hqdefault.jpg,25,768,14,5,PT3M39S,false,テレ東Biz,参議院選挙;参院;参院選;山本;投票,5
fI6DVAi85fw,2025-07-04T12:32:26Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【参院選ライブ】れいわ新選組  山本譲司／再生の道  吉田綾／無所属  山尾志桜里【投票誰にする会議～参院選2025東京選挙区～】,"7月20日に投開票日を迎える参議院選挙。東京選挙区から出馬する候補者をスタジオに招き、参院選の争点へのアプローチや戦略を聞くYouTube生ライブ番組です。 

 6月30日（月）よる8時～ 
【自民党】武見敬三 
【立憲民主党】奥村政佳 
【国民民主党】奥村祥大 

 7月1日（火）よる8時～ 
【自民党】鈴木大地 
【立憲民主党】塩村あやか 
【国民民主党】牛田まゆ

 7月2日（水）よる8時～ 
【日本維新の会】音喜多駿 
【公明党】川村雄大 
【共産党】吉良佳子 

  7月3日（木）よる8時～
【参政党】さや
【社民党】西美友加
【日本保守党】小坂英二

7月4日（金）よる8時～
【れいわ新選組】山本譲司
【再生の道】吉田綾
【無所属】山尾志桜里

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
◇メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

◇日本テレビ報道局のSNS
X　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja
Podcast　https://open.spotify.com/show/0qPKGdVKMgSRuc8fCgJyqm

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#参議院選挙 #投票誰にする会議 #2025参院選 #投票行動
#日テレ​​　#ニュース​​  #政治  #鈴江奈々 #井上幸昌","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/fI6DVAi85fw/hqdefault.jpg,25,53385,3218,260,PT1H25M14S,false,日テレNEWS,候補者;参議院選挙;参院;参院選;山本;投票;東京;自民,8
TSJoVSMGRZI,2025-07-03T20:15:17Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【夜ニュースライブ】最新ニュースと生活情報（7月3日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・天気急変…各地で“局地的大雨”　「1時間に100ミリ」の猛威とは
・鹿児島・十島村で震度6弱　島民ら全員の無事確認　政府は官邸対策室を設置
・猛暑…夏野菜の価格に明暗　農家から不安の声も
・参院選公示「最も訴えたい政策」は　各党の第一声を分析
・【解説】きょう公示　参院選のポイントは？　「政権選択」の意味合いも
・学校で教諭から子ども狙われる事件相次ぐ…埼玉では盗撮目的で教室侵入か　広島では“わいせつ”未遂の疑い
・ダライ・ラマ14世、後継者選びに輪廻転生の制度継続する意向　中国は政府承認必要とけん制
・“俳優の女性2人に性的暴行”榊英雄被告「監督としての立場を利用したことは全くない」
・バリ島近くで65人乗った船が沈没　4人死亡、38人が行方不明　インドネシア
・李大統領、日韓首脳が相互に往来するシャトル外交に意欲　就任後初の記者会見で
・花火保管の倉庫で爆発伴う火事　7人行方不明　米カリフォルニア州
・“闇バイト”質店強盗、初公判で強盗致傷認める　特殊詐欺は無罪を主張　千葉・習志野市
・中国の空母「山東」香港に派遣　市民対象に初の艦内一般公開へ　愛国心高める狙いか
・逮捕の教諭　児童の着替えの直前に教室にスマホ置いたか
・約10か月にわたり同じ女子高校生に電車内で痴漢か　男を逮捕


◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn　#事件　#事故","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/TSJoVSMGRZI/hqdefault.jpg,25,13422,46,1,PT5H48M51S,false,日テレNEWS,参院;参院選,2
