term,tf,df
参院,398,398
選挙,282,282
参議院選挙,249,249
youtube,174,174
政治,164,164
日本,152,152
動画,132,132
登録,124,124
月,121,121
参政党,119,119
にゅーす,117,117
お願い,115,115
投票,111,111
演説,108,108
twitter,107,107
候補,102,102
x,102,102
議員,101,101
参議院,94,94
配信,93,93
自民党,92,92
街頭,85,85
東京,82,82
国民民主党,81,81
情報,77,77
代表,76,76
比例,75,75
instagram,69,69
channel,68,68
shorts,65,65
ぷ,65,65
政策,64,64
co,64,64
応援,63,63
政党,62,62
最終,61,61
人,61,61
ちゃん,60,60
年,59,59
国会,58,58
news,58,58
facebook,56,56
党,55,55
いぶ,53,53
日,52,52
ろ,52,52
視聴,52,52
日本保守党,50,50
公明党,50,50
石破,49,49
ぐ,48,48
てれ,48,48
立憲民主党,48,48
経済,47,47
社会,47,47
情勢,46,46
す,45,45
神谷,45,45
れい,45,45
sns,45,45
live,44,44
放送,44,44
国民,44,44
宗,43,43
join,43,43
nhk,43,43
めんば,42,42
tv,42,42
解説,41,41
日本人,40,40
tiktok,40,40
声,40,40
全国,40,40
支持,40,40
未来,39,39
さい,39,39
び,39,39
維新,39,39
共産党,39,39
りす,38,38
幣,37,37
紹介,37,37
活動,37,37
引用,36,36
p,35,35
衆議院,35,35
減税,35,35
議席,35,35
投開票,35,35
評価,35,35
支援,35,35
ぁ,34,34
国政,34,34
しっぷ,34,34
各党,34,34
与党,34,34
b,34,34
d,33,33
新選,33,33
最新,33,33
