term,tf,df
参院,499,499
選挙,367,367
youtube,312,312
にゅーす,304,304
月,277,277
参議院選挙,246,246
日本,242,242
政治,233,233
動画,217,217
自民党,202,202
登録,194,194
x,194,194
co,190,190
news,189,189
参政党,188,188
お願い,184,184
投票,175,175
情報,174,174
twitter,173,173
配信,173,173
候補,169,169
政党,153,153
代表,151,151
てれ,142,142
channel,138,138
び,138,138
解説,134,134
国民民主党,131,131
最新,129,129
人,127,127
ぷ,125,125
議員,123,123
放送,122,122
東京,120,120
党,119,119
instagram,115,115
維新,115,115
政策,113,113
立憲民主党,110,110
石破,109,109
いぶ,109,109
年,109,109
sns,107,107
投開票,105,105
報道,103,103
facebook,103,103
議席,102,102
参議院,101,101
情勢,100,100
tiktok,99,99
れい,99,99
公明党,98,98
日,98,98
さい,96,96
調査,96,96
応援,92,92
経済,90,90
視聴,88,88
会,87,87
ch,86,86
めんば,85,85
演説,85,85
比例,84,84
自民,82,82
しっぷ,81,81
社会,80,80
live,80,80
tv,79,79
め,78,78
日本保守党,77,77
join,76,76
提供,76,76
国民,76,76
国会,74,74
注目,74,74
減税,73,73
円,72,72
新選,72,72
公示,71,71
税,71,71
ちゃん,71,71
be,70,70
b,70,70
消費,70,70
内容,69,69
共産党,69,69
神谷,68,68
各党,67,67
全国,67,67
shorts,66,66
番組,65,65
出演,64,64
りす,64,64
f,62,62
watch,61,61
おすすめ,61,61
a,61,61
立候補,61,61
政権,60,60
発信,60,60
