id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
b_1KHNPsuY0,2025-07-02T10:01:09Z,UCFo4kqllbcQ4nV83WCyraiw,中田敦彦のYouTube大学 - NAKATA UNIVERSITY,【参院選2025 完全解説&予想】減税か給付金か！少数与党の逆説と野党の勝機とは？,"【動画目次】
0:00　公示日7/3 投開票日7/20
1:29　半数改選制
3:16　石破目標
5:10　石破内閣「少数与党の逆説」
12:05　内閣不信任案▲
15:23　ガソリン暫定税率廃止法案
19:50　減税か、給付金か
28:35　都議選
30:04　野党の課題

【参院選2025 完全解説&予想】
https://youtu.be/b_1KHNPsuY0

【小泉進次郎さん対談】
https://youtu.be/Nc2l2y54KJk

【玉木雄一郎さん対談】
https://youtu.be/fnOginFeQ-4

【吉村洋文さん対談】
https://youtu.be/0GeBnbfRz2U

YouTubeメンバーシップはこちら
youtube.com/channel/UCFo4kqllbcQ4nV83WCyraiw/join

中田敦彦のトークチャンネルはこちら
https://www.youtube.com/@nakatatalks

中田敦彦公式サイトはこちら
https://www.nakataatsuhiko.com","['#中田敦彦', '#オリエンタルラジオ', '#オリラジ', '#RADIOFISH', '歴史', '世界史', '日本史', '授業', '勉強', '受験', '教育', '自己啓発', '講演', 'エクストリーム授業', '経済', 'ビジネス', '文学', '現代社会', '成功', '哲学', '教育系', 'PROGRESS', 'お金', 'XENO', '経営', 'YouTube大学', '偉人', '芸術', '日本', '東京', 'JAPAN', 'TOKYO', '心理', '人間関係', 'コミュニケーション', '成長', '政治', '時事', '社会', 'ニュース', '健康', 'テクノロジー', '漫画', 'アニメ', '医学', 'WinWinWiiin', '仕事', '投資', 'シンガポール', '藤森慎吾', 'オリラジ', '参院選', '参院選2025', '党首討論', '衆院選', '投票', '選挙', '消費税', '政権交代', '公約']",https://i.ytimg.com/vi/b_1KHNPsuY0/hqdefault.jpg,24,3684830,58208,5679,PT38M32S,true,自民党
NQ7iFWBOPkU,2025-07-13T11:44:04Z,UCNJG9cFS3hHZtp4JXtnpc5A,日本政治TIME,選挙における開票作業について　#参院選 #マリカ #舞踊家,"「舛添要一を都知事にしたくない女たちの会」舞踊家のマリカ氏が開票立会人として関わった過去の参議院選挙の開票作業について言及しています。

元動画は既に閲覧ができなくなっておりましたので
下記より引用させていただきました。
不正選挙に関して「舛添要一を都知事にしたくない女たちの会」
https://www.youtube.com/watch?v=hIDZk0YmZDI&t
元動画
https://video.ibm.com/recorded/43507543

当チャンネルの動画は報道、新聞、ネット記事、SNSなどの情報を
もとに制作しております。
著作権には十分配慮し、引用の範囲内で使用しておりますが、
問題がございましたら著作権者様よりご連絡ください。
速やかに非公開・削除等の対応をいたします。
ご連絡先：nihon.seiji.time@gmail.com",[],https://i.ytimg.com/vi/NQ7iFWBOPkU/hqdefault.jpg,22,5538082,155259,6291,PT59S,false,自民党
yocZ1W-0mTA,2025-07-15T18:00:36Z,UCzgD13zxZyY-C5dVVOfsWww,日本の政治・経済を斬る,【参院選徹底解説】どこの政党に入れるべき？#井川意高#大王製紙#石破茂#岸田文雄#安倍総理#立憲民主党#中国#ハニトラ#橋下徹#吉野敏明#安倍晋三#3.11#トランプ#立花孝志#佐藤尊徳#参政党,"#井川意高#佐藤尊徳#政経電論

ご視聴ありがとうございます。
チャンネル登録・高評価よろしくお願いします！

使用楽曲はこちら↓
escort
https://youtu.be/J47fp8dcMZU　

政経電論TV↓
https://www.youtube.com/user/takaponjp

合わせて、本家政経電論TVチャンネルも登録宜しくお願いします
※当チャンネルは政経電論TVさんの公認の元運営されております。
▼政経電論TV（佐藤尊徳さん）/　毎週土曜日19時に投稿  
【Youtube】        / @seikeidenrontv　  
【HP】　       https://seikeidenron.jp/
【ニコニコ】https://ch.nicovideo.jp/seikeidenron
【X】　            / sonsonsugar  

▼井川意高さん
【Youtube】　   / @ikawa-tokeru  .
【メルマガ】  https://lounge.dmm.com/detail/5278/in...
【X】　　　　  / ikawamototaka  

ホリエモン,堀江貴文,horie,ライブドア,いってらっしゃい,ひろゆき,2ちゃんねる,2ch,にちゃん,にちゃんねる,ヒカル,宮迫,牛宮城,焼肉,中田敦彦,メンタリストdaigo,与沢翼,コレコレ,ひかる,宮迫ですッ,ぎゅうぐうじょう,ひろゆききりぬき,中田,青汁王子,三崎優太,成田祐輔 ,daigo,岡田斗司夫 切り抜き,朝倉未来,ひろゆき 切り抜き,,中田敦彦のyoutube大学,成田悠輔,ひろゆき切り抜き集,加藤純一,切り取り,岡田斗司夫,詐欺師,金持ち,ホロライブ,ひろゆききりとり,日経テレ東大学,hiroyuki,kirinuki,宮迫博之,まとめ,shorts,tiktok,ショート動画
政経電論tv,ギャンブル,ギャンブル中毒,ギャンブル依存,大王製紙,政経電論,刑務所,106億,安部晋三,安倍元首相,自民党,保守派,総裁選,菅義偉,麻生太郎,石破茂,河野太郎,高市早苗,加藤勝信,小泉進次郎,茂木敏充,金美齢,櫻井よしこ,WILL

切り抜き元動画はこちら↓
https://www.youtube.com/watch?v=HMQJnk9JUw0

関連動画はこちら↓

当チャンネルのおすすめの動画↓",[],https://i.ytimg.com/vi/yocZ1W-0mTA/hqdefault.jpg,24,3134953,39678,980,PT1M,false,自民党
xL0kT7Eu0Dk,2025-07-12T08:01:08Z,UCQ_ddgMBj2DnUFDNcuGSMlA,それでも日本が好き,参院選 落ちてほしい人物5選,"#参院選 #塩村あやか #二階伸康 #大椿ゆうこ #蓮舫 #白眞勲

・当チャンネルでは、繰り返しのテンプレート的な内容は使用せず、すべての動画を手作業で制作しており、完全なオリジナルコンテンツとなっております。
・著作権の侵害を目的とした運営は一切行っておりません。
・著名人に対して敬意を持ちつつ、教育的・情報提供を目的として素材を活用しております。細心の注意を払っておりますが、万が一問題がある場合や削除のご希望がございましたら、権利者ご本人様よりご連絡いただけますと幸いです。

お問い合わせはこちらのメールアドレスまでお願いいたします。
tachitsute.doga@gmail.com

VOICEVOX:青山龍星
VOICEVOX:四国めたん
VOICEVOX:玄野武宏
VOICEVOX:剣崎雌雄",[],https://i.ytimg.com/vi/xL0kT7Eu0Dk/hqdefault.jpg,27,2476818,39552,1101,PT1M,false,自民党
aXhIDOoduYQ,2025-07-09T09:00:03Z,UCL9KXuGkAt5qCfUlMrJayMQ,石川典行チャンネル,名古屋で演説してみた！！ #横山緑 #参議院選挙,"石川典行公式チャンネル。生放送中に起こった名シーンの切り抜きを中心に動画アップしています。

チャンネル登録もよろしくお願いします！
だっしゃああああああああ！！

放送サイト　TwitCasting 

放送日　2025年07月07日 石川典行の名古屋で演説をするぞ！【参議院選挙】

【ツイキャス】★通常放送はこちらから
https://twitcasting.tv/icchy8591

【YouTubeサブチャンネル】
https://www.youtube.com/@石川典行サブチャンネル

【TikTok】
https://www.tiktok.com/@norirfzj9ke

【Instagram(リール用)】
https://www.instagram.com/noriradi4444/

【石川典行のノリユキラジオHP】
http://noriyukiradio.net/

【X】
https://twitter.com/ICCHY8591

【OPENREC.tv】
https://www.openrec.tv/user/noriradi

【バカチャンネル】
 https://www.youtube.com/@ishibakach

【ノリラジ会員限定配信を見れるニコニコチャンネル】
https://ch.nicovideo.jp/noriradi2/","['噛みつき', 'お騒がせ', 'ツイキャス', 'ニコニコ動画', 'ツイッター', '炎上', 'ノリユキラジオ', 'モノ申す', '石川典行', '配信者', 'ニコ生', '日トレ', '日刊トレンディングニュース', 'モイ！', '配信', '石川', 'noriradi', 'ドリーム石川', 'オプレク', 'OPENREC', 'のりドラ', 'ラジオ', '雑談', '炎上系', '渋谷', 'ノリミド', 'ノリラジ', 'なあぼう', 'コレコレ', 'ヒカル', '野田草履', '横山緑', '神回', 'トーク']",https://i.ytimg.com/vi/aXhIDOoduYQ/hqdefault.jpg,24,2866860,100656,3085,PT57S,false,自民党
fnOginFeQ-4,2025-07-15T10:03:51Z,UCFo4kqllbcQ4nV83WCyraiw,中田敦彦のYouTube大学 - NAKATA UNIVERSITY,【玉木雄一郎】参院選は磐石か？戦略の解剖、ライバルの整理、そして「新・三本の矢」の真意とは！？,"【動画目次】
0:00　ダイジェスト
0:42　OP
4:27　在野交渉型と代替自民党
10:07　vs立憲「対決より解決」
18:44　多数与党時の戦略
24:15　骨抜きの危険性
29:37　参院選の勝利ライン
34:07　玉木さんの財源論
37:58　vs維新「手取りを増やす」
44:19　1トップ発信力のリスク
48:26 「新・三本の矢」の真意
56:10　国民民主党の経済政策
1:03:00　自民党との向き合い
1:07:17　終わりに

【参院選2025 完全解説&予想】
https://youtu.be/b_1KHNPsuY0

【小泉進次郎さん対談】
https://youtu.be/Nc2l2y54KJk

【玉木雄一郎さん対談】
https://youtu.be/fnOginFeQ-4

【吉村洋文さん対談】
https://youtu.be/0GeBnbfRz2U

YouTubeメンバーシップはこちら
youtube.com/channel/UCFo4kqllbcQ4nV83WCyraiw/join

中田敦彦のトークチャンネルはこちら
https://www.youtube.com/@nakatatalks

中田敦彦公式サイトはこちら
https://www.nakataatsuhiko.com","['#中田敦彦', '#オリエンタルラジオ', '#オリラジ', '#RADIOFISH', '歴史', '世界史', '日本史', '授業', '勉強', '受験', '教育', '自己啓発', '講演', 'エクストリーム授業', '経済', 'ビジネス', '文学', '現代社会', '成功', '哲学', '教育系', 'PROGRESS', 'お金', 'XENO', '経営', 'YouTube大学', '偉人', '芸術', '日本', '東京', 'JAPAN', 'TOKYO', '心理', '人間関係', 'コミュニケーション', '成長', '政治', '時事', '社会', 'ニュース', '健康', 'テクノロジー', '漫画', 'アニメ', '医学', 'WinWinWiiin', '仕事', '投資', 'シンガポール', '藤森慎吾', 'オリラジ', '参院選2025', '参院選', '選挙', '国民民主党', 'アベノミクス', '安倍晋三', '安倍政権', '玉木雄一郎', '維新の会', '立憲民主党', '石破茂']",https://i.ytimg.com/vi/fnOginFeQ-4/hqdefault.jpg,24,1231054,25862,2669,PT1H9M57S,true,自民党
2gtBPwaN7ms,2025-07-14T07:25:17Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,兵庫でいま何が起きているの？【ギモン７０】,"「参院選“100のギモン”」テレ東BIZならCM無しでイッキ見！
https://txbiz.tv-tokyo.co.jp/specials?id=259&utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

【緊急企画】イスラエルとイランは今後どうなる？池上彰×佐藤優 軍事衝突について語りつくす
https://www.youtube.com/watch?v=oJy4G_TXIUw

「テレ東BIZ」会員登録はこちら（8月8日まで初回登録14日間無料！）
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

SNSを使って他候補者の“目撃情報”を収集!?支持者から寄せられた情報を元に他候補者を追い回す…異色の“SNS選挙”が展開されている兵庫県を現地取材！
一方、従来の“どぶ板”選挙で挑む候補も。県知事選の衝撃の残る兵庫県、参議院選挙はどうなる？

#参院選　#参議院選挙　#選挙　#政治　#SNS　#兵庫県　#いま知りたい100のギモン　#100解説",[],https://i.ytimg.com/vi/2gtBPwaN7ms/hqdefault.jpg,25,1246261,17821,2774,PT9M51S,false,自民党
wZ_BZjKNyfU,2025-07-09T02:08:38Z,UCuSPai4fj2nvwcCeyfq2sIA,真相深入り! 虎ノ門ニュース,【緊急速報】※参院選SP※ 自民党の石破総裁が大チョンボをした情報が須田慎一郎さんの元に届きました（虎ノ門ニュース）,"「真相深入り！虎ノ門ニュース」は
地上波では報じられない世の中の真相を皆様にお届けする番組です。 

現在は毎週火曜・金曜の週２配信となっていますが、ゆくゆくはより多くの情報を皆様にお届けできるよう配信日を増やしていきたいと思っています。

配信回数を増やせるようにメンバーシップ限定配信もやっていますので、よろしくお願いいたします！


＜出演＞
須田慎一郎（経済ジャーナリスト）

収録日：2025年7月8日



---------------------------------------------------------------------------------------------------------
★メンバーシップ会員 大募集中！★
金額：①590円/月
　　　②990円/月
特典：・メンバー限定のライブ配信
　　　　　プラン①：金曜日
　　　　　プラン②：火曜日・金曜日
　　　・メンバー限定のアンケート
下記チャンネルページより加入できますので、
応援のほど、よろしくお願いいたします！
 @toranomonnews  

注）iPhoneやiPadなどのiOS版からは
　　メンバー登録が行えない、また手数料が別途発生し
　　価格が通常より高くなる可能性がございます。
　　
　　その場合はPCからYouTubeの「真相深入り! 虎ノ門ニュース チャンネル」に
　　アクセスし「メンバーになる」ボタンをクリックしてください。
　　その後、画面の指示に沿ってお支払い情報を入力し完了となります。
---------------------------------------------------------------------------------------------------------

★ホームページ
https://tora8.co.jp","['虎ノ門', 'ニュース', '須田慎一郎', '参院選', '自民党', '石破']",https://i.ytimg.com/vi/wZ_BZjKNyfU/hqdefault.jpg,25,1220055,28074,3778,PT21M13S,false,自民党
_3F8vzQC9UA,2025-07-06T11:26:41Z,UC28hcmMG3TJv60Byo528VVg,ニコニコニュース,【参院選2025】ネット党首討論　主催：ニコニコ,"▼広告なし/コメント付き視聴はニコニコへ
https://live.nicovideo.jp/watch/lv348034260

第27回参議院議員選挙 （2025年7月3日公示、7月20日投開票）
「ネット党首討論」では、各党党首による討論をはじめ、
ユーザーから寄せられた質問に対し、直接お答えいただくなど、
インターネットを通じた情報発信を行います。

各党党首に対しての質問や討論テーマをユーザーの皆様から募集します。
応募はこちら➡ https://form.nicovideo.jp/forms/sansinsen2025

■登壇者一覧（予定）
石破茂　　　自由民主党 総裁
野田佳彦　　立憲民主党 代表
斉藤鉄夫　　公明党 代表
吉村洋文　　日本維新の会 代表
田村智子　　日本共産党 委員長
玉木雄一郎　国民民主党 代表
山本太郎　　れいわ新選組 代表
神谷宗幣　　参政党 代表
福島瑞穂　　社会民主党 党首
百田尚樹　　日本保守党 代表

司会：川邊健太郎　N高グループ 政治部顧問
進行：馬場典子　　フリーアナウンサー

◆インターネット選挙運動の解禁に関する情報（総務省）
　https://www.soumu.go.jp/senkyo/senkyo_s/naruhodo/naruhodo10.html
◆公職選挙法に基づく情報発信者に関する問い合わせ先
　netsenkyo@dwango.co.jp

■ニコニコニュース𝕏
https://twitter.com/nico_nico_news

■■■「ニコニコニュース」二次創作ガイドラインに関するお知らせ■■■
「ニコニコニュース」は、視聴者やファンの皆さまによる二次創作を応援しております。
そこで、皆さまが安心して二次創作を行っていただけるよう、このガイドラインを公開します。
「ニコニコニュース」で配信した映像は一部を除き個人で自由に使用いただいて結構です。
以下ガイドラインを参照のうえご利用ください。
https://www.youtube.com/post/Ugkx-yF_H8McykFzBM_bT1a_ibYUtxHrfqNR

#党首討論 #ネット党首討論 #参院選2025 #ニコニコニュース #報道 #選挙 #ライブ配信 #参院選 #参議院選挙 #参議院選挙2025 #参議院議員選挙 #参議院議員選挙2025 #石破茂 #自民党 #自由民主党 #野田佳彦 #立憲民主党 #吉村洋文 #日本維新の会 #斉藤鉄夫 #公明党 #田村智子 #共産党 #日本共産党 #玉木雄一郎 #国民民主党 #山本太郎 #れいわ新選組 #神谷宗幣 #参政党 #福島瑞穂 #福島みずほ #社民党 #社会民主党 #百田尚樹 #日本保守党 #川邊健太郎 #N高 #S高 #馬場典子","['ニコニコニュース', 'ライブ', '中継', 'ニコ生', 'ニコニコ', 'ニコ動', 'ライブ配信', 'ニュース', '報道', 'ニコニコ動画', 'ニコニコ生放送', 'ニコニコニュース生放送', '須藤元気', '参院選', '参院選2025', '参議院議員選挙', '参議院議員選挙2025', '選挙', '記者会見', '党首討論', 'ネット党首討論', '党首', '討論', '石破茂', '自民党', '自由民主党', '野田佳彦', '立憲民主党', '吉村洋文', '日本維新の会', '斉藤鉄夫', '公明党', '田村智子', '共産党', '日本共産党', '玉木雄一郎', '国民民主党', '山本太郎', 'れいわ新選組', '福島瑞穂', '福島みずほ', '社民党', '社会民主党', '神谷宗幣', '参政党', '百田尚樹', '日本保守党', '川邊健太郎', 'N高', 'S高', 'LINEヤフー', '参議院選挙', '参議院選挙2025', '馬場典子']",https://i.ytimg.com/vi/_3F8vzQC9UA/hqdefault.jpg,25,1160820,17594,5402,PT1H16M16S,false,自民党
qXckN6-9l3M,2025-07-15T00:03:51Z,UCuSPai4fj2nvwcCeyfq2sIA,真相深入り! 虎ノ門ニュース,【緊急速報】※参院選SP※. 完全に始まってしまった自民党の崩壊について須田慎一郎さんが教えてくれました（虎ノ門ニュース）,"「真相深入り！虎ノ門ニュース」は
地上波では報じられない世の中の真相を皆様にお届けする番組です。 

現在は毎週火曜・金曜の週２配信となっていますが、ゆくゆくはより多くの情報を皆様にお届けできるよう配信日を増やしていきたいと思っています。

配信回数を増やせるようにメンバーシップ限定配信もやっていますので、よろしくお願いいたします！


＜出演＞
須田慎一郎（経済ジャーナリスト）

収録日：2025年7月14日
演説撮影日：2025年7月10日


---------------------------------------------------------------------------------------------------------
★メンバーシップ会員 大募集中！★
金額：①590円/月
　　　②990円/月
特典：・メンバー限定のライブ配信
　　　　　プラン①：金曜日
　　　　　プラン②：火曜日・金曜日
　　　・メンバー限定のアンケート
下記チャンネルページより加入できますので、
応援のほど、よろしくお願いいたします！
 @toranomonnews  

注）iPhoneやiPadなどのiOS版からは
　　メンバー登録が行えない、また手数料が別途発生し
　　価格が通常より高くなる可能性がございます。
　　
　　その場合はPCからYouTubeの「真相深入り! 虎ノ門ニュース チャンネル」に
　　アクセスし「メンバーになる」ボタンをクリックしてください。
　　その後、画面の指示に沿ってお支払い情報を入力し完了となります。
---------------------------------------------------------------------------------------------------------

★ホームページ
https://tora8.co.jp","['虎ノ門', 'ニュース', '須田慎一郎', '参院選', '自民党']",https://i.ytimg.com/vi/qXckN6-9l3M/hqdefault.jpg,25,1110446,30949,3122,PT15M55S,false,自民党
