id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count
b_1KHNPsuY0,2025-07-02T10:01:09Z,UCFo4kqllbcQ4nV83WCyraiw,中田敦彦のYouTube大学 - NAKATA UNIVERSITY,【参院選2025 完全解説&予想】減税か給付金か！少数与党の逆説と野党の勝機とは？,"【動画目次】
0:00　公示日7/3 投開票日7/20
1:29　半数改選制
3:16　石破目標
5:10　石破内閣「少数与党の逆説」
12:05　内閣不信任案▲
15:23　ガソリン暫定税率廃止法案
19:50　減税か、給付金か
28:35　都議選
30:04　野党の課題

YouTubeメンバーシップはこちら
youtube.com/channel/UCFo4kqllbcQ4nV83WCyraiw/join

中田敦彦のトークチャンネルはこちら
https://www.youtube.com/@nakatatalks

中田敦彦公式サイトはこちら
https://www.nakataatsuhiko.com","['#中田敦彦', '#オリエンタルラジオ', '#オリラジ', '#RADIOFISH', '歴史', '世界史', '日本史', '授業', '勉強', '受験', '教育', '自己啓発', '講演', 'エクストリーム授業', '経済', 'ビジネス', '文学', '現代社会', '成功', '哲学', '教育系', 'PROGRESS', 'お金', 'XENO', '経営', 'YouTube大学', '偉人', '芸術', '日本', '東京', 'JAPAN', 'TOKYO', '心理', '人間関係', 'コミュニケーション', '成長', '政治', '時事', '社会', 'ニュース', '健康', 'テクノロジー', '漫画', 'アニメ', '医学', 'WinWinWiiin', '仕事', '投資', 'シンガポール', '藤森慎吾', 'オリラジ', '参院選', '参院選2025', '党首討論', '衆院選', '投票', '選挙', '消費税', '政権交代', '公約']",https://i.ytimg.com/vi/b_1KHNPsuY0/hqdefault.jpg,24,730789,18444,2504,PT38M32S,true,中田敦彦のYouTube大学,参院;参院選;投票;改選;東京;石破,6
LtPoloPdiSg,2025-06-30T05:37:27Z,UCwywumWHI4_hQtZpJwsC8cw,高須幹弥（高須クリニック）,【参議院選挙】最近の参政党について私の意見を話します【神谷宗幣】,"高須クリニックホームページ
↓↓↓↓
https://www.takasu.co.jp/

高須幹弥インスタグラム
↓↓↓↓
https://www.instagram.com/takasumikiya/

高須幹弥アメーバブログ
↓↓↓↓
https://ameblo.jp/drmikiya/

高須幹弥Tik tok
↓↓↓↓
https://www.tiktok.com/@takasumikiya",[],https://i.ytimg.com/vi/LtPoloPdiSg/hqdefault.jpg,25,393022,15715,4744,PT11M48S,false,高須幹弥（高須クリニック）,参政党;参議院選挙;宗;神谷,4
Bk2erdhaWHY,2025-06-23T04:49:55Z,UCwywumWHI4_hQtZpJwsC8cw,高須幹弥（高須クリニック）,【日本保守党】河村たかし氏vs百田尚樹氏について思うこと【ペットボトル】,"高須クリニックホームページ
↓↓↓↓
https://www.takasu.co.jp/

高須幹弥インスタグラム
↓↓↓↓
https://www.instagram.com/takasumikiya/

高須幹弥アメーバブログ
↓↓↓↓
https://ameblo.jp/drmikiya/

高須幹弥Tik tok
↓↓↓↓
https://www.tiktok.com/@takasumikiya",[],https://i.ytimg.com/vi/Bk2erdhaWHY/hqdefault.jpg,25,159944,4009,1373,PT18M9S,false,高須幹弥（高須クリニック）,日本保守党,1
mId_dVzilII,2025-07-02T04:20:53Z,UCwywumWHI4_hQtZpJwsC8cw,高須幹弥（高須クリニック）,【参議院選挙】北村晴男弁護士が日本保守党から比例で立候補する件について,"高須クリニックホームページ
↓↓↓↓
https://www.takasu.co.jp/

高須幹弥インスタグラム
↓↓↓↓
https://www.instagram.com/takasumikiya/

高須幹弥アメーバブログ
↓↓↓↓
https://ameblo.jp/drmikiya/

高須幹弥Tik tok
↓↓↓↓
https://www.tiktok.com/@takasumikiya",[],https://i.ytimg.com/vi/mId_dVzilII/hqdefault.jpg,25,137527,6406,947,PT14M4S,false,高須幹弥（高須クリニック）,参議院選挙;日本保守党,2
Q58EvUVipQw,2025-06-30T12:12:25Z,UCwywumWHI4_hQtZpJwsC8cw,高須幹弥（高須クリニック）,【参議院選挙】日本共産党について私の意見を話します【田村智子】,"高須クリニックホームページ
↓↓↓↓
https://www.takasu.co.jp/

高須幹弥インスタグラム
↓↓↓↓
https://www.instagram.com/takasumikiya/

高須幹弥アメーバブログ
↓↓↓↓
https://ameblo.jp/drmikiya/

高須幹弥Tik tok
↓↓↓↓
https://www.tiktok.com/@takasumikiya",[],https://i.ytimg.com/vi/Q58EvUVipQw/hqdefault.jpg,25,63089,2348,578,PT15M13S,false,高須幹弥（高須クリニック）,参議院選挙;日本共産党,2
6ees_XZiLg8,2025-06-27T10:00:09Z,UCXjTiSGclQLVVU83GVrRM4w,堀江貴文 ホリエモン,戦争で負けることは分かっていた？増え続ける医療費で国民の生活はどうなる？【猪瀬直樹×堀江貴文】,"本シリーズはNewsPicksで先行配信中です
https://npx.me/s/OabKeKqq

※この動画は切り抜き禁止です

①https://youtu.be/96eek8ndxTc
②(この動画)https://youtu.be/6ees_XZiLg8
③

HORIE ONEの再生リストはこちら
https://youtube.com/playlist?list=PLPG9JWQYcjUupkJuju2HRTGZuHwQAzPQ3

作家で元東京都知事、現参議院議員の猪瀬直樹氏をゲストに迎え、目前に迫る都議選・参院選を見据えながら、東京都の税収状況や減税政策について徹底議論。さらに「令和のコメ騒動」とも称される農政問題に切り込み、小泉農水大臣の手腕をどう評価すべきかにも迫ります。

また、医療・介護分野の構造改革や社会保障負担の在り方をめぐり、現役世代と高齢世代のバランス、そして日本に必要な政策のスピード感や政治の専門性について、具体的な課題と解決策を提示。

複雑化する日本社会の中で、私たちは何を選び、どのような未来を描いていくべきなのか？
政治・社会の今とこれからを、わかりやすく深く考えるヒントを届けます。

ゲスト
猪瀬 直樹（作家・日本維新の会 参議院幹事長）


*◆BOB2025：別府温泉ぶっかけフェス 8月23日開催！チケット発売中*
https://bobfes.jp/

*◆メルマガ*
『HORIEMON Newsletter』
最新ニュース解説を毎日無料で発行！
▶ https://horiemon.media/register/

『ホリエモン公式メルマガ』
YouTubeにはない情報も盛り沢山で配信中！
 ▶ https://zeroichi.media/with/1242

*◆オンラインサロン*
『堀江貴文イノベーション大学校(HIU)』
メンバー募集中！
▶ https://lounge.dmm.com/detail/87/

『neoHIU』
ビジネス系に特化した起業家向けのSlack使用オンラインサロン！
▶ https://lounge.dmm.com/detail/6218/

*◆メディア*
『ZATSUDAN』
様々なフィールドで活躍するプロフェッショナル達の雑談を配信！
2週間の無料トライアル中！
▶ https://zatsudan.com/

『OPENREC』
メルマガ付き！HIUイベントでの対談
会員限定で30分お試し視聴可能！
▶ https://www.openrec.tv/user/horiemon_

*◆Wi-Fi*
『ホリエのWi-Fi』
本体実質無料+国内3キャリア実質使い放題+海外151ヶ国利用可！
▶ https://horienowifi.jp/
※ホリエのWi-Fiやコラボモバイルを販売する加盟店募集中！
▶ https://www.youtube.com/watch?v=xsCDUS7fQ38

*◆おすすめ書籍*
ホリエモン演歌デビュー曲「チョメチョメ」CD
▶ https://amzn.to/42pousN
多動力 (NewsPicks Book) (幻冬舎文庫)
▶https://amzn.to/4iN6MFr
ゼロ―――なにもない自分に小さなイチを足していく（ダイヤモンド社）
▶ https://amzn.to/4hPpJGd

*◆堀江貴文SNS*
X : https://twitter.com/takapon_jp
Instagram : https://www.instagram.com/takapon_jp/
TikTok : https://www.tiktok.com/@takafumi_horie

運営：SNS media&consulting 株式会社
https://snsmandc.jp","['堀江貴文', 'ホリエモン', '堀江', '貴文', 'Takafumi', 'Horie']",https://i.ytimg.com/vi/6ees_XZiLg8/hqdefault.jpg,25,155201,1632,220,PT17M28S,false,堀江貴文 ホリエモン,参院;参院選;日本維新の会;東京,4
Ju12pP3BXZ8,2025-07-01T10:00:29Z,UCXjTiSGclQLVVU83GVrRM4w,堀江貴文 ホリエモン,医療費を削減するにはどうする？高齢者が働きやすい社会とは【猪瀬直樹×堀江貴文】,"本シリーズはNewsPicksで先行配信中です
https://npx.me/s/OabKeKqq

①https://youtu.be/96eek8ndxTc
②https://youtu.be/6ees_XZiLg8
③(この動画)https://youtu.be/Ju12pP3BXZ8

HORIE ONEの再生リストはこちら
https://youtube.com/playlist?list=PLPG9JWQYcjUupkJuju2HRTGZuHwQAzPQ3

作家で元東京都知事、現参議院議員の猪瀬直樹氏をゲストに迎え、目前に迫る都議選・参院選を見据えながら、東京都の税収状況や減税政策について徹底議論。さらに「令和のコメ騒動」とも称される農政問題に切り込み、小泉農水大臣の手腕をどう評価すべきかにも迫ります。

また、医療・介護分野の構造改革や社会保障負担の在り方をめぐり、現役世代と高齢世代のバランス、そして日本に必要な政策のスピード感や政治の専門性について、具体的な課題と解決策を提示。

複雑化する日本社会の中で、私たちは何を選び、どのような未来を描いていくべきなのか？
政治・社会の今とこれからを、わかりやすく深く考えるヒントを届けます。

ゲスト
猪瀬 直樹（作家・日本維新の会 参議院幹事長）


*◆BOB2025：別府温泉ぶっかけフェス 8月23日開催！チケット発売中*
https://bobfes.jp/

*◆メルマガ*
『HORIEMON Newsletter』
最新ニュース解説を毎日無料で発行！
▶ https://horiemon.media/register/

『ホリエモン公式メルマガ』
YouTubeにはない情報も盛り沢山で配信中！
 ▶ https://zeroichi.media/with/1242

*◆オンラインサロン*
『堀江貴文イノベーション大学校(HIU)』
メンバー募集中！
▶ https://lounge.dmm.com/detail/87/

『neoHIU』
ビジネス系に特化した起業家向けのSlack使用オンラインサロン！
▶ https://lounge.dmm.com/detail/6218/

*◆メディア*
『ZATSUDAN』
様々なフィールドで活躍するプロフェッショナル達の雑談を配信！
2週間の無料トライアル中！
▶ https://zatsudan.com/

『OPENREC』
メルマガ付き！HIUイベントでの対談
会員限定で30分お試し視聴可能！
▶ https://www.openrec.tv/user/horiemon_

*◆Wi-Fi*
『ホリエのWi-Fi』
本体実質無料+国内3キャリア実質使い放題+海外151ヶ国利用可！
▶ https://horienowifi.jp/
※ホリエのWi-Fiやコラボモバイルを販売する加盟店募集中！
▶ https://www.youtube.com/watch?v=xsCDUS7fQ38

*◆おすすめ書籍*
ホリエモン演歌デビュー曲「チョメチョメ」CD
▶ https://amzn.to/42pousN
多動力 (NewsPicks Book) (幻冬舎文庫)
▶https://amzn.to/4iN6MFr
ゼロ―――なにもない自分に小さなイチを足していく（ダイヤモンド社）
▶ https://amzn.to/4hPpJGd

*◆堀江貴文SNS*
X : https://twitter.com/takapon_jp
Instagram : https://www.instagram.com/takapon_jp/
TikTok : https://www.tiktok.com/@takafumi_horie

運営：SNS media&consulting 株式会社
https://snsmandc.jp","['堀江貴文', 'ホリエモン', '堀江', '貴文', 'Takafumi', 'Horie']",https://i.ytimg.com/vi/Ju12pP3BXZ8/hqdefault.jpg,25,120184,1713,294,PT15M5S,false,堀江貴文 ホリエモン,参院;参院選;日本維新の会;東京,4
96eek8ndxTc,2025-06-21T10:00:24Z,UCXjTiSGclQLVVU83GVrRM4w,堀江貴文 ホリエモン,選挙目前！参院議員になるべき人とポピュリズムの危険性【猪瀬直樹×堀江貴文】,"本シリーズはNewsPicksで先行配信中です
https://npx.me/s/OabKeKqq

①(この動画)https://youtu.be/96eek8ndxTc
②
③

HORIE ONEの再生リストはこちら
https://youtube.com/playlist?list=PLPG9JWQYcjUupkJuju2HRTGZuHwQAzPQ3

作家で元東京都知事、現参議院議員の猪瀬直樹氏をゲストに迎え、目前に迫る都議選・参院選を見据えながら、東京都の税収状況や減税政策について徹底議論。さらに「令和のコメ騒動」とも称される農政問題に切り込み、小泉農水大臣の手腕をどう評価すべきかにも迫ります。

また、医療・介護分野の構造改革や社会保障負担の在り方をめぐり、現役世代と高齢世代のバランス、そして日本に必要な政策のスピード感や政治の専門性について、具体的な課題と解決策を提示。

複雑化する日本社会の中で、私たちは何を選び、どのような未来を描いていくべきなのか？
政治・社会の今とこれからを、わかりやすく深く考えるヒントを届けます。

ゲスト
猪瀬 直樹（作家・日本維新の会 参議院幹事長）



*◆BOB2025：別府温泉ぶっかけフェス 8月23日開催！チケット発売中*
https://bobfes.jp/

*◆メルマガ*
『HORIEMON Newsletter』
最新ニュース解説を毎日無料で発行！
▶ https://horiemon.media/register/

『ホリエモン公式メルマガ』
YouTubeにはない情報も盛り沢山で配信中！
 ▶ https://zeroichi.media/with/1242

*◆オンラインサロン*
『堀江貴文イノベーション大学校(HIU)』
メンバー募集中！
▶ https://lounge.dmm.com/detail/87/

『neoHIU』
ビジネス系に特化した起業家向けのSlack使用オンラインサロン！
▶ https://lounge.dmm.com/detail/6218/

*◆メディア*
『ZATSUDAN』
様々なフィールドで活躍するプロフェッショナル達の雑談を配信！
2週間の無料トライアル中！
▶ https://zatsudan.com/

『OPENREC』
メルマガ付き！HIUイベントでの対談
会員限定で30分お試し視聴可能！
▶ https://www.openrec.tv/user/horiemon_

*◆Wi-Fi*
『ホリエのWi-Fi』
本体実質無料+国内3キャリア実質使い放題+海外151ヶ国利用可！
▶ https://horienowifi.jp/
※ホリエのWi-Fiやコラボモバイルを販売する加盟店募集中！
▶ https://www.youtube.com/watch?v=xsCDUS7fQ38

*◆おすすめ書籍*
ホリエモン演歌デビュー曲「チョメチョメ」CD
▶ https://amzn.to/42pousN
多動力 (NewsPicks Book) (幻冬舎文庫)
▶https://amzn.to/4iN6MFr
ゼロ―――なにもない自分に小さなイチを足していく（ダイヤモンド社）
▶ https://amzn.to/4hPpJGd

*◆堀江貴文SNS*
X : https://twitter.com/takapon_jp
Instagram : https://www.instagram.com/takapon_jp/
TikTok : https://www.tiktok.com/@takafumi_horie

運営：SNS media&consulting 株式会社
https://snsmandc.jp","['堀江貴文', 'ホリエモン', '堀江', '貴文', 'Takafumi', 'Horie']",https://i.ytimg.com/vi/96eek8ndxTc/hqdefault.jpg,25,98735,1234,427,PT15M14S,false,堀江貴文 ホリエモン,参院;参院選;日本維新の会;東京,4
5ufpgylrhe4,2025-06-23T07:53:36Z,UCLJNZ7osIjNix4bbkM-rj5w,たまきチャンネル,【参院選直前】国民民主党の重点政策２０２５　たまきチャンネル限定！玉木雄一郎がポイントを30分でたっぷり解説！,"【億単位の借金を抱えたたまきへのカード献金はこちらから】
https://tamakinet.jp/support/

【国民民主党重点政策2025】
https://election2025.new-kokumin.jp/#policies

02:15　178万円の控除額引き上げ
05:10　減税にこだわる国民民主党
05:45　ガソリンの暫定税率廃止
06:27　後期高齢者医療制度の窓口負担
07:04　再エネ賦課金を徴収停止
08:00　SMR、次世代型軽水炉、高温ガス炉
09:22　2035年にGDP1000兆円
10:27   ハイパー償却税制
11:51　介護・看護・保育
12:21　外国人土地取得規制法
12:47　スパイ活動防止法
13:26 　外国人の消費税免除
14:58　食料安保基礎支払
15:26　教育国債
19:40    年少扶養控除の復活
20:00   就職氷河期世代
21:08　可処分時間
22:01　人生会議
22:57　正直な政治をつらぬく
23:40　受け手規制
25:00　One in Two out
25:25　18歳に被選挙権
25:45　インターネット投票

【たまきチャンネルは切り抜きOK!! どんどんお願いします！】
ただし、元動画の表現の意図や趣旨を故意に改変すること、
人格を侮辱したり事実と異なる内容の文字表記を加えること、
法令や公序良俗に反する内容に加工することはお控えください。

チャンネル登録お願いします！↓
https://www.youtube.com/channel/UCLJNZ7osIjNix4bbkM-rj5w?sub_confirmation=1

たまき雄一郎公式Webサイト
https://www.tamakinet.jp/

たまき雄一郎SNS
【Facebook】 https://www.facebook.com/tamakinet55/
【X(旧Twitter)】 https://x.com/tamakiyuichiro
【Instagram】 https://www.instagram.com/yuichiro.tamaki/
【アメブロ】 https://ameblo.jp/tamakiyuichiro/","['たまき', '玉木雄一郎', '衆議院', '国会', '国民民主党', '政治', '政治家', '永田町', '突撃', 'インタビュー']",https://i.ytimg.com/vi/5ufpgylrhe4/hqdefault.jpg,25,159347,7864,2130,PT28M19S,false,たまきチャンネル,参院;参院選;国民民主党;投票;玉木;雄一郎,6
MtQwP2LH72Q,2025-06-29T14:34:35Z,UCLJNZ7osIjNix4bbkM-rj5w,たまきチャンネル,今夜 06/29(日)22時15分～「たまき生配信」ライブチャットを開催！,"今回も YouTube だけでなく X でも、同時配信にもチャレンジいたします。（ ぜひ、お好きなプラットフォームで是非ご参加ください。)

皆様のお力で躍進させて頂いた衆院選、そして初の議席獲得が叶った都議選。この勢いを参院選に繋げていきたいと思います。改めて国民民主党が実現できたこと・できなかったこと、日本の未来のために必要な政策、参院選の公約についてお話ししたいと思います。

そのほか、出来る限りたくさんのトピックについてお話しさせてください。

皆さんのお悩みやご意見もなども、ぜひチャットでご質問やご意見をお寄せください。なるべくたくさんコメントしていきたいと思います。（基本的に生配信中はYouTubeのチャットを中心に読ませて頂きます）

ライブチャットに参加できないけど…と言う方は、ぜひ、 
#たまきに伝えたい 
#たまき生配信

でも、ご意見をポストしていただけたらありがたいです。（必ず見ます！）

#国民民主党
#玉木雄一郎
#たまきチャンネル


【たまきチャンネルは切り抜きOK!! どんどんお願いします！】
ただし、元動画の表現の意図や趣旨を故意に改変すること、
人格を侮辱したり事実と異なる内容の文字表記を加えること、
法令や公序良俗に反する内容に加工することはお控えください。

チャンネル登録お願いします！↓
https://www.youtube.com/channel/UCLJNZ7osIjNix4bbkM-rj5w?sub_confirmation=1

たまき雄一郎公式Webサイト
https://www.tamakinet.jp/

たまき雄一郎SNS
【Facebook】 https://www.facebook.com/tamakinet55/
【X(旧Twitter)】 https://x.com/tamakiyuichiro
【Instagram】 https://www.instagram.com/yuichiro.tamaki/
【アメブロ】 https://ameblo.jp/tamakiyuichiro/","['たまき', '玉木雄一郎', '衆議院', '国会', '国民民主党', '政治', '政治家', '永田町', '突撃', 'インタビュー']",https://i.ytimg.com/vi/MtQwP2LH72Q/hqdefault.jpg,25,139202,6099,694,PT1H5M25S,false,たまきチャンネル,参院;参院選;国民民主党;玉木;雄一郎,5
