id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count
aW01ppkxS5c,2025-06-25T07:58:33Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,大阪府・吉村知事「得票を見てもすごい」　再生の道・石丸氏の選挙戦を称賛（2025年6月25日）,"大阪府の吉村洋文知事は25日午後、定例会見で、前日に自身のSNSに投稿した内容について問われた。投稿は東京都議選で候補者全員が落選した地域政党「再生の道」と、その代表である石丸伸二氏に関するもので、吉村知事は「彼はここで終わらない」と投稿したことについて「感じたことを率直に発信した」と説明した。

また、党が「二元代表制」や「議会の正常化」を掲げて戦ったことについては、「当選者はいなかったけれども、得票を見てもすごいなというふうに思います」と称賛し、「みんなが一致団結でやって、一定の支持が出るというところはすごい」と述べ、選挙戦の戦い方に驚きと評価を示した。

さらに、石丸氏の今後の政治活動についても言及し、「当初、都知事選に出た頃から、多極の成長型国家を目指すという中で、おっしゃってることを一本筋が通っている」と評価し、「それは今も変わってない」と述べた。

会見全編はこちら：https://youtube.com/live/DceEoHpdcMo

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#大阪府","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/aW01ppkxS5c/hqdefault.jpg,25,142848,3655,517,PT9M19S,false,THE PAGE,伸二;候補者;再生の道;大阪;東京;石丸,6
zqndqw8Nbw4,2025-06-22T16:02:20Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,【東京都議選2025】都議会自民党　開票センターの様子（2025年6月22日）,"6月13日告示、22日投票の東京都議会議員選挙の開票が午後8時から始まる。東京都議会自民党の関係者は、都内に開設された開票センターで情勢を見守る。

※会場の都合で一部音声を絞ることがあります。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#東京都議選","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/zqndqw8Nbw4/hqdefault.jpg,25,114810,182,7,PT4H44M2S,false,THE PAGE,投票;東京;自民;自民党,4
ri6hb48iRVU,2025-06-22T13:25:51Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,【東京都議選2025】再生の道　開票センターの様子（2025年6月22日）,"6月13日告示、22日投票の東京都議会議員選挙の開票が午後8時から始まる。石丸伸二代表率いる新党「再生の道」の関係者は、都内に開設された開票センターで情勢を見守る。

※会場の都合で一部音声を絞ることがあります。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#東京都議選","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/ri6hb48iRVU/hqdefault.jpg,25,113603,469,68,PT1H4M41S,false,THE PAGE,伸二;再生の道;投票;東京;石丸,5
sZsDsrxwL9s,2025-06-28T11:53:53Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,【参院選2025】兵庫選挙区　立候補予定者による公開討論会（2025年6月28日）,"日本青年会議所近畿地区兵庫ブロック協議会は、28日午後7時から、7月3日公示・20日投開票の参議院選挙の立候補予定者による公開討論会を開催する。

討論会出演者（着席順左から）
・藤原　誠也氏（参政党）
・米村　明美氏（れいわ新選組）
・高橋　秀彰氏（諸派）
・加田　裕之氏（自民党）
・バルドー姉さん氏（諸派）
・吉平　敏孝氏（日本維新の会）
・高橋　光男氏（公明党）
・前田　実咲氏（諸派）
・多田　ひとみ氏（国民民主党）
・泉　房穂氏（無所属）
・金田　峰生氏（共産党）
・来住　文男氏（社民党）

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#兵庫県
#参議院選挙2025","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/sZsDsrxwL9s/hqdefault.jpg,25,59314,532,345,PT1H47M,false,THE PAGE,れいわ新選組;公明党;兵庫;参政党;参議院選挙;参院;参院選;国民民主党;日本維新の会;自民;自民党;高橋,12
cNy_GYVHIOg,2025-06-22T13:59:22Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,【東京都議選2025】都民ファーストの会　開票センターの様子（2025年6月22日）,"6月13日告示、22日投票の東京都議会議員選挙の開票が午後8時から始まる。都知事の小池百合子氏が特別顧問を務める「都民ファーストの会」の関係者は、都内に開設された開票センターで情勢を見守る。

※会場の都合で一部音声を絞ることがあります。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#東京都議選","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/cNy_GYVHIOg/hqdefault.jpg,25,46599,59,8,PT2H50M16S,false,THE PAGE,投票;東京,2
3G_VA17qJRM,2025-06-22T13:13:59Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,再生の道・石丸代表、都議選「これまでにない動きが生じた」　将来の出馬可能性「3年後の都知事選も対象」（2025年6月22日）,"東京都議会議員選挙の開票が22日午後8時から始まった。新党「再生の道」の石丸伸二代表は、都内の開票センターで集まった報道陣の取材に応じた。

石丸氏は、再生の道の目的は「広く国民の政治参加を促す」ことであり、目標は「都議選に候補者を擁立する」ことだったと説明した。その意味で、既に再生の道としての機能は確認できたと述べ、今後も他の地方選挙で同様の展開が可能だという自信を示した。

また、昨年の都知事選で石丸氏が起こした「旋風」という表現に対しては、当選は逃したため過大評価は避けるべきだと述べたが、その経験で得た知名度を都議選に活かし、1128人の応募があったことを評価した。42人の候補者がそれぞれの選挙区で活動し、これまでにない動きが生じたと感じていると述べた。

自身の将来の選挙出馬について問われると、石丸氏は、「全ての選択肢はテーブルに載っている」とし、3年後の都知事選も含め、可能性を排除しない姿勢を示した。自身が政治家としていつまで活動するかは決めておらず、その都度適切に判断していくと答えた。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#東京都議選","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/3G_VA17qJRM/hqdefault.jpg,25,40430,624,249,PT33M5S,false,THE PAGE,伸二;候補者;再生の道;東京;石丸,5
nd0bfIADAmk,2025-07-01T02:13:02Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,「再生の道」石丸伸二代表が会見　参院選の公約を発表（2025年7月1日）,"石丸伸二氏が代表を務める地域政党「再生の道」は、1日午前10時から記者会見を開く。3日公示、20日投開票の参議院選挙に向けた公約と立候補予定者を発表する。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#参院選
#石丸伸二","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/nd0bfIADAmk/hqdefault.jpg,25,41531,1969,488,PT1H17M35S,false,THE PAGE,伸二;再生の道;参議院選挙;参院;参院選;石丸,6
KydHAwKF5LY,2025-07-01T08:14:41Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,山尾志桜里氏が再び会見　参院選に無所属で立候補へ（2025年7月1日）,"元衆院議員の山尾志桜里氏は、1日午後4時から都内で記者会見を行う。今夏に行われる参議院選挙に無所属で立候補するとみられる。山尾氏は先月10日にも記者会見を開き、国民民主党からの出馬表明を行ったが、過去の報道に関する批判が相次ぎ、公認が見送られた。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#参院選","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/KydHAwKF5LY/hqdefault.jpg,25,37118,412,265,PT1H13M6S,false,THE PAGE,参議院選挙;参院;参院選;国民民主党,4
LiNh1RogRN0,2025-06-27T11:12:57Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,【参院選2025】愛知選挙区　立候補予定者による公開討論会（2025年6月27日）,"名古屋青年会議所は27日午後5時から、7月3日公示・20日投開票の参議院選挙の立候補予定者による公開討論会を開催する。

討論会出席者（敬称略　着席順左から）
・杉本純子（参政党）
・大西雅人（社民党）
・広田紗久良（日本維新の会）
・田中克和（減税日本）

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#愛知県
#参議院選挙2025","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/LiNh1RogRN0/hqdefault.jpg,25,31213,542,142,PT2H53M5S,false,THE PAGE,参政党;参議院選挙;参院;参院選;日本維新の会,5
oscz2aHDXl4,2025-06-21T04:53:00Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,【国会中継】参院財政金融委員会　「ガソリン暫定税率廃止法案」を質疑（2025年6月21日）,"◎2025年6月21日「参議院　財政金融委員会」

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■国会・首相会見中継特集：https://yahoo.jp/JQ2wFm
＜国会＞施政方針演説と所信表明演説の違いは？：https://yahoo.jp/DZJZcp
＜国会＞国会の会期とは？：https://yahoo.jp/BkoHyk
＜国会＞「通常国会」「臨時国会」「特別国会」の違いは？：https://yahoo.jp/8xnAfv

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュースオリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#国会
#参議院","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/oscz2aHDXl4/hqdefault.jpg,25,29331,254,43,PT3H54M15S,false,THE PAGE,参院,1
