id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count
rpSDf9B1PWw,2025-07-16T12:37:36Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫・斎藤知事　参院選の当選者訪問は「予定していない」定例会見で（2025年7月16日）　#shorts #兵庫県 #thepage_jp,"兵庫県の斎藤元彦知事は16日午後、県庁で定例記者会見を行った。

会見では記者から「投開票日の夜には、当選が確定した候補者の事務所に首長が祝辞を伝えに訪問するというのが一般的にあるが、知事は今回の（兵庫選挙区）当選者3人の事務所を訪問する予定があるか？：という質問があった。

それに対し、斎藤知事は「それは予定していないですね」と即答した。記者から理由を問われると「3連休中ということもありますし、私としては今のところ、当選された方の事務所に訪問することは予定してないですし、これまで（昨年の衆院選など）もやっていませんので」と述べていた。

会見の全映像はこちら：https://www.youtube.com/watch?v=RiSI0Y2Vmy4

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/rpSDf9B1PWw/hqdefault.jpg,25,23229,254,49,PT53S,false,THE PAGE,候補者;兵庫;参院;参院選,4
w9rMU29AmjQ,2025-07-02T13:11:45Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫・斎藤知事　参院選「候補者の応援は考えていない」（2025年7月2日）  #thepage_jp #兵庫県  #記者会見,"兵庫県の斎藤元彦知事は2日午後、県庁で定例記者会見を行った。

会見では3日に公示となる参院選（20日投開票）についての質問が相次ぎ、記者からは「兵庫選挙区には各党の幹部が初日から入る予定もあり注目の選挙区だが、この状況をどうみているか」という質問があった。

斎藤知事はそれに対し「先日の都議会議員選挙でも関心が非常に高かったですが、物価高対策が大きな焦点になるかという風に思っています」と述べた。

そして「多くの方が立候補を予定されているということで、全国でも屈指の多くの方が出られる戦いという風になることが予想され、県民のみなさんにおかれましては各候補者や政党の主張、政策をみられて、そのうえでご判断いただくと思います」と続けた。

また記者からは、参院選の候補者の応援にいくことなどを考えているかどうかという質問もあった。それに対し、斎藤知事は「私自身については先日お答えしたとおり、公務優先で考えていますので応援に行くということなどは考えていません」と答えていた。

会見の全映像はこちら：https://www.youtube.com/live/lWXzEgx6ozw

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/w9rMU29AmjQ/hqdefault.jpg,25,15443,207,60,PT1M45S,false,THE PAGE,候補者;兵庫;参院;参院選,4
Z0YmLQ18lOo,2025-07-02T12:00:40Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫県・斎藤知事　選挙ポスター掲示板の増設は選挙管理委員会の判断（2025年7月2日）,"兵庫県の斎藤元彦知事は2日午後、県庁で定例記者会見を行った。

会見では記者から、昨年11月に行われた兵庫県知事選挙の際に、ポスター掲示板の設置費用が前回行われた2021年選挙時の3倍以上になったことについて、どう考えるかという質問があった。

斎藤知事は質問に対し「今回の参院選もそうですが立候補というものは自由がありますので、一定の供託金を支払えば立候補ができるということだと思います」と答えた。

また「今回も多数の立候補者が出られることになると思いますが、これは選挙管理委員会がご判断でポスター掲示板についてご準備いただいたということだと思います」と述べていた。

この会見の全映像はこちら：https://www.youtube.com/live/lWXzEgx6ozw

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/Z0YmLQ18lOo/hqdefault.jpg,25,7403,61,73,PT31M15S,false,THE PAGE,候補者;兵庫;参院;参院選,4
FRH1yLLizVg,2025-07-08T07:19:10Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,政府が外国人問題で司令塔組織　維新・吉村代表「あたふた感がある」自民の選挙対策と指摘（2025年7月8日）,"日本維新の会の吉村洋文代表（大阪府知事）は8日、府庁で定例会見を行った。石破茂首相が打ち出した『外国人政策の司令塔組織』設置について、「事実上の移民の受け入れとなっている現状を踏まえればルールは作るべき」と述べ、司令塔は必要との認識を示す一方で、「唐突感は否めない。選挙対策とも思える」と述べた。

吉村代表は、「我々は以前から公約で掲げている。本来あたふたしてやるもんではない」とした上で、“日本人ファースト”を掲げる参政党が支持を伸ばす中で、「選挙前に持ち出したのは（自民党が）支持率回復したい思いがあるのではないか」と指摘した。

また、単純な労働力として外国人を受け入れる状況には懸念を示した上で、「（制度の）不正や悪用については厳しく対応していく必要があるし、真面目に日本で一生懸命頑張ろうとしている人もいる」と述べ、「日本としての人口政策、外国人政策を立案すべき」と強調した。

会見全編はこちら：https://youtube.com/live/FNlXJ6gfcJU

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#日本維新の会","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/FRH1yLLizVg/hqdefault.jpg,25,4357,67,35,PT16M25S,false,THE PAGE,参政党;大阪;日本維新の会;石破;自民;自民党;茂,7
SuvfVFDaKhA,2025-07-02T11:37:37Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫・斎藤知事　参院選「候補者の応援は考えていない」（2025年7月2日）,"兵庫県の斎藤元彦知事は2日午後、県庁で定例記者会見を行った。

会見では3日に公示となる参院選（20日投開票）についての質問が相次ぎ、記者からは「兵庫選挙区には各党の幹部が初日から入る予定もあり注目の選挙区だが、この状況をどうみているか」という質問があった。

斎藤知事はそれに対し「先日の都議会議員選挙でも関心が非常に高かったですが、物価高対策が大きな焦点になるかという風に思っています」と述べた。

そして「多くの方が立候補を予定されているということで、全国でも屈指の多くの方が出られる戦いという風になることが予想され、県民のみなさんにおかれましては各候補者や政党の主張、政策をみられて、そのうえでご判断いただくと思います」と続けた。

また記者からは、参院選の候補者の応援にいくことなどを考えているかどうかという質問もあった。それに対し、斎藤知事は「私自身については先日お答えしたとおり、公務優先で考えていますので応援に行くということなどは考えていません」と答えていた。

会見の全映像はこちら：https://www.youtube.com/live/lWXzEgx6ozw

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/SuvfVFDaKhA/hqdefault.jpg,25,3526,30,16,PT21M55S,false,THE PAGE,候補者;兵庫;参院;参院選,4
9Ahl617WyG0,2025-07-16T12:10:44Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫・斎藤知事　投票は「最終的に自分で判断することが大事」定例会見で（2025年7月16日）,"兵庫県の斎藤元彦知事は16日午後、県庁で定例会見を行った。斎藤知事は自身のSNSで、期日前投票に行ったことを明かした。

それを受け、記者からは今月20日投開票の参議院選挙について「先週の会見で、投票するに際して有権者へのメッセージとして、新聞とかテレビだけでなくて、SNSの情報などもしっかり確認して投票するようにということでしたが、そのあたり、ご自身の投票判断の際にも一有権者としてはSNSの情報とかも参考にされたのか？」という質問があった。

それに対し、斎藤知事は「具体的になにかというよりも、様投票するにあたっては、状況を判断して、自分自身の投票行動を決めていくということですね」と答えた。

また、記者からは「今回も参院選でいろんな誤情報とか偽情報が拡散されている。誤情報や偽情報を見極める際にどういったことを気を付けているか」という質問があり、斎藤知事は「入ってきた情報を自分の中で適宜、咀嚼（そしゃく）して解釈したりしている状況です」と述べた。

さらに記者からは「誤った情報が拡散されて、それを基に有権者が誤った判断をしてしまうというリスクがあること自体、知事としてもそれは良くないことだと思われますか？」という質問があった。

斎藤知事はそれに対し「メディアが情報発信流通の手段や媒体があるという時代ですから、最終的には個人個人が自ら責任をもって、自分の目で見て確かめたり調べたりして、最終的には自分で判断していくということが大事だと思いますね」と答えていた。

会見の全映像はこちら：https://www.youtube.com/watch?v=RiSI0Y2Vmy4

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/9Ahl617WyG0/hqdefault.jpg,25,2975,24,18,PT27M28S,false,THE PAGE,兵庫;参議院選挙;参院;参院選;投票;期日前投票,6
bvaoCDmU7_0,2025-07-16T10:56:32Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,兵庫・斎藤知事　参院選の当選者訪問は「予定していない」定例会見で（2025年7月16日）,"兵庫県の斎藤元彦知事は16日午後、県庁で定例記者会見を行った。

会見では記者から「投開票日の夜には、当選が確定した候補者の事務所に首長が祝辞を伝えに訪問するというのが一般的にあるが、知事は今回の（兵庫選挙区）当選者3人の事務所を訪問する予定があるか？：という質問があった。

それに対し、斎藤知事は「それは予定していないですね」と即答した。記者から理由を問われると「3連休中ということもありますし、私としては今のところ、当選された方の事務所に訪問することは予定してないですし、これまで（昨年の衆院選など）もやっていませんので」と述べていた。

会見の全映像はこちら：https://www.youtube.com/watch?v=RiSI0Y2Vmy4

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#兵庫県","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/bvaoCDmU7_0/hqdefault.jpg,25,2593,21,8,PT27M5S,false,THE PAGE,候補者;兵庫;参院;参院選,4
OP6UP4vzEIA,2025-07-11T11:08:37Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,小池知事「排他主義に繋がるのは危険」共生の重要性を強調　参院選で外国人問題が争点に（2025年7月11日）,"東京都の小池百合子知事は、11日午後の定例会見で、参院選で外国人規制が争点に浮上していることに関連し、「ヘイトスピーチなどの問題や、これが競い合って排他主義に繋がることは非常に危険だ」と懸念を示した。

また、報道で伝えられる外国人による犯罪への反応として「聞きなれない名前が容疑者として伝えられると、大丈夫かという思いを抱く方が多い」とし、「どのようにして共生していくのか」「ルールをしっかりとお伝えすることを進めていきたい」と述べた。

会見全編はこちら：https://youtube.com/live/WJk33XZ8_bE

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#東京都","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/OP6UP4vzEIA/hqdefault.jpg,25,2547,29,23,PT19M41S,false,THE PAGE,参院;参院選;東京,3
RweHmiV2LOA,2025-07-05T11:29:47Z,UCpdtHm6VFP_Qc-IDIsyLh1A,選挙ドットコムちゃんねる,参議院議員選挙2025 ネット党首討論会｜選挙ドットコム,"選挙ドットコムは7月5日（土）19時45分より、「参院選2025 ネット討論会」を開催します！

＜討論会概要＞
■日時：2025年7月5日（土）19時45分～20時30分
■主催：イチニ株式会社（選挙ドットコム）
■司会・進行：滝本沙奈（セント・フォース所属）、鈴木邦和（選挙ドットコム編集長）
■登壇者の皆様
自由民主党　石破茂 総裁
立憲民主党　野田佳彦 代表
日本維新の会　吉村洋文 代表
公明党　斉藤鉄夫 代表
国民民主党　玉木雄一郎 代表
日本共産党　田村智子 委員長
れいわ新選組　高井たかし 幹事長
参政党　神谷宗幣 代表
社会民主党　福島みずほ 党首
なお、日本保守党様は今回ご欠席となります。


■選挙ドットコムの生放送URL
公式YouTubeチャンネル「選挙ドットコムちゃんねる」：https://youtube.com/live/RweHmiV2LOA
公式X：https://x.com/go2senkyo
公式TikTok：https://www.tiktok.com/@go2senkyo
公式Facebook：https://www.facebook.com/thesenkyo

▼「選挙ドットコム」第27回参議院議員選挙特設ページ
https://sangiin.go2senkyo.com/2025

◆切り抜きやまとめ動画、大歓迎です！◆
選挙ドットコムの動画は自由に切り抜きやまとめ動画としてご活用ください！ただし、以下の点だけ守っていただけると幸いです。
・動画の内容を意図的に改変しない
・事実の基づく情報発信
・人格などを傷つける表現を加えない

※今回の討論会は、政党要件を満たす10党の党首の皆様にお声がけをしております。
※公平中立な運営のため配信動画等のコメント及びチャット欄は封鎖します
※同コンテンツを活用して第三者が収益化することを禁止します

#おすすめ #日本 #政治 #選挙 #参院選2025 #討論会 #選挙ドットコム","['選挙', '政治', '投票', '選挙ドットコム', '解説', 'ゆっくり']",https://i.ytimg.com/vi/RweHmiV2LOA/hqdefault.jpg,25,266441,4586,0,PT41M38S,false,選挙ドットコムチャンネル,れいわ新選組;公明党;参政党;参院;参院選;国民民主党;宗;投票;日本保守党;日本共産党;日本維新の会;玉木;石破;社会民主党;神谷;立憲民主党;茂;雄一郎,18
grLnn9ML604,2025-07-16T13:11:09Z,UCpdtHm6VFP_Qc-IDIsyLh1A,選挙ドットコムちゃんねる,【参院選2025】選挙ドットコムが本気の議席予想！参院選の行方は？＜国民民主・共産・無所属・維新・参政党＞【前編】,"今週末に投開票を迎える「参院選2025」について、豊田真由子さん、山本期日前さん、中山智貴が本気の議席予想を行いました！

元衆議院議員の豊田さん、選挙芸人の山本さん、そして選挙コンサルティング会社出身の中山が、それぞれの立場から今回の参院選で各党がどのような結果を出すのか徹底展望します。

ぜひ最後までご覧いただき、皆さんの予想もコメントで教えてください！

▼後編の動画はコチラ
https://youtu.be/wjdBTdXmuvA

◆「参院選2025 投票マッチング」はコチラ◆
20の質問に答えるだけであなたの考えに最も近い政党をマッチング。
https://votematches.go2senkyo.com/sangiin_2025

◆切り抜きやまとめ動画、大歓迎です！◆
選挙ドットコムの動画は自由に切り抜きやまとめ動画としてご活用ください！ただし、以下の点だけ守っていただけると幸いです。
・動画の内容を意図的に改変しない
・事実の基づく情報発信
・人格などを傷つける表現を加えない


＜目次＞
00:00 オープニング
05:22 国民民主党
12:50 日本共産党
20:57 無所属
27:05 日本維新の会
34:35 参政党

＜出演＞
豊田 真由子｜元衆議院議員
東京大学法学部を卒業後、厚生労働省（旧厚生省）に入省。ハーバード大学大学院へ国費留学、理学修士号(公衆衛生学)を取得。医療、介護、福祉、保育、戦没者援護等、幅広い政策立案を担当し、金融庁にも出向する。2009年、在ジュネーブ国際機関日本政府代表部一等書記官として、新型インフルエンザパンデミックにWHOとともに対処した。衆議院議員2期、文部科学大臣政務官、オリンピック・パラリンピック大臣政務官などを務めた。
X（旧Twitter）：https://x.com/MayukoToyotaN1
『保険業界のゲームチェンジャー　ミニ保険を作った７人の侍たち』（金融財政事情研究会）▶https://amzn.asia/d/6VImqgH

＜出演＞
山本 期日前｜お笑い芸人
1993年1月1日生まれ、千葉県出身のお笑い芸人。お笑いコンビ「ゆかいな議事録」として活動。趣味・特技は、選挙(全国の選挙観戦、選挙ポスター集め等)、政治、ニュース、歴史、柏レイソル、選挙あるある。
X（旧Twitter）：https://x.com/kizitumae

＜出演＞
中山 智貴｜選挙ドットコム編集部
1996年生まれ。関西大学政策創造学部卒。2019年 選挙コンサルティング会社「株式会社ダイアログ」に入社。選挙プランナー・松田馨の指導のもと、数多くの選挙を経験。2022年より現職。趣味は選挙めぐり。

#おすすめ #日本 #政治 #選挙 #参院選2025 #議席予想  #解説 #選挙ドットコム
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––

◆政治家・候補者限定 LINE公式アカウント◆
ネット選挙・公選法・情勢調査など情報配信中！下記からご登録ください！
https://lin.ee/us3KFGF

◆視聴者アンケート実施中◆
https://forms.gle/h8xZnLgryPn5F8BE8


＼政治家の皆様を強力サポート／
選挙ドットコムが提供する
ネット選挙必勝ツール ｢ボネクタ｣
https://vonnector.jp/vonnector/
首長･現職ベテラン議員にもご愛用者多数！
国政･地方選挙で日本最大級の実績｡

ネット広告で有権者からの知名度が上がる！
｢選挙区ターゲティング広告｣
https://vonnector.jp/targeting/
×
選挙ドットコムがあなたをインタビューして有権者にPR
｢政治家PR記事｣
https://vonnector.jp/pr/

選挙区ターゲティング広告×政治家PR記事の最強コンビがネット選挙の勝利の方程式です！

選挙ドットコムは、全ての政党、全ての政治家、全ての立候補者を全力で応援し、有権者がもっと政治に参加したくなるよう努めています。ぜひご協力ください。

選挙ドットコム：https://go2senkyo.com/
日本最大級の選挙ポータルサイト「選挙ドットコム」衆参議員の国会議員から、都道府県知事、市区町村長、地方議会議員のすべての選挙情報を掲載。また、政治家自身が発信している政策やプロフィールもあり政治家選びに最適です。

facebook：https://www.facebook.com/thesenkyo/
X：https://x.com/go2senkyo","['選挙', '政治', '投票', '選挙ドットコム', '解説', 'ゆっくり']",https://i.ytimg.com/vi/grLnn9ML604/hqdefault.jpg,25,246803,3018,756,PT46M26S,false,選挙ドットコムチャンネル,候補者;参政党;参院;参院選;国民民主党;山本;投票;日本共産党;日本維新の会;東京,10
