id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count
0yInOv5oJ3I,2025-06-30T22:30:00Z,UCQVGAwZGA9jrH2XF7feK2xQ,自民党,【自民党の物価高対策】ガソリン価格編（2025.6.30）,"物価高の現状に一刻も早く対応するために
リッターあたり10円の定額補助を実施しています。

また、中東情勢の悪化による石油価格の急激な上昇に備え
全国平均で175円を超えないよう、6月26日から措置を講じています。
 
国民の皆さんの生活に大きな影響を及ぼすことがないよう、引き続き対応してまいります。

●自民党の政策2025
https://special.jimin.jp/political_promise/vision/#policy2",[],https://i.ytimg.com/vi/0yInOv5oJ3I/hqdefault.jpg,25,2520,19,51,PT25S,false,自民党,自民;自民党,2
0vSpxY-aA9A,2025-07-02T08:55:09Z,UCQVGAwZGA9jrH2XF7feK2xQ,自民党,【自民党の政策】違法外国人ゼロを目指して（2025.7.2）,"#小野寺五典 政調会長が「違法外国人ゼロ」を目指す自民党の政策について解説しました。

日本に滞在する外国人には、日本の法律を守ってもらうこと。
日本の文化、風習を尊重してもらうことを徹底していきたい。
自民党はこれからも「違法外国人ゼロ」を目指してまいります。

自民党の政策2025
https://special.jimin.jp/political_promise/

#違法外国人問題 #自民党 #小野寺五典",[],https://i.ytimg.com/vi/0vSpxY-aA9A/hqdefault.jpg,25,1122,35,45,PT2M9S,false,自民党,自民;自民党,2
z7mokFK26EI,2025-07-02T08:38:13Z,UCQVGAwZGA9jrH2XF7feK2xQ,自民党,【参院選候補予定者紹介】#中田宏,"比例代表は様々な職種の代表、各分野のスペシャリストです。
多様な経歴を持つ自民党の比例代表候補予定者を紹介します。
ぜひ、ご覧ください！

＜中田宏 候補予定者＞
00:00 オープニング
00:38 自己紹介
01:41 横浜市長時代の実績
03:55 中田宏の政策
08:03 市長時代の実績：クールビズ
09:22 中田宏から皆さまへメッセージ

司会：梶原大介 参議院議員

◯中田宏 候補予定者情報
https://special.jimin.jp/candidate/detail/nakada-hiroshi.html

#参院選 #候補予定者",[],https://i.ytimg.com/vi/z7mokFK26EI/hqdefault.jpg,25,387,7,46,PT11M6S,false,自民党,参院;参院選;比例代表;自民;自民党,5
kR6o0McxTjg,2025-07-02T09:00:07Z,UCQVGAwZGA9jrH2XF7feK2xQ,自民党,【自民党の物価高対策】給付金Q&A　（2025.7.1）,"❚ 自民党の物価高対策（給付金Q&A）

給付金をスピーディーにお届けするための「デジタル給付」などについて牧島かれん 元デジタル大臣が解説！

🍀自民党の政策2025
https://special.jimin.jp/political_promise/

#自民党 #物価高対策 #牧島かれん",[],https://i.ytimg.com/vi/kR6o0McxTjg/hqdefault.jpg,25,1283,10,0,PT1M44S,false,自民党,自民;自民党,2
h2kb-Kt7J5w,2025-07-02T08:28:06Z,UCQVGAwZGA9jrH2XF7feK2xQ,自民党,【参院選候補予定者紹介】#赤池まさあき,"比例代表は様々な職種の代表、各分野のスペシャリストです。
多様な経歴を持つ自民党の比例代表候補予定者を紹介します。
ぜひ、ご覧ください！

＜長尾たかし 候補予定者＞
00:00 オープニング
00:29 自己紹介
01:29 赤池まさあきの実績
03:22 赤池まさあきのPR
05:25 赤池まさあきの政策
10:55 赤池まさあきの想い
11:49 赤池まさあきの素顔
13:23 赤池まさあきから皆さまへメッセージ

司会：若林洋平 参議院議員

◯赤池まさあき候補予定者情報
https://special.jimin.jp/candidate/detail/akaike-masaaki.html

#参院選 #候補予定者",[],https://i.ytimg.com/vi/h2kb-Kt7J5w/hqdefault.jpg,25,208,7,23,PT14M11S,false,自民党,参院;参院選;比例代表;自民;自民党,5
NcQ1cnF1yIU,2025-07-01T08:13:28Z,UCghxR0rXQOH31bZwzTBY-yw,立憲民主党,小川幹事長全国遊説　小沼巧参院議員　  #茨城 #小川淳也 #立憲民主党 #政治,"◆チャンネル登録＆高評価お願いします！◆
https://www.youtube.com/channel/UCghxR0rXQOH31bZwzTBY-yw

これからも立憲民主党をよろしくお願いいたします。

◆立憲民主党国会情報
 https://www.youtube.com/@cdp_kokkai

◆立憲民主党 X
https://twitter.com/CDP2017

◆立憲民主党 Instagram
https://www.instagram.com/cdp2019.jp/

◆立憲民主党 TikTok
https://www.tiktok.com/@cdp_rikkenminshu

◆立憲民主党 LINE
https://page.line.me/rikken?openQrModal=true

◆立憲民主党 Facebook
https://www.facebook.com/rikkenminshu","['政治', '立憲', '民主主義', '選挙', '社会問題', '国会', '自民党', '公明党', '国民民主党', 'れいわ', '衆議院', '参議院', '政治ニュース', '参政党', '共産党', '議員']",https://i.ytimg.com/vi/NcQ1cnF1yIU/hqdefault.jpg,25,2106,108,6,PT1M16S,false,立憲民主党,公明党;参政党;参院;国民民主党;立憲民主党;自民;自民党,7
OKJGGuMi2sQ,2025-07-01T08:27:14Z,UCghxR0rXQOH31bZwzTBY-yw,立憲民主党,【本格始動】立憲民主党「党外交推進本部」　日韓国交正常化60周年、韓国大使が講演,"立憲民主党の「党外交推進本部」が本格始動！
第1回会合には、本部長の野田佳彦代表、大串博志代表代行、小川淳也幹事長、源馬謙太郎国際局長らが出席し、設立趣旨、役員体制、今後の活動計画を確認しました。

後半では、日韓国交正常化60周年をテーマに、駐日韓国大使のパク・チョルヒ氏を迎え、特別講演が行われました。

日韓関係はどこへ向かうのか？
新しい韓国政権の外交姿勢は？
政党間外交でできることとは？

日韓関係の今とこれからを多角的な視点でお届けします。ぜひ動画でご覧ください！

🔗 関連記事はこちら
【談話】韓国大統領選挙における李在明氏の当選に際して
https://cdp-japan.jp/news/20250604_9314
党外交推進本部が本格始動　―　日韓国交正常化60周年で韓国大使が講演
https://cdp-japan.jp/news/20250617_9390

◆チャンネル登録＆高評価お願いします！◆
https://www.youtube.com/channel/UCghxR0rXQOH31bZwzTBY-yw

これからも立憲民主党をよろしくお願いいたします。

◆立憲民主党国会情報
 https://www.youtube.com/@cdp_kokkai

◆立憲民主党 X
https://twitter.com/CDP2017

◆立憲民主党 Instagram
https://www.instagram.com/cdp2019.jp/

◆立憲民主党 TikTok
https://www.tiktok.com/@cdp_rikkenminshu

◆立憲民主党 LINE
https://page.line.me/rikken?openQrModal=true

◆立憲民主党 Facebook
https://www.facebook.com/rikkenminshu","['政治', '立憲', '民主主義', '選挙', '社会問題', '国会', '自民党', '公明党', '国民民主党', 'れいわ', '衆議院', '参議院', '政治ニュース', '参政党', '共産党', '議員']",https://i.ytimg.com/vi/OKJGGuMi2sQ/hqdefault.jpg,25,1168,93,18,PT3M37S,false,立憲民主党,公明党;参政党;国民民主党;立憲民主党;自民;自民党,6
vIfsiVe3mng,2025-07-01T08:13:32Z,UCghxR0rXQOH31bZwzTBY-yw,立憲民主党,小川淳也幹事長全国遊説　牧山ひろえ参院議員　#神奈川  #政治   #消費税 #小川淳也 #立憲民主党,"◆チャンネル登録＆高評価お願いします！◆
https://www.youtube.com/channel/UCghxR0rXQOH31bZwzTBY-yw

これからも立憲民主党をよろしくお願いいたします。

◆立憲民主党国会情報
 https://www.youtube.com/@cdp_kokkai

◆立憲民主党 X
https://twitter.com/CDP2017

◆立憲民主党 Instagram
https://www.instagram.com/cdp2019.jp/

◆立憲民主党 TikTok
https://www.tiktok.com/@cdp_rikkenminshu

◆立憲民主党 LINE
https://page.line.me/rikken?openQrModal=true

◆立憲民主党 Facebook
https://www.facebook.com/rikkenminshu","['政治', '立憲', '民主主義', '選挙', '社会問題', '国会', '自民党', '公明党', '国民民主党', 'れいわ', '衆議院', '参議院', '政治ニュース', '参政党', '共産党', '議員']",https://i.ytimg.com/vi/vIfsiVe3mng/hqdefault.jpg,25,1998,88,1,PT1M32S,false,立憲民主党,公明党;参政党;参院;国民民主党;立憲民主党;自民;自民党,7
0nIXTa73nSY,2025-07-02T12:09:07Z,UCghxR0rXQOH31bZwzTBY-yw,立憲民主党,7月2日 立憲ライブSP「物価高から、あなたを守り抜く」岡田華子×おおつき紅葉×村田きょうこ,"参院選が迫る中、「立憲ライブ」をスペシャル配信します。岡田華子衆院議員を迎え、お話します。ぜひ、ご覧ください。
＝＝＝
ゲスト：岡田華子衆院議員
司会進行：おおつき紅葉衆院議員、村田きょうこ参院議員

◆チャンネル登録＆高評価お願いします！◆
https://www.youtube.com/channel/UCghxR0rXQOH31bZwzTBY-yw

これからも立憲民主党をよろしくお願いいたします。

◆立憲民主党国会情報
 https://www.youtube.com/@cdp_kokkai

◆立憲民主党 X
https://twitter.com/CDP2017

◆立憲民主党 Instagram
https://www.instagram.com/cdp2019.jp/

◆立憲民主党 LINE
https://page.line.me/rikken?openQrModal=true

◆立憲民主党 Facebook
https://www.facebook.com/rikkenminshu",[],https://i.ytimg.com/vi/0nIXTa73nSY/hqdefault.jpg,25,1103,120,6,PT33M4S,false,立憲民主党,参院;参院選;立憲民主党,3
mhuWGEal_dU,2025-06-30T20:35:45Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,令和7年6月30日(月) 15:30〜 第27回参議院議員通常選挙マニフェスト発表会 生中継,"★★★★★　チャンネル登録お願いします　★★★★★

2025年参院選マニフェストやコア・ポリシー、政策集は以下よりご覧いただけます。
https://o-ishin.jp/policy/

日　時：2025年6月30日(月) 15:30～
出席者：代表 #吉村洋文、政務調査会長 #青柳仁士、総務会長 #阿部司


【 関連URL 】
日本維新の会 HP：https://o-ishin.jp/
日本維新の会 YouTube：https://www.youtube.com/@OishinJpn
日本維新の会 X(Twitter)：https://twitter.com/osaka_ishin
日本維新の会 Facebook：https://www.facebook.com/nipponishinn...
日本維新の会 Instagram：https://www.instagram.com/nippon.ishin/
日本維新の会 LINE：https://page.line.me/693ijysx


#日本維新の会
#社会保障改革
#社会保険料から暮らしを変える","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/mhuWGEal_dU/hqdefault.jpg,25,10773,511,81,PT1H54M10S,false,日本維新の会,れいわ新選組;伸二;公明党;参院;参院選;国民民主党;大阪;日本維新の会;玉木;石丸;石破;立憲民主党;自民;自民党;茂;雄一郎,16
uumMr9t8SA8,2025-07-02T12:01:04Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【1日密着】佐々木りえ大阪支部長に聞く、子育て世代の課題解決！long ver.,"【日本維新の会 参議院大阪府選挙区支部長】
＃佐々木りえ さんの1日に密着！

「政策を実現するためにやるべきこと」
について語っていただきました。

佐々木りえ
X（旧twitter）：https://x.com/sasaki_rie","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/uumMr9t8SA8/hqdefault.jpg,25,6554,45,7,PT6M23S,false,日本維新の会,れいわ新選組;伸二;公明党;国民民主党;大阪;日本維新の会;玉木;石丸;石破;立憲民主党;自民;自民党;茂;雄一郎,14
QXSqnlQboDE,2025-07-01T08:00:27Z,UCWt-OZ_PzMvXHijm9J87zKQ,日本維新の会,【妻が残してくれた言葉】シングルファーザーとして活動する吉平さんの国政挑戦を後押し #日本維新の会 #吉平としたか #社会保険料を下げる改革 #社会保険料から暮らしを変える,"✅子どもたちにはいろんな人が支えてくれるんだと感じて育ってほしい
✅最後に国政挑戦を決断できたのは妻の言葉のおかげ

📺 フル版もぜひご覧ください！
https://youtu.be/u_lnq3b8OIA?si=Eebws3Wg3_sltFw9","['大阪維新の会', '大阪維新', '国民民主党', '自民党', '立憲民主党', 'れいわ新選組', '公明党', 'リハック', 'ReHacQ', '石丸伸二', '石破茂', '玉木雄一郎', '野田佳彦', 'PIVOT', 'ひろゆき', '古舘伊知郎', 'abema', '堀江貴文', 'ホリエモン', 'プライムニュース', '松井一郎', '橋下徹', '日本維新', '国民民主', '自民', '立憲', '維新の会']",https://i.ytimg.com/vi/QXSqnlQboDE/hqdefault.jpg,25,7479,192,4,PT50S,false,日本維新の会,れいわ新選組;伸二;公明党;国民民主党;大阪;日本維新の会;玉木;石丸;石破;立憲民主党;自民;自民党;茂;雄一郎,14
