id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count
v2HbWWY9EbI,2025-07-02T08:14:06Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,参院選公示直前　与野党8党 党首討論会【ノーカット】,3日公示される参院選を前に、日本記者クラブ主催の党首討論会が開かれ、与野党の8党首が参加しました。討論会では物価高対策のほか、「政治とカネ」問題、コメ価格の高騰を巡る農業政策などについて論戦を繰り広げました。,[],https://i.ytimg.com/vi/v2HbWWY9EbI/hqdefault.jpg,25,198936,3635,1373,PT2H10M46S,false,テレ東Biz,参院;参院選,2
WIkqrjhgE_o,2025-06-30T15:04:30Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,麻生･岸田･茂木氏が会食　参院選など意見交換か【WBS】,"自民党の麻生最高顧問と岸田前総理、茂木前幹事長が今夜、都内の日本料理店で会食しました。3人は7月3日に公示される参議院選挙の情勢や、選挙後を見据えた政治情勢について意見交換したとみられます。3人での会合は1カ月ぶりで今年に入って3回目です。

#自民党  #麻生太郎  #岸田文雄  #茂木敏充  #参院選

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら（無料でお試し）▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/WIkqrjhgE_o/hqdefault.jpg,25,17754,147,154,PT27S,false,テレ東Biz,参議院選挙;参院;参院選;自民,4
EvgEPHf67Ek,2025-07-01T09:00:19Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,なぜ投票用紙への記入は鉛筆なの？ボールペンや油性ペンの方が不正防止によいのでは？【選挙のギモン１４】#shorts #いま知りたい１００のギモン #参院選 #政治 #選挙 #参議院選挙,"簡単には消えないボールペンや油性ペンの方が
不正防止によいのでは？
選挙や政治に関する「いま知りたい100のギモン」。
酒井春樹記者がサクッと解説します！

解説者：酒井春樹（政治部記者）",[],https://i.ytimg.com/vi/EvgEPHf67Ek/hqdefault.jpg,25,31353,352,68,PT1M11S,false,テレ東Biz,参議院選挙;参院;参院選;投票,4
JlhO-8oSnVY,2025-07-02T00:56:53Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,自公「過半数」が焦点　参院選あす公示【日経モープラFT】,"2025年7月2日放送のＢＳテレ東「日経モーニングプラスＦＴ」より、特集の一部をYouTubeで配信します。
▼フルバージョンは「テレ東BIZ」で配信中▼
https://txbiz.tv-tokyo.co.jp/plusft/clips?utm_source=youtube&utm_medium=video&utm_campaign=plusft_yt

▼「テレ東BIZ」会員登録はこちら▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=plusft_yt

あす公示される参院選を展望します。都議選や世論調査から選挙情勢を読むほか、「給付」か「消費減税」か、与野党で対立する物価高対策など政策論争の焦点も専門家と考えます。

【出演者】
末武里佳子（キャスター）
豊嶋広（ＢＳテレ東解説委員）
石川奈津紀（キャスター）
桜庭薫（FTキャスター）
白鳥浩（法政大学）

#参院選　#公示　#自民党　#公明党　#少数与党　#日本経済新聞　#改選過半数　#世論調査　#小泉進次郎　#野党　#国民民主党　#参政党　#日本維新　#給付　#減税　#コメ

ＢＳテレ東「日経モーニングプラスＦＴ」番組HP
https://www.bs-tvtokyo.co.jp/mplusft/",[],https://i.ytimg.com/vi/JlhO-8oSnVY/hqdefault.jpg,25,10432,86,46,PT5M23S,false,テレ東Biz,参院;参院選;改選;自民,4
TU5kBEWctDc,2025-07-01T01:52:54Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,麻生･岸田･茂木氏が会食 #shorts #自民党 #麻生太郎  #岸田文雄  #茂木敏充  #参院選,2025年6月30日放送のニュース,[],https://i.ytimg.com/vi/TU5kBEWctDc/hqdefault.jpg,25,17156,74,19,PT25S,false,テレ東Biz,参院;参院選;自民,3
AXedUtk1d0g,2025-07-01T12:30:14Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,自民党と公明党が仲たがいすることはあるの？（篠原WBSデスク解説）【ギモン15】,"「参院選“100のギモン”」テレ東BIZならCM無しでイッキ見！
https://txbiz.tv-tokyo.co.jp/specials?id=259&utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

【緊急企画】イスラエルとイランは今後どうなる？池上彰×佐藤優 軍事衝突について語りつくす
https://www.youtube.com/watch?v=oJy4G_TXIUw

「テレ東BIZ」会員登録はこちら（8月8日まで初回登録14日間無料！）
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=senkyo2025

連立を組んで歴史が長い自民党と公明党のイメージですが、このふたつの党が仲たがいすることはあるの？そんなギモンを (名無し) さん からいただきました。前官邸キャップの篠原裕明WBSデスクがお答えします！政策から政局、豆知識まで、「いま知りたい“100のギモン”」に答えます。

解説者：篠原裕明（WBSデスク）

#篠原裕明 #自民党 #公明党  #連立 #政治 #選挙 #参院選 #いま知りたい１００のギモン #１００解説",[],https://i.ytimg.com/vi/AXedUtk1d0g/hqdefault.jpg,25,6882,133,23,PT11M4S,false,テレ東Biz,参院;参院選;自民,3
aGbSFeWJPvc,2025-07-02T08:51:03Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,参院選公示前に8党首が討論　20日投開票,"参議院選挙が3日、公示されるのを前に与野党8党の党首が日本記者クラブ主催の討論会に臨み、論戦を繰り広げました。
自民・石破総理「一番重要なのは賃上げ。高い賃上げが実現できているがまだ十分ではない。再分配ということをきちんと考えたい」
立憲・野田代表「値上げラッシュが続いている。ここに歯止めをかけるために食料品ゼロ税率は有効な施策。赤字国債は発行しない」
維新・吉村代表「社会保険料が高すぎる、負担が大きすぎる。次の子供たち孫たちにもさらに何もしなければ大きな負担がかかる。次世代に対しても責任ある政治をしたい」
公明党・斉藤代表「物価高を乗り越える経済と社会保障の構築を掲げた。私たちはそのために減税も給付も行う」
国民・玉木代表「現役世代つまり支える側の支える力を強く太くすることによって年金も増えるし高齢者も安心できる社会をつくっていきたい」
共産・田村委員長「物価高騰から暮らしをどう守るかが大争点になる。参議院でも自公少数に追い込むため共闘にも力を尽くす」
れいわ・山本代表「問題は物価高だけではない。徹底した需要の喚起、消費税の廃止、そしてそれが実現するまでの繋ぎの給付金10万円が必要」
参政・神谷代表「国民の暮らしを守り、希望と夢を持てる日本を取り戻したい。減税と積極財政をしっかりやって移民や外国人に頼らない国家運営を参政党が中心になって提言していきたい」
参院選にはこのほか、日本保守党、社民党、NHK党、再生の道、チームみらいも候補者を擁立する予定です。参院選は3日公示され、7月20日に投開票されます。

＃参院選　＃参院選公示　＃参院選投開票　＃党首討論　＃8党首討論　＃日本記者クラブ　＃参院選争点

仕事や投資に役立つ経済メディア『テレ東BIZ』。
WBSやモーサテほか、他では見られない記者解説やオリジナル番組が充実

▼▼「テレ東BIZ」はこちら▼▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video",[],https://i.ytimg.com/vi/aGbSFeWJPvc/hqdefault.jpg,25,10047,115,77,PT2M29S,false,テレ東Biz,候補者;参議院選挙;参院;参院選;山本;玉木;石破;神谷;自民,9
lqHip1qIn58,2025-07-01T01:42:05Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,5夜連続シリーズ what happens NEXT 「成長戦略不在」参院選の行方は【NIKKEI NEWS NEXT】,"2025年6月30日放送のＢＳテレ東「NIKKEI NEWS NEXT」より、特集の一部をYouTubeで配信します。
▼フルバージョンは「テレ東BIZ」で配信中▼
https://txbiz.tv-tokyo.co.jp/nikkeinext?utm_source=youtube&utm_medium=video&utm_campaign=nnn_yt

▼「テレ東BIZ」会員登録はこちら▼
https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video&utm_campaign=nnn_yt

世界の政治経済の不確実性が高まるなか、日本はその進路をどこに見いだせばよいのでしょうか。第1夜は与野党の物価高対策が大きな争点となっている参院選と選挙後の永田町の動きについて、政策研究大学院大学の竹中治堅教授とニッセイ基礎研究所の矢嶋康次エグゼクティブ・フェローが議論します。

#参院選　#矢嶋康次　#竹中治堅　#物価高対策　#政治経済　#石破総理　#給付金　#消費税減税",[],https://i.ytimg.com/vi/lqHip1qIn58/hqdefault.jpg,25,2719,30,11,PT9M44S,false,テレ東Biz,参院;参院選;石破,3
50hf82S1yD8,2025-07-01T07:00:10Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,今回の参院選、東京選挙区は１人当選者が多いって本当？【選挙のギモン１３】#shorts #いま知りたい１００のギモン #参院選 #政治 #選挙 #参議院選挙,"参院選の東京選挙区は定数６のところ、
今回は一人多い「７」…一体なぜ？
選挙や政治に関する「いま知りたい100のギモン」。
前官邸キャップの篠原裕明WBSデスクがショート解説します！

解説者：篠原裕明（WBSデスク）",[],https://i.ytimg.com/vi/50hf82S1yD8/hqdefault.jpg,25,8161,90,3,PT1M27S,false,テレ東Biz,参議院選挙;参院;参院選;東京,4
ui1mG2CG9kY,2025-07-01T03:35:29Z,UCkKVQ_GNjd8FbAuT6xDcWgg,テレ東BIZ,本名じゃなくても選挙に出られるの？【選挙のギモン１２】#shorts #いま知りたい１００のギモン #参院選 #政治 #選挙 #参議院選挙 #アントニオ猪木,"公職選挙法施行令では本名でなければならないとされていますが
芸名の議員がいるのはなぜ？
選挙や政治に関する「いま知りたい100のギモン」。
川崎海月記者がサクッと解説します！

解説者：川崎海月（テレビ東京　政治部記者）",[],https://i.ytimg.com/vi/ui1mG2CG9kY/hqdefault.jpg,25,9250,89,5,PT1M8S,false,テレ東Biz,参議院選挙;参院;参院選;東京,4
