id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel,matched_terms,matched_count
84jM9hVCZRY,2025-07-03T01:18:48Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,「貿易で日本は不公平」トランプ大統領また批判　減税法案上院可決で強気に【知ってもっと】【グッド！モーニング】(2025年7月3日),"　関税を巡って連日、日本を名指しして批判しているアメリカのトランプ大統領。アメリカ国内では、巨額の財政赤字が予想される減税法案が審議されています。双方の関連が指摘されています。

■連日の日本批判…トランプ氏の真意は？

　「ベトナムと関税協議で合意しました」と日本時間の2日深夜、SNSに投稿したトランプ大統領。ベトナムに対する相互関税率は46％としていましたが、20％の関税にする代わりにベトナムはアメリカ製品の関税をゼロにするといいます。

　トランプ政権が定めた相互関税上乗せ分の一時停止期間が来週9日に迫るなか、成果が見えぬまま日米の関税協議は後回しにされそうな状況になってきました。

石破茂総理大臣
「本当に真摯な国益をかけた交渉を続けている。今もその状況であると認識をしております」

　連日、日本への不満をぶちまけ始めたトランプ大統領。1日、やり玉に挙げたのはコメについてです。

「日本はコメ不足ですが、コメを買おうとしません。是が非でもコメが必要なのに買おうとしません」

　小泉進次郎農水大臣は次のように述べました。

「まず（コメへの）関税は700％もないですし、あまりにも日本の米価が高くて、アメリカも含めて海外のコメが昨年と比べて120倍入っている」

　7回にわたって続けられてきた日米協議。トランプ大統領が赤沢大臣と面会するなど、当初、優先順位はトップグループにありましたが、次のような発言もありました。

「貿易において、日本はとても不公平なことをしてきました。それはもう終わります」

　トランプ大統領の発言の真意はどこにあるのでしょうか。

みずほリサーチ＆テクノロジーズ
小野亮調査部プリンシパル
「非常にタフだと。日本は自動車関税の撤回を崩さない、コメの市場開放はテーブルにのせていないということだと思う。（今後）日本に親書が送られる形になるんじゃないかと。それを踏まえて（日本から）返事を待つ態度なんじゃないか」

■アメリカの大型減税法案が僅差で可決

　トランプ大統領が強硬な態度に転じた裏には、アメリカ議会の動きがあります。

バンス副大統領
「賛成50票・反対50票で同数ですが、副大統領は賛成に投票します。法案は可決されました」

　1日に上院で可決されたのは、トランプ大統領肝いりの減税法案です。

　共和党から3人が造反するなか、かろうじて可決されました。

イーロン・マスク氏の投稿
「このばかげた法案が可決すれば、翌日にアメリカ党が結成されるでしょう」

　法案が成立すれば、莫大（ばくだい）な財源が必要となりますが、世界からの関税収入が解決策の一つだと専門家は指摘します。

小野調査部プリンシパル
「関税をかければ、アメリカの財政収入になる。歳入になってきます。関税収入によって赤字の増え方、米国債の債務残高の増え方を和らげる可能性はあるわけです」

（「グッド！モーニング」2025年7月3日放送分より）
[テレ朝NEWS] https://news.tv-asahi.co.jp","['ニュース', 'テレビ朝日', 'provided', 'ニュース企画', '本編のみ', 'GM7', 'トランプ関税ショック']",https://i.ytimg.com/vi/84jM9hVCZRY/hqdefault.jpg,25,119346,488,742,PT4M24S,False,ANNnewsCH,投票;石破;茂,3.0
gl8KdiOCWUU,2025-07-03T01:47:21Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【朝ニュースライブ】最新ニュースと生活情報（7月3日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・参議院選挙、3日公示　20日の投開票に向け選挙戦スタート
・鹿児島・トカラ列島近海で地震相次ぐ　十島村で1日に2度も震度5弱
・大津市高層マンション夫婦殺傷　公開手配の50歳息子、遺体で見つかる
・小学校教室に盗撮目的で侵入か　同校教諭の男を逮捕…学校では臨時保護者会　埼玉・所沢市
・米とベトナム　関税協議で合意
・エルメス「バーキン」原型のバッグがオークションに

ほか

◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn　#事件　#事故　#参議院選挙　#地震　#鹿児島県　#トカラ列島　#、滋賀県　#大津市　#埼玉県　#所沢市　#アメリカ　#ベトナム　#関税協議　#エルメ　#バーキン","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/gl8KdiOCWUU/hqdefault.jpg,25,76742,165,3,PT5H31M22S,False,日テレNEWS,参議院選挙,1.0
QywLKTSoa1Q,2025-07-02T15:00:06Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,"参議院選挙だが｢政権選択｣にも…""勝利のカギ""を握るのは1人区？【7月2日(水)#報道1930】｜TBS NEWS DIG","7月2日(水)に放送されたBS-TBS「報道1930」の番組内容を配信します。

『参議院選挙だが｢政権選択｣にも…""勝利のカギ""を握るのは1人区？』
▽“勝利のカギ”握るのは1人区？票の分散回避のため野党が進めた候補一本化の舞台裏
▽「大変なのは国会運営だった」元“総理の女房役”が振り返る少数与党の悲哀
▽都議選で“大敗”の自民が恐れる新興勢力、参院選でも台風の目？

#田﨑史郎（政治ジャーナリスト）
#久江雅彦（共同通信 特別編集委員）
#米重克洋（JX通信代表）

#参議院選挙　#1人区　#少数与党　#政権選択　#保守層

詳しくはHPへ👇
https://bs.tbs.co.jp/houdou1930/
インスタグラムはこちら👇
http://instagram.com/houdou1930/
TikTokはこちら👇
http://tiktok.com/@bstbs1930


▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig","['ニュース', 'NEWS', 'TBS', 'NEWSDIG', 'TBSNEWSDIG', '報道', '最新ニュース']",https://i.ytimg.com/vi/QywLKTSoa1Q/hqdefault.jpg,25,71552,520,244,PT1H7M22S,False,TBS NEWS DIG Powered by JNN,参議院選挙;参院;参院選;自民,4.0
jqLRnUKgffo,2025-07-03T03:47:18Z,UCWnOKASPkCBEL-_O8odMvtg,メ〜テレニュース,参院選が公示され立候補の受け付け始まる　東海3県では計24人が立候補　投開票は20日 (25/07/03 12:10),"参議院選挙が3日に公示され、これまでに東海3県で合わせて24人が立候補しています。（3日午後0時現在）

　愛知・岐阜・三重のそれぞれの県庁では、午前8時半に立候補の受け付けが始まりました。

　改選数4の愛知選挙区では、届け出順に14人が立候補しています。

　前回と同様に自民、公明、立憲、国民が議席を確保するのか。

　それとも別の勢力が議席を獲得するのか、注目が集まります。

　改選数1の岐阜選挙区では現職は立候補せず、届け出順に新人6人が立候補しています。

　改選数1の三重選挙区では届け出順に、諸派の新人・橋本博幸氏(42)、自民党の現職・吉川有美氏(51)、立憲民主党の新人・小島智子氏(64)、参政党の新人・難波聖子氏(45)の4人が立候補しています。

　「NHK党なので、NHK問題に対して問題を抱えている人の問題を解決していくという政策でやっていく」(諸派・新　橋本博幸氏)

　「三重県の中で特に北は、インフラ予算がついてこなかった。三重県全体の発展に、生活に経済に大きな支障をもたらす。これを何とかしないと」(自民・現　吉川有美氏)

　「人口減少は待ったなしのところに来ているのに、その子どもたちすら支えきれない。こんな国の政治をこのまま続けさせていいとは、とても思わない」(立憲・新　小島智子氏)

　「日本人の生活を守ろうと、日本の国益を守ろうと、日本を景気回復させていかなければいけません。そのために大幅な減税をして、国民の手元に残るお金を増やす」(参政・新　難波聖子氏)

　立候補の受け付けは午後5時に締め切られ、20日に投開票です。","['三重県', '参議院選挙', '参院選', '参院選公示', '岐阜県', '愛知県', '東海3県']",https://i.ytimg.com/vi/jqLRnUKgffo/hqdefault.jpg,25,63513,285,401,PT2M3S,False,自民党,,
imo9Y5XZHU4,2025-07-03T02:29:36Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,【LIVE】朝のニュース（Japan News Digest Live）最新情報など｜TBS NEWS DIG（7月3日）,"7月3日（木）の早朝から TBS NEWS で放送された最新のニュースをダイジェストでお届けします。

・十島村 震度5弱「今後も想定を」
・学歴詐称疑惑　伊東市長が会見で釈明
・悪質ホスト問題　大学で注意喚起
・参議院選挙 きょう公示「物価対策」など争点に
・トランプ大統領「ベトナムと関税交渉で同意」発表
・昨年度の国の税収　75.2兆円　5年連続で過去最高を更新
・農水省が公表　精米能力の調査結果「相当余力ある」
・ダライ・ラマ14世「転生」存続表明　中国政府は反発
・妻殺害の罪で1審懲役19年　元長野県議の男　改めて無罪主張
・噴火続く新燃岳　2800メートルまで噴煙上がる
・パリ 5年ぶりの熱波警報
・「サンシャイン60」にある法律事務所で従業員男性刺殺事件　逮捕の男「職場で嫌がらせ受けた」
・所沢市内の小学校教員逮捕　盗撮目的で教室侵入か
・イラン IAEAへの協力停止　核施設の査察などを制限か
・ガソリン価格2週連続値上がり

▼TBS NEWS DIG 公式サイト
https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html","['NEWS', 'ニュース', 'TBSNEWS', '報道', '日本', 'Japan', '最新ニュース', 'japan', 'live', 'tbs', 'livenews']",https://i.ytimg.com/vi/imo9Y5XZHU4/hqdefault.jpg,25,63330,197,1,PT16M5S,False,TBS NEWS DIG Powered by JNN,参議院選挙,1.0
9pXuxXxYJP0,2025-07-03T03:41:39Z,UCQhaZjODkIjuv38d-i5TVRw,カンテレNEWS,【参院選・京都選挙区】長らく議席を守ってきた自民党と共産党の現職2人　野党の新人7人が挑む　激戦に (2025/07/03 12:21),"今月20日に投開票が行われる参議院議員選挙がきょう＝3日公示されました。

京都選挙区は、現職2人が議席を守れるかが焦点となっています。

2議席を争う京都選挙区では、長らく議席を守ってきた自民党と共産党の現職2人に、新人7人が挑む激戦となっています。

■自民・現職・西田昌司候補

4回目の当選を目指す自民党の現職・西田昌司さん（66）。

沖縄の”ひめゆりの塔”の展示について「歴史の書き換え」などと発言し、その後撤回に追い込まれるなど、逆風の中での選挙戦となっています。

【自民・現職・西田昌司候補（66）】「大きな大きな嵐と風が私の前に立ちふさがっています。一緒に日本を取り戻すために、どうか私に力を与えてください」

■共産・現職・倉林明子候補

そんな西田さんを厳しく批判するのが、3回目の当選を目指す共産党の現職・倉林明子さん（64）です。

【共産・現職・倉林明子候補（64）】「暮らしの悲鳴が渦巻いております。この物価高に最も効き目がある、消費税の減税、５％をなんとしても実現したい」

""党勢低下""の声が聞かれる共産党の「宝の議席」を守りたい倉林さんに対し、政権批判の票を奪い合うのが、野党の新人候補たちです。

■立憲・新人・山本和嘉子候補

【立憲・新人・山本和嘉子候補（57）】「消費税8％、食料品をゼロにする。今の政治を変えないとこれは実現しないと思っている」

■日本維新の会・新人・新実彰平候補

【日本維新の会・新人・新実彰平候補（36）】「4歳と6歳の子供を育てる子育て世代ど真ん中として、子育てをしやすい国、社会全体で子供をははぐくんでいく国、これをしっかりと責任をもって皆さんに提示をできるのは、日本維新の会だと思っています」

■国民民主党・新人・酒井常雄候補

【国民民主党・新人・酒井常雄候補（63）】「手取りを増やす夏にしたい。皆さんに国民民主党がお約束することなんです。（所得税の課税最低限）『178万円』を諦めません。これは国民の皆さん、京都府民の皆さん、市民の皆さんの声なんですよ」

■れいわ新選組・新人・西郷南海子候補

【れいわ新選組・新人・西郷南海子候補（37）】「消費税廃止をまっこうから訴え、かつ「家計が第一」という所に真剣に向き合っている候補者は、わたくし西郷南海子1人である！と、ここに宣言します」

■参政党・新人・谷口青人候補

【参政党・新人・谷口青人候補（46）】「私たち参政党は、日本人ファーストの政策これを選挙戦の中でしっかりと訴えて、皆さんが安心して豊かに暮らせる街、そして国を作るために精一杯やらさせていただきます」

■諸派・新人・木村嘉孝候補、無所属・新人・二之湯真士候補

このほか諸派の新人、木村嘉孝さん（50）、無所属の新人、二之湯真士さん（46）が立候補を届け出ています。",[],https://i.ytimg.com/vi/9pXuxXxYJP0/hqdefault.jpg,25,47924,308,387,PT2M48S,False,自民党,,
rcKFIzFmJ4U,2025-07-03T09:58:52Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【夕ニュースライブ】最新ニュースと生活情報（7月3日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・参院選きょう公示　最大の争点は「物価高対策」
・西日本を中心に危険な暑さ続く　激しい雷雨にも注意
・「平和の好循環はいくらでも可能」韓国・李大統領、南北関係改善に改めて意欲
・逮捕の教諭　児童の着替えの直前に教室にスマホ置いたか
・約10か月にわたり同じ女子高校生に電車内で痴漢か　男を逮捕
・「誠意があるなら」“示談交渉”で女性呼び出しわいせつか　男逮捕
・イスラム組織ハマスが声明　改めてイスラエル軍の撤退を要求
・米とベトナム　関税協議で合意
・ダライ・ラマ14世、後継者選びに輪廻転生の制度継続する意向　中国は政府承認必要とけん制


◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn　#事件　#事故　#トランプ大統領　#追加関税　#愛知県　#中国　#日本産水産物　#NNN　#読売新聞　#世論調査　#自民党　#青森県　#介護士　#東京都","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/rcKFIzFmJ4U/hqdefault.jpg,25,27597,72,2,PT2H30M37S,False,日テレNEWS,参院;参院選;東京;自民,4.0
BFuQhcvL-eU,2025-07-03T03:05:35Z,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,【最新ニュースライブ】最新ニュースと生活情報（7月3日） ──THE LATEST NEWS SUMMARY（日テレNEWS LIVE）,"・メンバーシップ「日テレNEWSクラブ」始まりました
月額290円で所属歴に応じ色が変化しステータスアップしていくバッジ特典や、ライブ配信のチャットで使えるスタンプなどの基本機能が特典となります!! 
https://www.youtube.com/channel/UCuTAXTexrhetbOe3zgskJBQ/join

【ラインアップ】
・参議院選挙、3日公示　20日の投開票に向け選挙戦スタート
・鹿児島・トカラ列島近海で地震相次ぐ　十島村で1日に2度も震度5弱
・大津市高層マンション夫婦殺傷　公開手配の50歳息子、遺体で見つかる
・小学校教室に盗撮目的で侵入か　同校教諭の男を逮捕…学校では臨時保護者会　埼玉・所沢市
・米とベトナム　関税協議で合意
・エルメス「バーキン」原型のバッグがオークションに

ほか


◇日本テレビ報道局のSNS
X（旧Twitter）　https://twitter.com/news24ntv
TikTok　https://www.tiktok.com/@ntv.news
Facebook　https://www.facebook.com/ntvnews24
Instagram　https://www.instagram.com/ntv_news24/?hl=ja

◇【最新ニュース配信中】日テレNEWS  
https://news.ntv.co.jp/

#日テレ​​　#ニュース​　#live　#まとめ　#ntv　#live　#日テレnewsnnn　#事件　#事故　#トランプ大統領　#追加関税　#愛知県　#中国　#日本産水産物　#NNN　#読売新聞　#世論調査　#自民党　#青森県　#介護士　#東京都","['news', 'ニュース', '日テレNEWS', '日テレ', '最新情報', 'NEWS', '事件', '事故', '地震', '政治', '社会', '国際', '首相', '大統領', 'news_ntv', 'latest news', 'live', 'ライブ', 'まとめ', 'UCuTAXTexrhetbOe3zgskJBQ', '日本テレビ', '日本', 'Japan', 'Tokyo', 'NTV', '報道', '@ntv_news']",https://i.ytimg.com/vi/BFuQhcvL-eU/hqdefault.jpg,25,17024,65,5,PT1H29M59S,False,日テレNEWS,参議院選挙;東京;自民,3.0
45DZMgyy4tE,2025-07-03T10:29:04Z,UCoQBJMzcwmXrRSHBFAlTsIw,FNNプライムオンライン,NHK党・前田太一氏の選挙ポスターめぐり立憲・石垣のり子議員が刑事告訴　県警が告訴状を即日受理　参院選宮城選挙区,"参議院選挙、宮城選挙区から立候補した立憲民主党の現職・石垣のり子氏が、NHK党から立候補した前田太一氏を刑事告訴しました。

NHK党から立候補した前田太一氏の選挙ポスターには、石垣のり子氏の過去の週刊誌報道について書かれています。

これについて、石垣氏は事実無根だと訴えていて、3日、代理人弁護士を通じて、県警に名誉毀損の疑いで告訴状を提出しました。

これに対して前田氏は、「候補者を判断する上で重要な事柄」などと述べています。

県警は告訴状を即日受理していて、今後、本格的な捜査を進めていくことになります。

宮城選挙区では、このほか角野為耶氏（諸派・新人）、石井義人氏（れいわ・新人）、ローレンス綾子氏（参政・新人）、石川光次郎氏（自民・新人）、中村高志氏（無所属・新人）の5人が立候補しています。

FNNプライムオンライン
https://www.fnn.jp/","['ニュース', 'NEWS', 'FNN', 'FNNプライムオンライン', 'フジテレビ', 'フジテレビジョン', 'FujiTelevision']",https://i.ytimg.com/vi/45DZMgyy4tE/hqdefault.jpg,25,16571,94,147,PT1M8S,False,FNNプライムオンライン,候補者;参議院選挙;参院;参院選;自民,5.0
mAYn1dqkj4k,2025-07-03T12:43:58Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS DIG Powered by JNN,史上初“3連休の中日”に参院選「投票行かない」若い世代も…シルバー民主主義で何が起きる？【Nスタ解説】｜TBS NEWS DIG,"参議院選挙が公示され、夏の選挙戦がスタート。ただ選挙がある7月20日は史上初となる3連休の中日。懸念されるのが“投票率の低下”です。

特に若者の投票率は、前回を見ても3割程度と、どの世代よりも低いのが現状。各党はどのように若者に投票してもらうのでしょうか？

■政治もテレビも…日本は「シルバー民主主義」？

井上貴博キャスター:
「若者が投票に行かない」などと我々メディアでも多く取り上げますが、データで見ていきましょう。

【2022年 参院選】
投票率 約52％（総務省より）
▼年代別
10歳代：35.42％（約79万人）※人数比では60歳代の約8％
20歳代： 33.99％（約400万人）※人数比では60歳代の約40％
60歳代： 65.69％（約973万人）

井上キャスター:
少子高齢化で若者の分母が少ないというのもありますが、若者と60歳代以上では投票に行く人の数にやはり相当な開きがあります。

そうなると政治家の皆さんは「より多く人数がいるところに響く政策を打とうじゃないか」と。それが「シルバー民主主義」と言われているものです。

つまり投票に行く人が多い高齢者に有利な政策を優先し、投票に行く人が少ない若い世代の意見が先送りされてしまう。特にこれが顕著に出るのが日本だということが言われています。

出水麻衣キャスター:
選挙で当選するとなると、やはり高齢者の方々の票を狙いにいくのは当然の戦略になってしまうのでしょうか。

TBSスペシャルコメンテーター星浩さん:
ただ高齢者の方は大体もう投票先が決まってる方が多いんです。一方で若い人、まだ未開拓のとこありますから。最近は各党ネット戦略なんかもやっているので、一概に高齢者だけに頼ってるっていうわけではなくて、若い人をどうやって惹きつけるかというのは、最近の選挙では各党の関心事ですよね。

出水キャスター:
一方で、例えば若い層の方が流動性があるなど、そういったことはあるんですか。

TBSスペシャルコメンテーター星浩さん:
若い人は最近のネットによって関心が非常に集中的なところに動いていきますので。ただ時々フェイクニュースなんかに騙されたりする傾向もあるので。その辺はメディアの対応も試される選挙になるというのはそういう意味だと思いますね。

井上キャスター:
メディアが試されるというのは本当に日々感じていますし、政治はシルバーだと言いますが、テレビも結構一緒じゃないかと。若い皆さんもテレビを持っていませんので、多分この声は若い世代に届かない。

だから、もしご高齢の方に良いように番組作りをしていたのだとすると、それも変えなければいけないなというのは感じています。

■「長くて深い」が“カギ”　動画メディアの活用で投票行動は変わるか

井上キャスター:
若者の投票率を上げるためにはどうすればいいのか。20歳代が投票時に参考にするメディアについて聞いたアンケート調査があります。

【20歳代　投票時に参考にするメディア】

▼選挙公報：7%
▼新聞：5%
▼テレビ：19%
▼インターネット：53%

（JX通信社×選挙ドットコム 第50回衆院選最終日～投開票日 世論調査より）

山形純菜キャスター:
周りの友人の話を聞いていても、ニュースでさえネットで見るという人が多いので、そういう傾向にあると思います。

井上キャスター:
勉強になるなと思ったのが、ネット・SNSでひとくくりにしていて、確かにそれが大きな影響力を持ってるんだけれども、SNSでもいろいろあります。

例えばXもこの10年来、選挙関連のワードがわいて、それで選挙結果が変わったかというと実はそんなに変わっていない。

大きく潮目が変わったのは動画メディアで、動画メディアは本当に結果が変わってきたということで、各政党の戦略も変わってきています。

2024年10月の衆議院議員選挙の期間中、「政治系の動画」の再生回数が約2億7500万回にもなってきている。そして普通のSNSの動画は短ければ短いほど拡散力があると言われますが、正反対で長くて深いものこそ拡散力がある。

裏を返すと「テレビの映像は短いから見ないよ」という方が増えてきている。そういった背景も見えてきました。

SNS戦略が投票行動に影響を与えるのか、立命館大学の谷原つかさ准教授に聞きました。

政治に少しでも興味がある人に関しては、SNSの動画を見て投票に繋がっている可能性があるということです。例えば政党の公式YouTubeはテレビなどに比べて長時間・濃い内容を発信します。

政治に全く興味がない方でも、自分が抱える課題（賃金・物価高など）と関連する動画が流れてくれば、投票行動に影響した可能性もあるということです。

ここは因果関係ががっちりと言われていないので、可能性というところで留めてくださいというふうにおっしゃっていました。

■「質問に答えるだけ」学生が作る“政党とのマッチングサイト”

井上キャスター:
「選挙に興味がない」「よく分からない」という人でも、選挙に興味が出そうなサイトがあります。

例えば…（https://newsdig.tbs.co.jp/list/article?id=jnn-20250703-6246532）


▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/

▼チャンネル登録をお願いします！
http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1

▼情報提供はこちらから「TBSインサイダーズ」
https://www.tbs.co.jp/news_sp/tbs-insiders.html

▼映像提供はこちらから「TBSスクープ投稿」
https://www.tbs.co.jp/news_sp/toukou.html

#ニュース #news #TBS #newsdig","['ニュース', 'NEWS', 'TBS', 'NEWSDIG', 'TBSNEWSDIG', '報道', '最新ニュース']",https://i.ytimg.com/vi/mAYn1dqkj4k/hqdefault.jpg,25,14575,288,736,PT12M6S,False,TBS NEWS DIG Powered by JNN,参議院選挙;参院;参院選;投票,4.0
