id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
NQ7iFWBOPkU,2025-07-13T11:44:04Z,UCNJG9cFS3hHZtp4JXtnpc5A,日本政治TIME,選挙における開票作業について　#参院選 #マリカ #舞踊家,"「舛添要一を都知事にしたくない女たちの会」舞踊家のマリカ氏が開票立会人として関わった過去の参議院選挙の開票作業について言及しています。

元動画は既に閲覧ができなくなっておりましたので
下記より引用させていただきました。
不正選挙に関して「舛添要一を都知事にしたくない女たちの会」
https://www.youtube.com/watch?v=hIDZk0YmZDI&t
元動画
https://video.ibm.com/recorded/43507543

当チャンネルの動画は報道、新聞、ネット記事、SNSなどの情報を
もとに制作しております。
著作権には十分配慮し、引用の範囲内で使用しておりますが、
問題がございましたら著作権者様よりご連絡ください。
速やかに非公開・削除等の対応をいたします。
ご連絡先：nihon.seiji.time@gmail.com",[],https://i.ytimg.com/vi/NQ7iFWBOPkU/hqdefault.jpg,22,5558451,155556,6312,PT59S,false,
KihRlwlSPCI,2025-07-12T17:27:03Z,UCG_oqDSlIYEspNpd2H4zWhw,ReHacQ−リハック−【公式】,【石丸伸二vs高橋弘樹】再生の道にNG無し質問！※本編は30:31~になります【ReHacQvs再生の道】,"ひろゆき、成田悠輔、後藤達也…、新たな視点で経済・社会を見つめ直すビジネス動画メディア「ReHacQ」！

※音声トラブルのため本編は30:31~になります。
ご迷惑をお掛けして申し訳ございませんでした。

【あつまれ！無党派の森】
無党派層の皆さんに政党に対してNGなしで質問を募集して答えていただく番組です。
第5回は再生の道石丸伸二代表にお越しいただき、生放送でお話を伺います。

出演者：石丸伸二
　　　　高橋弘樹

▼関連動画▼
【安野たかひろvs高橋弘樹】チームみらいにNG無し質問！【ReHacQvsチームみらい】
https://youtube.com/live/Od5lilMArLU

【吉村洋文vs高橋弘樹】緊急生配信 日本維新の会にNG無し質問！【ReHacQvs日本維新の会】
https://www.youtube.com/live/_27klF6H22Q?feature=shared

【玉木雄一郎vs高橋弘樹】国民民主党にNG無し質問！朝まで生たまき【西田亮介】
https://www.youtube.com/live/CxDT2FaGi8o?feature=shared

【公明党代表vs高橋弘樹】公明党にNG無し質問！毎年数兆円の財源は？【斉藤鉄夫vsReHacQ】
https://youtu.be/LX3Ro3GwfAw?feature=shared

●ReHacQアプリ　登録お願いします！
＜無料会員登録＞
・iOS版URL
https://apps.apple.com/jp/app/rehacq/id6738078112
・Android版URL
https://play.google.com/store/apps/details?id=jp.co.tonari.rehacq
・WEB版URL
https://rehacq.com/home

＜有料会員登録はこちらから↓＞
https://rehacq.com/settings/plan-list

●Xでは今後のラインナップなどお知らせします！
https://twitter.com/ReHacQ

●番組タイアップ等のお問い合わせはこちら
https://to-na-ri.jp/

#参院選 #再生の道 #石丸伸二 #ReHacQ #リハック #ひろゆき #成田悠輔 #後藤達也","['ReHacQ', 'ReHack', 'ひろゆき', '成田悠輔', '後藤達也', '日経テレ東大学', 'リハック', '高橋弘樹', '経済', 'ビジネス', '起業', 'スタートアップ', '投資', '転職']",https://i.ytimg.com/vi/KihRlwlSPCI/hqdefault.jpg,24,604042,18632,3184,PT3H42M41S,false,
M8S21W7Dvxg,2025-07-12T15:29:41Z,UCWUM4bF8EMvJzy7iutqWWng,KeIo114,おっしゃる通りです　#石破茂 #政治 #参院選 #選挙 #アナウンサー,,[],https://i.ytimg.com/vi/M8S21W7Dvxg/hqdefault.jpg,22,2056273,36148,1604,PT9S,false,
wnkvmWVE_f8,2025-07-13T14:17:35Z,UCG_oqDSlIYEspNpd2H4zWhw,ReHacQ−リハック−【公式】,【ReHacQ討論会】参院選東京選挙区ネット討論会 第2部【高橋弘樹】,"ひろゆき、成田悠輔、後藤達也…、新たな視点で経済・社会を見つめ直すビジネス動画メディア「ReHacQ」！

7月3日告示、7月20日投票の参議院議員選挙2025
東京選挙区候補者による討論会をお届けします。

出演者（届出順）
1, 吉良 よし子（日本共産党）
2, 山本 ジョージ（れいわ新選組）
3, 小坂 英二（日本保守党）
4, みねしま 侑也（チームみらい）
5,  たけみ 敬三（自由民主党）
6, おくむら まさよし（立憲民主党）
7, 牛田 まゆ（国民民主党）
8, 奥村 よしひろ（国民民主党）
9, 吉田 あや（再生の道）
10, 鈴木 大地（自由民主党）
11, 川村 ゆうだい（公明党）
12, おときた 駿（日本維新の会）
13, 平野 雨龍（無所属）
14, 山尾 しおり（無所属）
15, ちば ひとし（日本誠真会）
16, つじ 健太郎（無所属連合）

ファシリテーター：高橋弘樹


●ReHacQアプリ　登録お願いします！
＜無料会員登録＞
・iOS版URL
https://apps.apple.com/jp/app/rehacq/id6738078112
・Android版URL
https://play.google.com/store/apps/details?id=jp.co.tonari.rehacq
・WEB版URL
https://rehacq.com/home

＜有料会員登録はこちらから↓＞
https://rehacq.com/settings/plan-list

●Xでは今後のラインナップなどお知らせします！
https://twitter.com/ReHacQ

●番組タイアップ等のお問い合わせはこちら
https://to-na-ri.jp/

#参院選 #東京都 #討論会 #ReHacQ #リハック #ひろゆき #成田悠輔 #後藤達也","['ReHacQ', 'ReHack', 'ひろゆき', '成田悠輔', '後藤達也', '日経テレ東大学', 'リハック', '高橋弘樹', '経済', 'ビジネス', '起業', 'スタートアップ', '投資', '転職']",https://i.ytimg.com/vi/wnkvmWVE_f8/hqdefault.jpg,24,541960,9776,3099,PT2H26M10S,false,
adhV79GUPwc,2025-07-13T04:00:06Z,UC7dXPammhcS6lrPzgq7WAPQ,文化人放送局,【山口敬之が参院選予言】敬之がついに自公政権の議席数を！？参政党神谷代表 が西村氏にアウトギリギリな質問とは？【文化人スペシャル特集】#山口敬之 #神谷代表,"特集された番組
ウィークエンドライブ
山口インテリジェンスアイ
西村幸祐が参政党代表に…

新チャンネル　Y.I.Eチャンネル
https://www.youtube.com/@Y.I.E-0

【この番組はYouTubeポリシーガイダンスに沿って編集しております。ノーカット版はダイアモンドクラブでご視聴下さい。】
ウィークエンドライブ
https://bunkajintv.com/membership/diamond-mov/weekendlive/



━━━━━━━━━━━━━━━━━━━━━
長尾たかしさん国政復帰への応援活動（2024〜2025年）
　https://bunkajintv.com/nagao2025/
━━━━━━━━━━━━━━━━━━━━━

【お知らせ】
①【ダイヤモンドクラブ】とは、様々な動画や配信がご視聴可能！
　「YouTube有料コンテンツ」や「独自配信コンテンツ」がご視聴可能です！
　【文化人独自取材】安倍元総理銃撃事件ドキュメンタリー映像も視聴可能
　ご登録お願いいたします。
　https://bunkajintv.com/subscription/

②【YouTubeメンバーシップ会員】のご登録
　一般公開ライブの続き、一般配信ができない動画をライブ配信
　チャットしながらご視聴をお楽しみいただけます！
　https://www.youtube.com/channel/UC7dXPammhcS6lrPzgq7WAPQ/join

③スタジオ観覧チケット一覧。銀座スタジオで生ライブをドリンク飲みながら！
　https://bunkajintv.com/column/

④制作応援支援のお願い
　https://bunkajintv.com/support/

⑤スポンサー企業様募集
　https://bunkajintv.com/sponsor/

━━━━━━━━━━━━━━━━

━━━━━━━━━━━━━━━━

【文化人放送局オフィシャルサイト】
　https://bunkajintv.com/

【Twitter】
文化人放送局　https://twitter.com/Bunkajin_tv
洋一の部屋　https://twitter.com/yoichinoheya
マンデーバスターズ　https://twitter.com/mondaybusters
かようライブ　https://twitter.com/ikarerusuri_men
文化人デジタル瓦版　https://twitter.com/aikokuyonzyushi
加賀・島田が斬る！ニュース日本の夜明け　https://twitter.com/okotteiitomo111
ザ・Q&A　https://twitter.com/theQandA111
渡邉哲也show　https://twitter.com/tetsuyashow
ウィークエンドライブ　https://twitter.com/weekendlive1111

【Facebook】
　https://www.facebook.com/Bunkajinhosoukyoku

【関連Youtube】
文化人放送局2　https://www.youtube.com/@bunkajintv2
洋一の部屋　https://www.youtube.com/@youichinoheya
マンデーバスターズ　https://www.youtube.com/@Monday_Busters
山口インテリジェンスアイ　https://www.youtube.com/@intelligenceeye
文化人デジタル瓦版　https://www.youtube.com/@bunakjin_kawaraban
The Q&A　https://www.youtube.com/@bunkajintheQandA
渡邉哲也show　https://www.youtube.com/@watanabetetuya-show
ウィークエンドライブ　https://www.youtube.com/@bunkajinweekend
Gohei Nishikawa　https://www.youtube.com/@goheinishikawa9381
文化人ミュージック　https://www.youtube.com/@GINZA7thStudio
文化人スポーツ　https://www.youtube.com/@bunkajintv_sports

【コンサート情報】
　https://bunkajintv.com/ginza7/

【お問い合わせ】
　official@bunkajintv.com


使用BGM　騒音のない世界　砂漠に雨　beco
https://noiselessworld.net
https://soundcloud.com/baron1_3/sabaku_ni_ame?si=61395b3793654ba08e9ac2ba734a4a39&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing","['文化人放送局', '文化人', 'bunkajin', 'ぶんかじん', '教育', '先生', '学ぶ', '日本', '文化', '文化放送局', '50代', '出演者', 'メンバー', '一般公開', 'きしだ', '岸田総理', '選挙妨害', 'やまぐち', '自民党', '総裁選', 'たかいちさなえ', '勝利', '虎ノ門ニュース', '高橋洋一', '高市早苗', '石破茂', '石破総理', '茂', 'ishiba', 'いしば', 'そうり', '総理', '対中']",https://i.ytimg.com/vi/adhV79GUPwc/hqdefault.jpg,25,258331,6645,623,PT1H50M56S,false,
MqsPucT4mCU,2025-07-13T01:00:19Z,UCuSPai4fj2nvwcCeyfq2sIA,真相深入り! 虎ノ門ニュース,【参院選SP討論】須田慎一郎 × 青山繁晴 × 柳本あきら（虎ノ門ニュース）,"動画内でご紹介した
「しげちゃんとあきら毎晩対話 なんでアンタが出てんのん？？」
https://www.youtube.com/playlist?list=PLr4Kra9GaU_VM9_pBQLrC5OJKVfWzaiFw


「真相深入り！虎ノ門ニュース」は
地上波では報じられない世の中の真相を皆様にお届けする番組です。 

現在は毎週火曜・金曜の週２配信となっていますが、ゆくゆくはより多くの情報を皆様にお届けできるよう配信日を増やしていきたいと思っています。

配信回数を増やせるようにメンバーシップ限定配信もやっていますので、よろしくお願いいたします！



---------------------------------------------------------------------------------------------------------
★メンバーシップ会員 大募集中！★
金額：①590円/月
　　　②990円/月
特典：・メンバー限定のライブ配信
　　　　　プラン①：金曜日
　　　　　プラン②：火曜日・金曜日
　　　・メンバー限定のアンケート
下記チャンネルページより加入できますので、
応援のほど、よろしくお願いいたします！
 @toranomonnews  

注）iPhoneやiPadなどのiOS版からは
　　メンバー登録が行えない、また手数料が別途発生し
　　価格が通常より高くなる可能性がございます。
　　
　　その場合はPCからYouTubeの「真相深入り! 虎ノ門ニュース チャンネル」に
　　アクセスし「メンバーになる」ボタンをクリックしてください。
　　その後、画面の指示に沿ってお支払い情報を入力し完了となります。
---------------------------------------------------------------------------------------------------------

★ホームページ
https://tora8.co.jp","['虎ノ門', 'ニュース', '須田慎一郎', '参院選', '自民党', '青山繁晴', '柳本あきら']",https://i.ytimg.com/vi/MqsPucT4mCU/hqdefault.jpg,25,198355,4105,703,PT25M11S,false,
NQYDqdMjtVk,2025-07-13T08:00:32Z,UCjrN-o1HlLk22qcauIKDtlQ,参政党,次は私たちの番だ  #日本人ファースト  #日本人ファースト参政党  #参政党旋風  #参院選,"🎌🌸🗻━━…‥・
　壊れゆく日本を守るため、
　日本人ファーストの政治家を
　1人でも多く国会に送り込みたい！
　　　　　　　　・‥…━━🗻🌸🎌
👇️参議院選挙クラウドファンディング👇️
https://congrant.com/project/sanseito/17367

【参政党政治塾】
https://sanseito.jp/2020/seijijuku/

【地方選候補者公募】
https://sanseito.jp/koubo_flow/

【衆議院議員公募】
https://sanseito.jp/shuin_flow/

参政党　～国政政党～
【参政党に参加する↓】
https://www.sanseito.jp/participation/

◎参政党　公募ページはコチラ↓
https://www.sanseito.jp/recruitment/

◎参政党イベント情報ページ
https://info.sanseito.jp/

◎参政党を応援！献金ページ
https://congrant.com/project/sanseito/6104

◎入党方法や様々な情報はコチラから
https://www.sanseito.jp/

▼公式Twitter（@sansei411）
https://twitter.com/sansei411
▼公式Instagram（@sanseito）
https://www.instagram.com/sanseito
▼公式Facebook
https://www.facebook.com/sanseito2020
▼公式LINE
https://line.me/R/ti/p/@sanseito
▼公式TikTok
https://www.tiktok.com/@sanseito

このプロジェクトを始めるまでの経緯や思いをブログと音声にしました！

◎神谷宗幣ブログ
https://www.kamiyasohei.jp/blog/

◎音声（デイリー神谷特別編）
https://ishikikaikaku.jp/PartyDIY01.mp3 

〈リンクはコチラ〉
CGS-チャンネルグランドストラテジー-
https://www.youtube.com/user/ChGrandStrategy

#神谷宗幣 #日本人ファースト #赤坂ニュース #参政党","['参政党', '神谷宗幣', '政党', '政治', '教育', '国会', '衆議院', '参議院', '選挙', 'ニュース', 'news', 'さんせいとう', 'sanseito', '赤坂ニュース', '歴史']",https://i.ytimg.com/vi/NQYDqdMjtVk/hqdefault.jpg,25,295277,23172,535,PT1M30S,false,
87mkW3TqZ3s,2025-07-13T10:46:04Z,UCjrN-o1HlLk22qcauIKDtlQ,参政党,街頭演説  in  千葉  柏駅東口　令和7年7月13日（日）18：45頃　【参議院選挙2025 参政党 Live】,"／
日本の未来を変えるため、参政党は全ての都道府県に
参院選の候補者を立てています。
＼
参院選特設サイト👉　https://sanseito.jp/sanin_election_27/

💫期日前投票始まってます！！
 投票日は7/20

参議院選挙は「2枚の投票用紙」で投票します！
❶ まずは投票所に行きましょう
❷ 投票所で投票用紙が【2枚】渡されます！

✅1枚目は「選挙区」→ 
地元の候補者の名前を書きます
（参政党は47都道府県すべてに候補者がいますので
必ず書いていただけます！）

✅2枚目は「比例代表」→
 「参政党」と書くor応援したい「比例候補者」
の名前を書きます！

✍️名前は 漢字でもひらがなでもOK！

聞いたことのない難しい用語や仕組みで
ややこしい！と思われる方のために
神谷代表からの解説動画もよければご覧ください！
https://youtube.com/shorts/PNAhMNRELWc?feature=share

#日本人ファースト
#日本人ファースト参政党
#参政党旋風
#参院選

🎌🌸🗻━━…‥・
　壊れゆく日本を守るため、
　日本人ファーストの政治家を
　1人でも多く国会に送り込みたい！
　　　　　　　　・‥…━━🗻🌸🎌
👇️参議院選挙クラウドファンディング👇️
https://congrant.com/project/sanseito/17367

ーーーーーーーーーーーーーーーーーーーーーーーーー
参政党　～国政政党～
【参政党に参加する↓】
https://www.sanseito.jp/participation/

◎参政党　公募ページはコチラ↓
https://www.sanseito.jp/recruitment/

◎参政党イベント情報ページ
https://www.sanseito.jp/eventc/

◎参政党を応援！献金ページ
https://www.sanseito.jp/donation/

◎入党方法や様々な情報はコチラから
https://www.sanseito.jp/

▼公式Twitter（@sansei411）
https://twitter.com/sansei411
▼公式Instagram（@sanseito）
https://www.instagram.com/sanseito
▼公式Facebook
https://www.facebook.com/sanseito2020
▼公式LINE
https://line.me/R/ti/p/@sanseito
▼公式TikTok
https://www.tiktok.com/@sanseito

このプロジェクトを始めるまでの経緯や思いをブログと音声にしました！

◎神谷宗幣ブログ
https://www.kamiyasohei.jp/blog/

◎音声（デイリー神谷特別編）
https://ishikikaikaku.jp/PartyDIY01.mp3 

〈リンクはコチラ〉
CGS-チャンネルグランドストラテジー-
https://www.youtube.com/user/ChGrandStrategy

#神谷宗幣
#赤坂ニュース 
#参政党","['記者会見', '参政党', '神谷宗幣', '政党', '政治', '教育', '国会', '衆議院', '参議院', '選挙', 'ニュース', 'news', 'さんせいとう', 'sanseito', '歴史']",https://i.ytimg.com/vi/87mkW3TqZ3s/hqdefault.jpg,25,179609,12819,624,PT1H6M36S,false,
j5EEDqHKTfc,2025-07-13T08:00:47Z,UCL9KXuGkAt5qCfUlMrJayMQ,石川典行チャンネル,【参議院選挙】しばき隊が見守る中でジョーカー議員の蕨市演説に参加してみた！！,"石川典行公式チャンネル。生放送中に起こった名シーンの切り抜きを中心に動画アップしています。

チャンネル登録もよろしくお願いします！
だっしゃああああああああ！！

放送サイト　TwitCasting 

放送日　2025年07月12日 定時配信　今日の配信ニュースなど

【ツイキャス】★通常放送はこちらから
https://twitcasting.tv/icchy8591

【YouTubeサブチャンネル】
https://www.youtube.com/@石川典行サブチャンネル

【TikTok】
https://www.tiktok.com/@norirfzj9ke

【Instagram(リール用)】
https://www.instagram.com/noriradi4444/

【石川典行のノリユキラジオHP】
http://noriyukiradio.net/

【X】
https://twitter.com/ICCHY8591

【OPENREC.tv】
https://www.openrec.tv/user/noriradi

【バカチャンネル】
 https://www.youtube.com/@ishibakach

【ノリラジ会員限定配信を見れるニコニコチャンネル】
https://ch.nicovideo.jp/noriradi2/

#選挙演説  #河合悠祐 #参院選","['噛みつき', 'お騒がせ', 'ツイキャス', 'ニコニコ動画', 'ツイッター', '炎上', 'ノリユキラジオ', 'モノ申す', '石川典行', '配信者', 'ニコ生', '日トレ', '日刊トレンディングニュース', 'モイ！', '配信', '石川', 'noriradi', 'ドリーム石川', 'オプレク', 'OPENREC', 'のりドラ', 'ラジオ', '雑談', '炎上系', '渋谷', 'ノリミド', 'ノリラジ', 'なあぼう', 'コレコレ', 'ヒカル', '野田草履', '横山緑', '神回', 'トーク']",https://i.ytimg.com/vi/j5EEDqHKTfc/hqdefault.jpg,24,338955,14836,1625,PT27M5S,false,
cmMqc00rL68,2025-07-13T05:13:50Z,UCjrN-o1HlLk22qcauIKDtlQ,参政党,街頭演説  in  仙台  仙台駅北アエル前　令和7年7月13日（日）13：00頃　【参議院選挙2025 参政党 Live】,"／
日本の未来を変えるため、参政党は全ての都道府県に
参院選の候補者を立てています。
＼
参院選特設サイト👉　https://sanseito.jp/sanin_election_27/

💫期日前投票始まってます！！
 投票日は7/20

参議院選挙は「2枚の投票用紙」で投票します！
❶ まずは投票所に行きましょう
❷ 投票所で投票用紙が【2枚】渡されます！

✅1枚目は「選挙区」→ 
地元の候補者の名前を書きます
（参政党は47都道府県すべてに候補者がいますので
必ず書いていただけます！）

✅2枚目は「比例代表」→
 「参政党」と書くor応援したい「比例候補者」
の名前を書きます！

✍️名前は 漢字でもひらがなでもOK！

聞いたことのない難しい用語や仕組みで
ややこしい！と思われる方のために
神谷代表からの解説動画もよければご覧ください！
https://youtube.com/shorts/PNAhMNRELWc?feature=share

#日本人ファースト
#日本人ファースト参政党
#参政党旋風
#参院選

🎌🌸🗻━━…‥・
　壊れゆく日本を守るため、
　日本人ファーストの政治家を
　1人でも多く国会に送り込みたい！
　　　　　　　　・‥…━━🗻🌸🎌
👇️参議院選挙クラウドファンディング👇️
https://congrant.com/project/sanseito/17367

ーーーーーーーーーーーーーーーーーーーーーーーーー
参政党　～国政政党～
【参政党に参加する↓】
https://www.sanseito.jp/participation/

◎参政党　公募ページはコチラ↓
https://www.sanseito.jp/recruitment/

◎参政党イベント情報ページ
https://www.sanseito.jp/eventc/

◎参政党を応援！献金ページ
https://www.sanseito.jp/donation/

◎入党方法や様々な情報はコチラから
https://www.sanseito.jp/

▼公式Twitter（@sansei411）
https://twitter.com/sansei411
▼公式Instagram（@sanseito）
https://www.instagram.com/sanseito
▼公式Facebook
https://www.facebook.com/sanseito2020
▼公式LINE
https://line.me/R/ti/p/@sanseito
▼公式TikTok
https://www.tiktok.com/@sanseito

このプロジェクトを始めるまでの経緯や思いをブログと音声にしました！

◎神谷宗幣ブログ
https://www.kamiyasohei.jp/blog/

◎音声（デイリー神谷特別編）
https://ishikikaikaku.jp/PartyDIY01.mp3 

〈リンクはコチラ〉
CGS-チャンネルグランドストラテジー-
https://www.youtube.com/user/ChGrandStrategy

#神谷宗幣
#赤坂ニュース 
#参政党","['記者会見', '参政党', '神谷宗幣', '政党', '政治', '教育', '国会', '衆議院', '参議院', '選挙', 'ニュース', 'news', 'さんせいとう', 'sanseito', '歴史']",https://i.ytimg.com/vi/cmMqc00rL68/hqdefault.jpg,25,150211,8936,395,PT1H15M41S,false,
